Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Abner,BRA,DF,Ath Paranaense,21,2000,23.4,56,2.39,45,4,2,1,0,4,6,0.26,4,1,0,1,0,0
Adryelson,BRA,DF,Botafogo (RJ),23,1998,16.1,11,0.68,6,1,0,4,0,0,0,0.0,0,0,0,0,0,0
Adson,BRA,"FW,MF",Corinthians,21,2000,13.8,38,2.76,30,1,3,2,1,1,1,0.07,1,0,0,0,0,0
Airton,BRA,FW,Atl Goianiense,22,1999,19.3,64,3.26,33,9,9,6,4,3,10,0.51,5,0,3,0,2,0
Carlos Alberto,BRA,"FW,MF",América (MG),19,2002,1.7,2,1.16,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Yuri Alberto,BRA,FW,Corinthians,20,2001,16.1,46,2.85,32,0,3,6,4,1,2,0.12,1,0,0,1,0,0
Ale,BRA,MF,América (MG),31,1990,21.4,55,2.56,43,1,3,2,4,2,7,0.33,5,0,0,1,0,1
Alexandre Alemão,BRA,FW,Internacional,23,1998,22.3,66,2.96,35,0,14,4,12,1,15,0.67,8,0,3,1,3,0
Alerrandro,BRA,FW,RB Bragantino,22,2000,10.3,25,2.42,15,0,1,5,4,0,3,0.29,1,0,0,2,0,0
Alesson,BRA,"MF,FW",Cuiabá,22,1999,11.4,28,2.46,19,0,5,3,1,0,3,0.26,0,0,1,1,1,0
Alex,BRA,DF,Santos,22,1999,3.7,1,0.27,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Caio Alexandre,BRA,MF,Fortaleza,22,1999,11.0,28,2.54,27,0,1,0,0,0,3,0.27,3,0,0,0,0,0
Matheus Alexandre,BRA,DF,Coritiba,22,1999,15.6,23,1.48,20,2,0,0,1,0,2,0.13,1,0,0,0,1,0
Alexsander,BRA,DF,Fluminense,18,2003,2.5,6,2.4,5,0,0,1,0,0,2,0.8,1,0,0,1,0,0
Alisson,BRA,"MF,FW",São Paulo,28,1993,10.5,30,2.86,25,2,1,2,0,0,6,0.57,6,0,0,0,0,0
Allan,BRA,MF,Atlético Mineiro,24,1997,30.4,49,1.61,42,1,0,3,1,2,2,0.07,2,0,0,0,0,0
Henrique Almeida,BRA,FW,América (MG),30,1991,16.6,44,2.65,25,0,4,11,3,1,4,0.24,1,0,0,0,2,1
Júnior Alonso,PAR,DF,Atlético Mineiro,28,1993,28.9,31,1.07,30,0,0,0,0,1,3,0.1,3,0,0,0,0,0
Diego Alves,BRA,GK,Flamengo,36,1985,4.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Felipe Alves Raymundo,BRA,GK,São Paulo,33,1988,17.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Felipe Alves Raymundo,BRA,GK,Juventude,33,1988,1.0,2,2.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rodrigo Alves Soares,BRA,DF,Juventude,29,1992,31.0,67,2.16,59,7,0,0,0,1,1,0.03,1,0,0,0,0,0
Anderson,BRA,GK,Ath Paranaense,23,1998,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thonny Anderson,BRA,MF,Coritiba,24,1997,8.1,40,4.94,25,3,8,3,1,0,1,0.12,1,0,0,0,0,0
André,BRA,MF,Fluminense,20,2001,33.5,83,2.48,68,0,5,1,4,5,4,0.12,3,0,1,0,0,0
André,BRA,FW,Cuiabá,31,1990,8.1,11,1.36,8,0,0,0,3,0,0,0.0,0,0,0,0,0,0
Andrey,BRA,MF,Avaí,19,2002,0.3,1,3.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ângelo,BRA,"FW,MF",Santos,17,2004,17.0,84,4.94,49,1,21,3,9,1,11,0.65,7,0,1,0,3,0
Brayan Angulo,ECU,"FW,MF",Santos,26,1995,5.3,8,1.51,7,0,0,1,0,0,1,0.19,1,0,0,0,0,0
Apodi,BRA,"MF,FW",Goiás,35,1986,10.1,20,1.98,10,0,0,4,5,1,7,0.69,3,0,0,2,2,0
Guilherme Arana,BRA,DF,Atlético Mineiro,24,1997,19.1,66,3.45,51,8,2,4,1,0,6,0.31,6,0,0,0,0,0
Willian Arão,BRA,"MF,DF",Flamengo,29,1992,10.2,21,2.05,21,0,0,0,0,0,3,0.29,3,0,0,0,0,0
Michel Araujo,URU,"FW,MF",Fluminense,25,1996,0.9,7,7.5,4,1,1,0,1,0,3,3.21,2,1,0,0,0,0
Robert Arboleda,ECU,DF,São Paulo,30,1991,8.0,7,0.87,3,1,0,2,1,0,1,0.12,1,0,0,0,0,0
Jhon Arias,COL,"FW,MF",Fluminense,24,1997,29.6,144,4.87,93,30,8,3,9,1,13,0.44,7,4,1,1,0,0
Arthur,BRA,"MF,DF",América (MG),18,2003,2.0,6,3.03,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Arthur,BRA,FW,Corinthians,18,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Artur,BRA,"FW,MF",RB Bragantino,23,1998,31.0,162,5.23,102,27,9,13,10,1,13,0.42,6,2,1,2,2,0
Eduard Atuesta,COL,MF,Palmeiras,24,1997,7.3,29,3.95,19,3,4,3,0,0,1,0.14,1,0,0,0,0,0
Felipe Augusto,BRA,FW,Corinthians,17,2004,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leo Augusto Pereira,BRA,"FW,MF",Atl Goianiense,21,2000,12.6,18,1.42,13,0,3,1,1,0,1,0.08,1,0,0,0,0,0
Renato Augusto,BRA,MF,Corinthians,33,1988,15.6,82,5.26,58,14,4,3,3,0,6,0.39,5,1,0,0,0,0
Auremir,BRA,MF,Goiás,30,1991,16.4,17,1.04,11,0,1,0,5,0,0,0.0,0,0,0,0,0,0
Auro,BRA,DF,Santos,26,1996,4.3,11,2.55,9,0,1,1,0,0,1,0.23,1,0,0,0,0,0
Danilo Avelar,BRA,DF,América (MG),32,1989,9.6,18,1.88,13,2,0,0,1,2,2,0.21,2,0,0,0,0,0
Felipe Azevedo,BRA,"MF,FW",América (MG),35,1987,25.3,80,3.17,63,9,4,2,1,1,2,0.08,2,0,0,0,0,0
