Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Abner,br BRA,DF,Ath Paranaense,21,2000,23.4,986,1283,76.9,17089,6919,469,533,88.0,412,517,79.7,91,181,50.3,2,2.2,1.7,-0.2,31,105,16,6,139,Matches
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,540,662,81.6,10461,4038,184,208,88.5,285,327,87.2,56,93,60.2,0,0.3,0.1,-0.3,3,15,0,0,20,Matches
3,Adson,br BRA,"FW,MF",Corinthians,21,2000,13.8,522,633,82.5,6877,1510,318,351,90.6,158,185,85.4,15,29,51.7,0,0.8,1.5,-0.8,14,34,29,2,72,Matches
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,277,444,62.4,4218,1157,150,197,76.1,85,128,66.4,21,46,45.7,4,2.8,3.0,+1.2,30,20,17,9,29,Matches
5,Carlos Alberto,br BRA,"FW,MF",América (MG),19,2002,1.7,13,24,54.2,138,29,9,13,69.2,3,4,75.0,0,1,0.0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,255,385,66.2,3007,529,170,235,72.3,58,88,65.9,1,3,33.3,1,1.6,1.4,-0.6,17,10,10,1,29,Matches
7,Ale,br BRA,MF,América (MG),31,1990,21.4,939,1110,84.6,16696,5100,422,485,87.0,386,428,90.2,106,135,78.5,2,1.5,1.4,+0.5,21,125,15,3,144,Matches
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,298,455,65.5,4212,924,175,230,76.1,89,131,67.9,17,25,68.0,5,2.4,1.9,+2.6,21,24,19,3,46,Matches
9,Alerrandro,br BRA,FW,RB Bragantino,22,2000,10.3,116,149,77.9,1609,196,66,78,84.6,40,48,83.3,3,5,60.0,1,0.7,0.7,+0.3,7,4,3,1,8,Matches
10,Alesson,br BRA,"MF,FW",Cuiabá,22,1999,11.4,192,278,69.1,2793,855,115,147,78.2,64,85,75.3,7,17,41.2,0,1.3,0.7,-1.3,15,10,9,3,29,Matches
11,Alex,br BRA,DF,Santos,22,1999,3.7,142,163,87.1,2531,754,59,64,92.2,74,83,89.2,7,14,50.0,0,0.0,0.0,0.0,0,6,0,0,6,Matches
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,489,579,84.5,8960,2953,198,213,93.0,239,271,88.2,46,76,60.5,0,0.4,0.6,-0.4,9,57,5,0,69,Matches
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,590,702,84.0,9559,3321,305,328,93.0,237,270,87.8,39,64,60.9,0,0.6,0.9,-0.6,10,35,13,12,53,Matches
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,115,138,83.3,1526,596,64,73,87.7,34,42,81.0,4,6,66.7,0,0.1,0.1,-0.1,4,8,2,1,11,Matches
15,Alisson,br BRA,"MF,FW",São Paulo,28,1993,10.5,372,451,82.5,5456,1570,214,231,92.6,121,150,80.7,21,32,65.6,1,0.9,1.7,+0.1,12,39,19,10,55,Matches
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,1772,2081,85.2,33404,9761,736,805,91.4,805,890,90.4,210,331,63.4,0,1.0,1.7,-1.0,19,226,21,1,201,Matches
