Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Abner,BRA,DF,Ath Paranaense,21,2000,28,25,2106,23.4,1,2,3,1,0,0,6,0,1.2,1.2,2.2,3.4,29,139,68,0.04,0.09,0.13,0.04,0.13,0.05,0.09,0.15,0.05,0.15
Adryelson,BRA,DF,Botafogo (RJ),23,1998,17,16,1446,16.1,0,0,0,0,0,0,1,0,1.2,1.2,0.3,1.6,3,20,2,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1
Adson,BRA,"FW,MF",Corinthians,21,2000,25,13,1239,13.8,3,0,3,3,0,0,2,0,2.6,2.6,0.8,3.4,56,72,109,0.22,0.0,0.22,0.22,0.22,0.19,0.06,0.25,0.19,0.25
Airton,BRA,FW,Atl Goianiense,22,1999,33,22,1738,19.3,2,4,6,2,0,0,3,0,3.8,3.8,2.8,6.6,87,29,126,0.1,0.21,0.31,0.1,0.31,0.19,0.14,0.34,0.19,0.34
Carlos Alberto,BRA,"FW,MF",América (MG),19,2002,6,0,156,1.7,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,8,0,10,0.0,0.0,0.0,0.0,0.0,0.41,0.06,0.47,0.41,0.47
Yuri Alberto,BRA,FW,Corinthians,20,2001,20,15,1453,16.1,8,1,9,8,0,0,4,1,5.8,5.8,1.6,7.5,28,29,115,0.5,0.06,0.56,0.5,0.56,0.36,0.1,0.46,0.36,0.46
Ale,BRA,MF,América (MG),31,1990,28,24,1929,21.4,2,2,4,2,0,0,2,1,1.9,1.9,1.5,3.4,38,144,64,0.09,0.09,0.19,0.09,0.19,0.09,0.07,0.16,0.09,0.16
Alexandre Alemão,BRA,FW,Internacional,23,1998,34,22,2005,22.3,8,5,13,8,0,0,3,0,6.5,6.5,2.4,8.9,38,46,164,0.36,0.22,0.58,0.36,0.58,0.29,0.11,0.4,0.29,0.4
Alerrandro,BRA,FW,RB Bragantino,22,2000,20,11,929,10.3,6,1,7,6,0,0,3,0,5.4,5.4,0.7,6.1,5,8,55,0.58,0.1,0.68,0.58,0.68,0.52,0.07,0.59,0.52,0.59
Alesson,BRA,"MF,FW",Cuiabá,22,1999,21,11,1024,11.4,2,0,2,2,0,0,3,0,2.6,2.6,1.3,3.9,31,29,101,0.18,0.0,0.18,0.18,0.18,0.23,0.12,0.35,0.23,0.35
Alex,BRA,DF,Santos,22,1999,4,4,335,3.7,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,6,0,0.27,0.0,0.27,0.27,0.27,0.05,0.0,0.05,0.05,0.05
Caio Alexandre,BRA,MF,Fortaleza,22,1999,12,11,994,11.0,1,0,1,1,0,0,3,1,0.8,0.8,0.4,1.1,28,69,16,0.09,0.0,0.09,0.09,0.09,0.07,0.03,0.1,0.07,0.1
