Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Max Aarons,ENG,DF,Norwich City,22.0,2000.0,42.8,84,37,55,24,5,45,66,68.2,21,37,16,21,48,132,75,2
Thelo Aasgaard,NOR,"FW,MF",Wigan Athletic,20.0,2002.0,17.6,22,13,9,12,1,12,25,48.0,13,27,11,16,23,45,24,0
Nelson Abbey,ENG,DF,Reading,18.0,2003.0,0.2,2,1,1,1,0,0,0,,0,0,0,0,0,2,2,0
Kelvin Abrefa,ENG,"MF,DF",Reading,18.0,2003.0,1.4,4,3,4,0,0,2,3,66.7,1,2,0,2,1,5,1,0
Finlay Adair,ENG,"FW,MF",Preston,17.0,2005.0,0.7,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0
Elijah Adebayo,ENG,FW,Luton Town,24.0,1998.0,35.7,28,14,10,9,9,9,38,23.7,29,39,2,37,11,39,60,0
Toby Adeyemo,ENG,"MF,FW",Watford,17.0,2005.0,1.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Albert Adomah,GHA,"FW,MF",QPR,34.0,1987.0,14.1,26,11,8,12,6,9,23,39.1,14,16,1,15,11,37,11,1
Michael Adu-Poku,ENG,FW,Watford,16.0,2005.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Benik Afobe,COD,FW,Millwall,29.0,1993.0,10.3,7,3,0,5,2,0,2,0.0,2,5,2,3,1,8,4,0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,23.0,1999.0,31.8,72,41,45,21,6,35,57,61.4,22,29,12,17,62,134,101,0
Semi Ajayi,NGA,DF,West Brom,28.0,1993.0,16.2,23,15,16,7,0,7,17,41.2,10,12,6,6,24,47,48,2
Chuba Akpom,ENG,"MF,FW",Middlesbrough,26.0,1995.0,34.5,26,16,5,18,3,6,15,40.0,9,30,6,24,7,33,15,0
Marc Albrighton,ENG,"FW,MF",West Brom,32.0,1989.0,7.5,15,9,7,7,1,8,18,44.4,10,18,0,18,5,20,11,0
