Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Max Aarons,eng ENG,DF,Norwich City,22,2000,42.8,2536,2094,439,22,2,13,102,417,0,0,0,0,2008,3,85,Matches
2,Thelo Aasgaard,no NOR,"FW,MF",Wigan Athletic,20,2002,17.6,507,497,8,2,0,12,18,4,0,0,0,0,399,2,16,Matches
3,Nelson Abbey,eng ENG,DF,Reading,18,2003,0.2,9,7,2,0,0,0,0,2,0,0,0,0,6,0,0,Matches
4,Kelvin Abrefa,eng ENG,"MF,DF",Reading,18,2003,1.4,36,30,6,0,0,0,4,6,0,0,0,0,20,0,2,Matches
5,Finlay Adair,eng ENG,"FW,MF",Preston,17,2005,0.7,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
6,Elijah Adebayo,eng ENG,FW,Luton Town,24,1998,35.7,625,619,3,0,2,1,23,3,0,0,0,0,388,3,33,Matches
7,Toby Adeyemo,eng ENG,"MF,FW",Watford,17,2005,1.1,15,15,0,0,0,0,1,0,0,0,0,0,9,0,1,Matches
8,Albert Adomah,gh GHA,"FW,MF",QPR,34,1987,14.1,423,370,52,10,1,1,92,28,12,3,5,0,250,1,18,Matches
9,Michael Adu-Poku,eng ENG,FW,Watford,16,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Benik Afobe,cd COD,FW,Millwall,29,1993,10.3,192,189,1,0,1,1,6,1,0,0,0,0,127,2,4,Matches
11,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,23,1999,31.8,1334,1259,72,7,0,11,29,65,0,0,0,0,992,3,29,Matches
12,Semi Ajayi,ng NGA,DF,West Brom,28,1993,16.2,890,864,24,17,0,13,4,7,0,0,0,0,743,2,2,Matches
13,Chuba Akpom,eng ENG,"MF,FW",Middlesbrough,26,1995,34.5,705,696,8,3,10,6,16,1,0,0,0,0,566,1,18,Matches
14,Marc Albrighton,eng ENG,"FW,MF",West Brom,32,1989,7.5,292,271,20,3,2,0,42,9,8,3,3,0,183,1,14,Matches
15,Ajibola Alese,eng ENG,DF,Sunderland,21,2001,15.6,759,624,133,6,1,6,17,127,0,0,0,0,589,2,9,Matches
16,Jamie Allen,eng ENG,MF,Coventry City,27,1995,31.3,939,909,25,4,0,6,10,2,1,1,0,0,757,5,23,Matches
17,Joe Allen,wls WAL,MF,Swansea City,32,1990,13.7,781,749,32,10,0,2,30,2,17,11,3,0,664,0,14,Matches
18,Ryan Allsop,eng ENG,GK,Cardiff City,30,1992,42.7,1715,1191,524,177,0,12,0,0,0,0,0,0,997,0,1,Matches
19,Jak Alnwick,eng ENG,GK,Cardiff City,29,1993,3.3,115,68,45,21,0,0,0,0,0,0,0,0,42,2,0,Matches
20,Jordan Amissah,gh GHA,GK,Sheffield Utd,20,2001,0.1,8,5,3,1,0,0,0,0,0,0,0,0,2,0,0,Matches
21,Ben Amos,eng ENG,GK,Wigan Athletic,32,1990,28.6,893,564,328,95,0,1,0,0,0,0,0,0,541,1,0,Matches
22,Luke Amos,eng ENG,"MF,FW",QPR,25,1997,9.9,323,319,3,1,1,1,4,0,1,1,0,0,238,1,12,Matches
23,Joe Anderson,eng ENG,"DF,MF",Sunderland,21,2001,0.5,29,23,6,1,0,0,0,5,0,0,0,0,25,0,0,Matches
24,Keshi Anderson,eng ENG,MF,Blackpool,27,1995,4.8,223,213,9,0,1,1,1,3,0,0,0,0,182,1,4,Matches
25,Ryan Andrews,eng ENG,DF,Watford,17,2004,5.4,261,214,46,1,2,2,14,45,0,0,0,0,175,1,7,Matches
26,Faustino Anjorin,eng ENG,"MF,FW",Huddersfield,20,2001,4.9,136,124,10,3,1,2,8,0,0,0,0,0,103,2,4,Matches
27,Robert Apter,sct SCO,MF,Blackpool,19,2003,0.2,11,11,0,0,0,0,0,0,0,0,0,0,8,0,2,Matches
28,Henrique Araújo,pt POR,FW,Watford,20,2002,3.8,75,66,7,0,0,0,0,0,0,0,0,0,51,2,3,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,18,2004,0.8,35,35,0,0,0,0,1,0,0,0,0,0,28,0,1,Matches
30,Cameron Archer,eng ENG,FW,Middlesbrough,21,2001,15.2,324,316,8,2,3,1,0,0,0,0,0,0,261,0,13,Matches
31,Sinclair Armstrong,ie IRL,"FW,MF",QPR,19,2003,6.1,102,98,4,0,0,3,2,1,0,0,0,0,74,0,2,Matches
32,Yaser Asprilla,co COL,"MF,FW",Watford,18,2003,16.7,582,557,23,3,8,6,25,8,5,3,1,0,426,2,13,Matches
33,Britt Assombalonga,cd COD,"FW,MF",Watford,29,1992,2.1,21,18,2,0,0,0,0,0,0,0,0,0,13,1,0,Matches
34,Robert Atkinson,eng ENG,DF,Bristol City,24,1998,23.8,1090,1063,24,11,0,2,6,12,0,0,0,0,818,3,9,Matches
35,Daniel Ayala,es ESP,DF,Blackburn,31,1990,22.0,1188,1141,46,33,0,18,2,3,0,0,0,0,1035,1,5,Matches
36,Femi Azeez,eng ENG,"MF,FW",Reading,21,2001,7.3,233,183,50,12,0,1,60,11,25,16,4,3,137,0,11,Matches
37,Miguel Azeez,eng ENG,MF,Wigan Athletic,19,2002,1.2,50,49,1,0,0,1,1,0,0,0,0,0,39,0,0,Matches
38,Abdoullah Ba,fr FRA,"MF,FW",Sunderland,19,2003,8.9,325,321,3,0,2,3,8,3,0,0,0,0,254,1,6,Matches
39,Daniel Bachmann,at AUT,GK,Watford,28,1994,45.0,1362,881,474,145,0,3,0,0,0,0,0,0,943,7,0,Matches
40,Juninho Bacuna,cw CUW,MF,Birmingham City,24,1997,32.2,1094,931,151,61,10,20,149,30,57,24,18,6,681,12,33,Matches
41,Leandro Bacuna,cw CUW,MF,Watford,30,1991,8.8,283,264,19,15,0,3,5,0,3,3,0,0,225,0,6,Matches
42,Joel Bagan,ie IRL,DF,Cardiff City,22,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Lewis Baker,eng ENG,MF,Stoke City,27,1995,30.7,1218,986,227,102,2,7,162,10,106,63,31,6,930,5,16,Matches
44,George Baldock,gr GRE,DF,Sheffield Utd,29,1993,32.0,1383,1109,271,13,2,7,80,258,0,0,0,0,1029,3,50,Matches
45,Daniel Ballard,nir NIR,DF,Sunderland,22,1999,17.9,883,832,50,29,0,3,1,21,0,0,0,0,712,1,12,Matches
46,Leon Balogun,ng NGA,DF,QPR,34,1988,13.7,511,487,19,14,1,2,0,5,0,0,0,0,378,5,11,Matches
47,Daniel Barlaser,tr TUR,MF,Rotherham Utd,25,1997,26.9,1397,1236,151,92,7,16,106,4,55,32,12,3,978,10,11,Matches
48,Daniel Barlaser,tr TUR,MF,Middlesbrough,25,1997,4.6,459,420,38,18,1,5,21,0,18,9,5,0,381,1,6,Matches
49,Ashley Barnes,eng ENG,"FW,MF",Burnley,32,1989,21.2,450,445,5,1,5,8,3,1,0,0,0,0,291,0,18,Matches
50,Kyle Bartley,eng ENG,DF,West Brom,31,1991,7.4,410,390,19,16,0,5,0,3,0,0,0,0,318,1,1,Matches
51,Chris Basham,eng ENG,DF,Sheffield Utd,34,1988,19.3,995,906,88,8,1,5,16,79,1,0,1,0,766,1,12,Matches
52,Samuel Bastien,cd COD,"MF,FW",Burnley,25,1996,6.1,260,258,1,0,0,0,1,0,0,0,0,0,229,1,3,Matches
53,Danny Batth,eng ENG,DF,Sunderland,31,1990,38.5,1836,1776,59,57,1,16,0,2,0,0,0,0,1485,1,7,Matches
54,Patrick Bauer,de GER,DF,Preston,29,1992,3.9,170,169,1,1,0,2,0,0,0,0,0,0,141,0,3,Matches
55,Nathan Baxter,eng ENG,GK,Hull City,23,1998,12.0,434,330,102,23,0,1,0,0,0,0,0,0,320,2,0,Matches
56,Vakoun Bayo,ci CIV,FW,Watford,25,1997,10.4,204,192,9,0,0,0,5,2,0,0,0,0,144,3,4,Matches
57,Jake Beesley,eng ENG,"MF,FW",Blackpool,25,1996,2.2,52,52,0,0,0,0,1,0,0,0,0,0,31,0,2,Matches
58,Amari'i Bell,jm JAM,DF,Luton Town,28,1994,42.9,1792,1497,285,17,1,17,74,268,0,0,0,0,1251,10,46,Matches
