Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Max Aarons,ENG,DF,Norwich City,22.0,2000.0,42.8,2536,2094,439,22,2,13,102,417,0,0,0,0,2008,3,85
Thelo Aasgaard,NOR,"FW,MF",Wigan Athletic,20.0,2002.0,17.6,507,497,8,2,0,12,18,4,0,0,0,0,399,2,16
Nelson Abbey,ENG,DF,Reading,18.0,2003.0,0.2,9,7,2,0,0,0,0,2,0,0,0,0,6,0,0
Kelvin Abrefa,ENG,"MF,DF",Reading,18.0,2003.0,1.4,36,30,6,0,0,0,4,6,0,0,0,0,20,0,2
Finlay Adair,ENG,"FW,MF",Preston,17.0,2005.0,0.7,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0
Elijah Adebayo,ENG,FW,Luton Town,24.0,1998.0,35.7,625,619,3,0,2,1,23,3,0,0,0,0,388,3,33
Toby Adeyemo,ENG,"MF,FW",Watford,17.0,2005.0,1.1,15,15,0,0,0,0,1,0,0,0,0,0,9,0,1
Albert Adomah,GHA,"FW,MF",QPR,34.0,1987.0,14.1,423,370,52,10,1,1,92,28,12,3,5,0,250,1,18
Michael Adu-Poku,ENG,FW,Watford,16.0,2005.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik Afobe,COD,FW,Millwall,29.0,1993.0,10.3,192,189,1,0,1,1,6,1,0,0,0,0,127,2,4
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,23.0,1999.0,31.8,1334,1259,72,7,0,11,29,65,0,0,0,0,992,3,29
Semi Ajayi,NGA,DF,West Brom,28.0,1993.0,16.2,890,864,24,17,0,13,4,7,0,0,0,0,743,2,2
Chuba Akpom,ENG,"MF,FW",Middlesbrough,26.0,1995.0,34.5,705,696,8,3,10,6,16,1,0,0,0,0,566,1,18
Marc Albrighton,ENG,"FW,MF",West Brom,32.0,1989.0,7.5,292,271,20,3,2,0,42,9,8,3,3,0,183,1,14
Ajibola Alese,ENG,DF,Sunderland,21.0,2001.0,15.6,759,624,133,6,1,6,17,127,0,0,0,0,589,2,9
Jamie Allen,ENG,MF,Coventry City,27.0,1995.0,31.3,939,909,25,4,0,6,10,2,1,1,0,0,757,5,23
Joe Allen,WAL,MF,Swansea City,32.0,1990.0,13.7,781,749,32,10,0,2,30,2,17,11,3,0,664,0,14
Ryan Allsop,ENG,GK,Cardiff City,30.0,1992.0,42.7,1715,1191,524,177,0,12,0,0,0,0,0,0,997,0,1
Jak Alnwick,ENG,GK,Cardiff City,29.0,1993.0,3.3,115,68,45,21,0,0,0,0,0,0,0,0,42,2,0
Jordan Amissah,GHA,GK,Sheffield Utd,20.0,2001.0,0.1,8,5,3,1,0,0,0,0,0,0,0,0,2,0,0
Ben Amos,ENG,GK,Wigan Athletic,32.0,1990.0,28.6,893,564,328,95,0,1,0,0,0,0,0,0,541,1,0
Luke Amos,ENG,"MF,FW",QPR,25.0,1997.0,9.9,323,319,3,1,1,1,4,0,1,1,0,0,238,1,12
Joe Anderson,ENG,"DF,MF",Sunderland,21.0,2001.0,0.5,29,23,6,1,0,0,0,5,0,0,0,0,25,0,0
Keshi Anderson,ENG,MF,Blackpool,27.0,1995.0,4.8,223,213,9,0,1,1,1,3,0,0,0,0,182,1,4
Ryan Andrews,ENG,DF,Watford,17.0,2004.0,5.4,261,214,46,1,2,2,14,45,0,0,0,0,175,1,7
Faustino Anjorin,ENG,"MF,FW",Huddersfield,20.0,2001.0,4.9,136,124,10,3,1,2,8,0,0,0,0,0,103,2,4
Robert Apter,SCO,MF,Blackpool,19.0,2003.0,0.2,11,11,0,0,0,0,0,0,0,0,0,0,8,0,2
Henrique Araújo,POR,FW,Watford,20.0,2002.0,3.8,75,66,7,0,0,0,0,0,0,0,0,0,51,2,3
Oliver Arblaster,ENG,MF,Sheffield Utd,18.0,2004.0,0.8,35,35,0,0,0,0,1,0,0,0,0,0,28,0,1
Cameron Archer,ENG,FW,Middlesbrough,21.0,2001.0,15.2,324,316,8,2,3,1,0,0,0,0,0,0,261,0,13
Sinclair Armstrong,IRL,"FW,MF",QPR,19.0,2003.0,6.1,102,98,4,0,0,3,2,1,0,0,0,0,74,0,2
Yaser Asprilla,COL,"MF,FW",Watford,18.0,2003.0,16.7,582,557,23,3,8,6,25,8,5,3,1,0,426,2,13
Britt Assombalonga,COD,"FW,MF",Watford,29.0,1992.0,2.1,21,18,2,0,0,0,0,0,0,0,0,0,13,1,0
Robert Atkinson,ENG,DF,Bristol City,24.0,1998.0,23.8,1090,1063,24,11,0,2,6,12,0,0,0,0,818,3,9
Daniel Ayala,ESP,DF,Blackburn,31.0,1990.0,22.0,1188,1141,46,33,0,18,2,3,0,0,0,0,1035,1,5
Femi Azeez,ENG,"MF,FW",Reading,21.0,2001.0,7.3,233,183,50,12,0,1,60,11,25,16,4,3,137,0,11
Miguel Azeez,ENG,MF,Wigan Athletic,19.0,2002.0,1.2,50,49,1,0,0,1,1,0,0,0,0,0,39,0,0
Abdoullah Ba,FRA,"MF,FW",Sunderland,19.0,2003.0,8.9,325,321,3,0,2,3,8,3,0,0,0,0,254,1,6
Daniel Bachmann,AUT,GK,Watford,28.0,1994.0,45.0,1362,881,474,145,0,3,0,0,0,0,0,0,943,7,0
Juninho Bacuna,CUW,MF,Birmingham City,24.0,1997.0,32.2,1094,931,151,61,10,20,149,30,57,24,18,6,681,12,33
Leandro Bacuna,CUW,MF,Watford,30.0,1991.0,8.8,283,264,19,15,0,3,5,0,3,3,0,0,225,0,6
Joel Bagan,IRL,DF,Cardiff City,22.0,2000.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Baker,ENG,MF,Stoke City,27.0,1995.0,30.7,1218,986,227,102,2,7,162,10,106,63,31,6,930,5,16
George Baldock,GRE,DF,Sheffield Utd,29.0,1993.0,32.0,1383,1109,271,13,2,7,80,258,0,0,0,0,1029,3,50
Daniel Ballard,NIR,DF,Sunderland,22.0,1999.0,17.9,883,832,50,29,0,3,1,21,0,0,0,0,712,1,12
Leon Balogun,NGA,DF,QPR,34.0,1988.0,13.7,511,487,19,14,1,2,0,5,0,0,0,0,378,5,11
Daniel Barlaser,TUR,MF,Rotherham Utd,25.0,1997.0,26.9,1397,1236,151,92,7,16,106,4,55,32,12,3,978,10,11
Daniel Barlaser,TUR,MF,Middlesbrough,25.0,1997.0,4.6,459,420,38,18,1,5,21,0,18,9,5,0,381,1,6
Ashley Barnes,ENG,"FW,MF",Burnley,32.0,1989.0,21.2,450,445,5,1,5,8,3,1,0,0,0,0,291,0,18
Kyle Bartley,ENG,DF,West Brom,31.0,1991.0,7.4,410,390,19,16,0,5,0,3,0,0,0,0,318,1,1
Chris Basham,ENG,DF,Sheffield Utd,34.0,1988.0,19.3,995,906,88,8,1,5,16,79,1,0,1,0,766,1,12
Samuel Bastien,COD,"MF,FW",Burnley,25.0,1996.0,6.1,260,258,1,0,0,0,1,0,0,0,0,0,229,1,3
Danny Batth,ENG,DF,Sunderland,31.0,1990.0,38.5,1836,1776,59,57,1,16,0,2,0,0,0,0,1485,1,7
Patrick Bauer,GER,DF,Preston,29.0,1992.0,3.9,170,169,1,1,0,2,0,0,0,0,0,0,141,0,3
Nathan Baxter,ENG,GK,Hull City,23.0,1998.0,12.0,434,330,102,23,0,1,0,0,0,0,0,0,320,2,0
Vakoun Bayo,CIV,FW,Watford,25.0,1997.0,10.4,204,192,9,0,0,0,5,2,0,0,0,0,144,3,4
Jake Beesley,ENG,"MF,FW",Blackpool,25.0,1996.0,2.2,52,52,0,0,0,0,1,0,0,0,0,0,31,0,2
Amari'i Bell,JAM,DF,Luton Town,28.0,1994.0,42.9,1792,1497,285,17,1,17,74,268,0,0,0,0,1251,10,46
Sam Bell,ENG,FW,Bristol City,20.0,2002.0,12.8,227,220,4,0,1,0,22,1,1,0,0,0,142,3,9
