Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
1,Max Aarons,eng ENG,DF,Norwich City,22,2000,42.8,3000,100,921,1270,840,71,3000,148,53,35.8,61,41.2,1778,13126,6590,165,96,27,68,36,1908,216,Matches
2,Thelo Aasgaard,no NOR,"FW,MF",Wigan Athletic,20,2002,17.6,769,34,160,349,271,32,769,46,16,34.8,20,43.5,446,2923,1268,48,33,7,39,17,486,79,Matches
3,Nelson Abbey,eng ENG,DF,Reading,18,2003,0.2,12,2,5,6,1,0,12,0,0,,0,,3,11,10,0,0,0,0,0,2,0,Matches
4,Kelvin Abrefa,eng ENG,"MF,DF",Reading,18,2003,1.4,54,2,20,19,15,1,54,2,1,50.0,1,50.0,21,122,52,1,0,0,3,2,21,1,Matches
5,Finlay Adair,eng ENG,"FW,MF",Preston,17,2005,0.7,13,0,0,6,7,0,13,1,0,0.0,1,100.0,8,15,5,0,0,0,2,1,9,3,Matches
6,Elijah Adebayo,eng ENG,FW,Luton Town,24,1998,35.7,1231,65,124,413,703,187,1230,152,42,27.6,95,62.5,718,4011,1242,59,36,40,148,97,917,270,Matches
7,Toby Adeyemo,eng ENG,"MF,FW",Watford,17,2005,1.1,22,0,1,8,13,6,22,1,0,0.0,0,0.0,13,140,56,3,3,0,1,3,16,4,Matches
8,Albert Adomah,gh GHA,"FW,MF",QPR,34,1987,14.1,596,18,97,189,320,35,596,33,16,48.5,17,51.5,312,2347,922,42,27,8,36,15,351,109,Matches
9,Michael Adu-Poku,eng ENG,FW,Watford,16,2005,0.1,5,0,3,2,0,0,5,0,0,,0,,1,7,0,0,0,0,1,0,2,0,Matches
10,Benik Afobe,cd COD,FW,Millwall,29,1993,10.3,303,7,15,126,167,47,302,16,6,37.5,8,50.0,158,885,343,16,9,10,35,9,222,51,Matches
11,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,23,1999,31.8,1719,133,647,757,327,61,1719,28,10,35.7,15,53.6,777,5168,3132,70,60,1,28,17,934,55,Matches
12,Semi Ajayi,ng NGA,DF,West Brom,28,1993,16.2,1033,100,526,469,43,21,1033,5,2,40.0,2,40.0,551,2818,1585,11,11,0,10,1,657,3,Matches
13,Chuba Akpom,eng ENG,"MF,FW",Middlesbrough,26,1995,34.5,1057,22,81,578,419,133,1051,94,43,45.7,35,37.2,750,5284,2472,86,62,16,70,49,887,185,Matches
14,Marc Albrighton,eng ENG,"FW,MF",West Brom,32,1989,7.5,377,10,54,175,150,6,377,20,11,55.0,7,35.0,205,888,395,17,9,2,14,3,248,63,Matches
15,Ajibola Alese,eng ENG,DF,Sunderland,21,2001,15.6,946,58,313,469,166,31,946,8,5,62.5,3,37.5,445,1940,1012,17,10,0,12,6,511,34,Matches
16,Jamie Allen,eng ENG,MF,Coventry City,27,1995,31.3,1180,23,180,639,371,59,1180,32,13,40.6,16,50.0,597,2953,1194,34,27,7,45,21,774,107,Matches
17,Joe Allen,wls WAL,MF,Swansea City,32,1990,13.7,945,52,205,542,206,18,945,18,8,44.4,5,27.8,450,2043,998,22,20,4,19,23,624,32,Matches
18,Ryan Allsop,eng ENG,GK,Cardiff City,30,1992,42.7,1799,1248,1750,49,2,2,1799,6,4,66.7,2,33.3,981,5890,3533,0,0,0,2,0,834,0,Matches
19,Jak Alnwick,eng ENG,GK,Cardiff City,29,1993,3.3,120,83,117,3,0,0,120,0,0,,0,,62,337,169,0,0,0,1,0,49,0,Matches
20,Jordan Amissah,gh GHA,GK,Sheffield Utd,20,2001,0.1,9,8,9,0,0,0,9,0,0,,0,,4,21,1,0,0,0,0,0,2,0,Matches
21,Ben Amos,eng ENG,GK,Wigan Athletic,32,1990,28.6,948,828,943,5,0,0,948,0,0,,0,,473,2860,1500,0,0,0,0,0,343,0,Matches
22,Luke Amos,eng ENG,"MF,FW",QPR,25,1997,9.9,466,17,97,241,137,25,466,20,10,50.0,9,45.0,198,1237,560,17,8,5,23,12,252,28,Matches
23,Joe Anderson,eng ENG,"DF,MF",Sunderland,21,2001,0.5,36,1,16,16,4,0,36,1,1,100.0,0,0.0,10,41,19,0,0,0,1,0,16,0,Matches
24,Keshi Anderson,eng ENG,MF,Blackpool,27,1995,4.8,291,13,54,154,92,12,291,14,9,64.3,3,21.4,151,1012,508,16,14,3,7,4,170,23,Matches
25,Ryan Andrews,eng ENG,DF,Watford,17,2004,5.4,320,18,97,165,60,6,320,10,6,60.0,3,30.0,153,991,626,17,10,1,5,2,177,20,Matches
26,Faustino Anjorin,eng ENG,"MF,FW",Huddersfield,20,2001,4.9,201,2,24,120,61,12,201,25,8,32.0,16,64.0,120,919,435,14,11,3,8,11,134,17,Matches
27,Robert Apter,sct SCO,MF,Blackpool,19,2003,0.2,14,0,0,6,8,2,14,1,1,100.0,0,0.0,9,71,57,2,2,1,0,1,9,1,Matches
28,Henrique Araújo,pt POR,FW,Watford,20,2002,3.8,112,1,9,56,48,17,112,5,2,40.0,2,40.0,55,164,63,2,1,1,12,6,78,23,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,18,2004,0.8,49,3,9,19,21,2,49,3,1,33.3,1,33.3,27,110,38,0,0,0,7,0,34,5,Matches
30,Cameron Archer,eng ENG,FW,Middlesbrough,21,2001,15.2,475,4,21,187,275,93,475,46,21,45.7,23,50.0,309,1690,670,30,17,22,44,24,398,105,Matches
31,Sinclair Armstrong,ie IRL,"FW,MF",QPR,19,2003,6.1,166,1,2,58,109,30,166,14,3,21.4,8,57.1,116,782,340,13,7,16,24,13,140,49,Matches
32,Yaser Asprilla,co COL,"MF,FW",Watford,18,2003,16.7,807,10,99,420,301,38,807,63,29,46.0,31,49.2,491,2830,1025,31,16,9,51,32,551,104,Matches
33,Britt Assombalonga,cd COD,"FW,MF",Watford,29,1992,2.1,44,1,3,19,23,9,44,3,0,0.0,2,66.7,29,156,81,3,3,2,9,8,35,10,Matches
34,Robert Atkinson,eng ENG,DF,Bristol City,24,1998,23.8,1343,111,542,690,121,30,1343,15,10,66.7,3,20.0,580,3413,2151,36,24,2,8,10,710,19,Matches
35,Daniel Ayala,es ESP,DF,Blackburn,31,1990,22.0,1418,266,982,415,27,16,1418,7,3,42.9,2,28.6,751,3300,1421,2,2,1,6,2,876,4,Matches
36,Femi Azeez,eng ENG,"MF,FW",Reading,21,2001,7.3,317,7,58,110,159,18,317,23,14,60.9,8,34.8,166,1178,603,22,10,5,17,13,164,42,Matches
37,Miguel Azeez,eng ENG,MF,Wigan Athletic,19,2002,1.2,64,4,18,33,14,5,64,2,1,50.0,0,0.0,45,285,123,3,2,1,1,1,45,3,Matches
38,Abdoullah Ba,fr FRA,"MF,FW",Sunderland,19,2003,8.9,433,11,57,240,141,9,433,35,13,37.1,17,48.6,272,1869,872,25,14,2,20,14,313,44,Matches
39,Daniel Bachmann,at AUT,GK,Watford,28,1994,45.0,1447,1263,1444,5,0,0,1447,2,2,100.0,0,0.0,716,3942,2587,0,0,0,0,0,544,0,Matches
40,Juninho Bacuna,cw CUW,MF,Birmingham City,24,1997,32.2,1544,37,253,721,605,38,1544,108,49,45.4,48,44.4,755,5030,2517,79,54,19,93,44,817,104,Matches
41,Leandro Bacuna,cw CUW,MF,Watford,30,1991,8.8,348,20,98,211,44,3,348,8,4,50.0,3,37.5,164,680,318,6,3,0,4,5,195,4,Matches
42,Joel Bagan,ie IRL,DF,Cardiff City,22,2000,0.1,2,0,2,0,0,0,2,0,0,,0,,1,2,1,0,0,0,0,0,1,0,Matches
43,Lewis Baker,eng ENG,MF,Stoke City,27,1995,30.7,1485,48,236,814,462,25,1482,31,12,38.7,14,45.2,692,3394,1336,25,29,3,48,21,788,39,Matches
44,George Baldock,gr GRE,DF,Sheffield Utd,29,1993,32.0,1672,69,332,639,712,66,1672,34,16,47.1,15,44.1,798,4223,2024,64,34,11,41,26,923,182,Matches
45,Daniel Ballard,nir NIR,DF,Sunderland,22,1999,17.9,1094,129,615,453,36,18,1094,5,3,60.0,1,20.0,569,3141,1900,16,4,0,6,4,605,3,Matches
46,Leon Balogun,ng NGA,DF,QPR,34,1988,13.7,698,98,405,282,21,6,698,18,8,44.4,5,27.8,313,2056,994,11,6,0,13,6,325,1,Matches
47,Daniel Barlaser,tr TUR,MF,Rotherham Utd,25,1997,26.9,1583,55,247,969,385,7,1581,34,18,52.9,13,38.2,727,3158,1528,22,29,2,17,15,922,25,Matches
