Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Max Aarons,ENG,DF,Norwich City,22.0,2000.0,45,44,3851,42.8,1,3,4,1,0,0,10,0,1.1,1.1,2.4,3.5,165,201,216,0.02,0.07,0.09,0.02,0.09,0.03,0.06,0.08,0.03,0.08
Thelo Aasgaard,NOR,"FW,MF",Wigan Athletic,20.0,2002.0,41,12,1587,17.6,3,1,4,3,0,0,1,0,3.2,3.2,0.7,3.9,48,41,79,0.17,0.06,0.23,0.17,0.23,0.18,0.04,0.22,0.18,0.22
Nelson Abbey,ENG,DF,Reading,18.0,2003.0,3,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Abrefa,ENG,"MF,DF",Reading,18.0,2003.0,8,0,127,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1
Finlay Adair,ENG,"FW,MF",Preston,17.0,2005.0,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Adebayo,ENG,FW,Luton Town,24.0,1998.0,42,39,3216,35.7,7,3,10,7,0,1,8,0,12.9,12.1,3.8,16.0,59,63,270,0.2,0.08,0.28,0.2,0.28,0.36,0.11,0.47,0.34,0.45
Toby Adeyemo,ENG,"MF,FW",Watford,17.0,2005.0,4,0,96,1.1,1,0,1,1,0,0,1,0,0.5,0.5,0.2,0.7,3,1,4,0.94,0.0,0.94,0.94,0.94,0.43,0.19,0.63,0.43,0.63
Albert Adomah,GHA,"FW,MF",QPR,34.0,1987.0,38,12,1270,14.1,2,0,2,2,0,0,2,0,2.2,2.2,2.2,4.4,42,31,109,0.14,0.0,0.14,0.14,0.14,0.16,0.16,0.31,0.16,0.31
Michael Adu-Poku,ENG,FW,Watford,16.0,2005.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik Afobe,COD,FW,Millwall,29.0,1993.0,19,8,927,10.3,2,1,3,2,0,1,1,0,4.1,3.3,0.4,3.7,16,10,51,0.19,0.1,0.29,0.19,0.29,0.4,0.04,0.44,0.32,0.36
