Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Patrick van Aanholt,nl NED,DF,PSV Eindhoven,31,1990,13.1,26,15,12,11,3,12,29,41.4,17,9,0,9,17,43,17,0,Matches
2,Dirk Abels,nl NED,DF,Sparta R'dam,25,1997,14.7,23,11,17,5,1,15,25,60.0,10,26,18,8,16,39,59,0,Matches
3,Paulos Abraham,se SWE,"FW,MF",Groningen,20,2002,5.4,17,7,7,6,4,5,17,29.4,12,5,0,5,2,19,5,0,Matches
4,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,23,1999,23.8,30,17,8,18,4,11,45,24.4,34,28,4,24,9,39,5,0,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,22,2000,32.6,63,33,46,14,3,25,48,52.1,23,59,36,23,46,109,168,1,Matches
6,Luuk Admiraal,nl NED,FW,Excelsior,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
7,Nikolas Agrafiotis,nl NED,"FW,MF",Excelsior,22,2000,6.3,7,6,2,4,1,0,5,0.0,5,7,2,5,1,8,8,0,Matches
8,Joost van Aken,nl NED,DF,Heerenveen,28,1994,11.0,12,7,9,3,0,8,13,61.5,5,11,8,3,17,29,51,1,Matches
9,Norbert Alblas,nl NED,GK,Excelsior,27,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
10,Pedro Alemañ,es ESP,MF,Sparta R'dam,20,2002,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
11,Hussein Ali,iq IRQ,"DF,MF",Heerenveen,20,2002,0.3,2,1,2,0,0,1,1,100.0,0,0,0,0,3,5,3,0,Matches
12,Edson Álvarez,mx MEX,"MF,DF",Ajax,24,1997,28.7,71,40,40,26,5,44,72,61.1,28,36,13,23,36,107,76,1,Matches
13,Ben Aissa Ben Amar,ma MAR,"DF,MF",Volendam,25,1997,22.8,32,22,19,12,1,14,27,51.9,13,27,15,12,21,53,78,0,Matches
14,Pelle van Amersfoort,nl NED,"MF,FW",Heerenveen,26,1996,13.2,17,11,3,9,5,10,16,62.5,6,7,0,7,3,20,19,0,Matches
15,Jamal Amofa,nl NED,DF,Go Ahead Eag,23,1998,26.8,46,32,30,12,4,16,31,51.6,15,35,17,18,36,82,82,1,Matches
16,Fredrik André Bjørkan,no NOR,DF,Feyenoord,23,1998,0.8,2,0,1,0,1,1,2,50.0,1,1,1,0,0,2,2,0,Matches
17,Vurnon Anita,cw CUW,MF,RKC Waalwijk,33,1989,30.8,36,17,15,17,4,16,34,47.1,18,21,5,16,26,62,19,0,Matches
18,Oliver Antman,fi FIN,"FW,MF",Groningen,20,2001,7.4,9,7,4,5,0,5,12,41.7,7,9,0,9,2,11,5,0,Matches
19,Joey Antonioli,nl NED,MF,Volendam,18,2003,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
20,Jeremy Antonisse,cw CUW,"FW,MF",Emmen,20,2002,8.9,16,7,6,7,3,12,29,41.4,17,16,2,14,8,24,13,0,Matches
21,Francesco Antonucci,be BEL,"MF,FW",Volendam,23,1999,10.0,4,3,3,0,1,3,12,25.0,9,6,0,6,4,8,2,1,Matches
22,Antony,br BRA,FW,Ajax,22,2000,2.0,2,2,1,0,1,1,1,100.0,0,2,0,2,0,2,0,0,Matches
23,Miguel Araujo,pe PER,DF,Emmen,27,1994,29.9,64,34,44,19,1,27,37,73.0,10,52,32,20,36,100,126,0,Matches
24,Carlens Arcus,ht HAI,DF,Vitesse,26,1996,28.0,57,37,28,18,11,32,54,59.3,22,25,8,17,72,129,71,1,Matches
25,Jasin Assehnoun,fi FIN,FW,Emmen,23,1998,8.1,22,14,8,10,4,12,29,41.4,17,14,1,13,6,28,7,0,Matches
26,Adil Auassar,nl NED,DF,Sparta R'dam,35,1986,21.3,34,23,27,7,0,15,25,60.0,10,30,26,4,34,68,112,2,Matches
27,Sebbe Augustijns,be BEL,"MF,FW",RKC Waalwijk,22,1999,0.8,3,1,2,1,0,2,3,66.7,1,1,0,1,0,3,4,0,Matches
28,Fredrik Aursnes,no NOR,MF,Feyenoord,26,1995,2.0,2,1,2,0,0,1,2,50.0,1,4,2,2,2,4,0,0,Matches
29,Aventis Aventisian,am ARM,"MF,DF",Go Ahead Eag,19,2002,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
30,Maxime Awoudja,de GER,DF,Excelsior,24,1998,2.8,6,4,4,2,0,1,2,50.0,1,5,2,3,7,13,22,0,Matches
31,Yassin Ayoub,nl NED,MF,Excelsior,28,1994,8.0,32,19,9,23,0,11,19,57.9,8,6,1,5,4,36,10,0,Matches
32,Marouan Azarkan,nl NED,"FW,MF",Excelsior,20,2001,20.4,30,19,10,12,8,16,33,48.5,17,26,2,24,12,42,17,0,Matches
33,Julian Baas,nl NED,"MF,FW",Excelsior,20,2002,27.3,49,28,31,10,8,20,61,32.8,41,31,12,19,32,81,56,0,Matches
34,Youri Baas,nl NED,DF,Ajax,19,2003,2.1,8,3,5,3,0,4,4,100.0,0,4,1,3,3,11,5,0,Matches
35,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,22,2000,5.8,4,2,1,2,1,4,7,57.1,3,7,2,5,0,4,5,0,Matches
36,Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,27,1994,8.4,13,7,9,2,2,5,14,35.7,9,14,3,11,16,29,17,0,Matches
37,Johan Bakayoko,be BEL,FW,PSV Eindhoven,19,2003,15.3,35,20,7,17,11,8,25,32.0,17,19,0,19,8,43,6,0,Matches
38,Zakaria Bakkali,be BEL,"FW,DF",RKC Waalwijk,26,1996,4.9,8,6,5,2,1,5,5,100.0,0,2,0,2,2,10,3,0,Matches
39,Justin Bakker,nl NED,DF,Go Ahead Eag,24,1998,2.5,2,2,1,1,0,2,4,50.0,2,2,1,1,2,4,8,1,Matches
40,Remco Balk,nl NED,"FW,MF",Cambuur,21,2001,13.2,28,16,14,10,4,10,33,30.3,23,17,3,14,4,32,13,0,Matches
41,Radinio Balker,sr SUR,DF,Groningen,23,1998,29.4,47,31,34,13,0,20,31,64.5,11,53,34,19,38,85,115,0,Matches
42,Alex Bangura,sl SLE,DF,Cambuur,23,1999,27.2,41,27,30,10,1,24,37,64.9,13,23,7,16,20,61,43,0,Matches
43,Yusuf Barasi,tr TUR,"FW,MF",AZ Alkmaar,19,2003,2.1,3,2,1,1,1,2,3,66.7,1,2,0,2,0,3,3,0,Matches
44,Vasilios Barkas,gr GRE,GK,Utrecht,28,1994,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
45,Cole Bassett,us USA,"MF,FW",Fortuna Sittard,21,2001,2.2,3,2,1,2,0,1,1,100.0,0,1,0,1,1,4,4,0,Matches
46,Cole Bassett,us USA,FW,Feyenoord,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
47,Calvin Bassey,ng NGA,DF,Ajax,22,1999,20.1,40,25,21,16,3,15,22,68.2,7,24,6,18,23,63,42,1,Matches
48,Riechedly Bazoer,cw CUW,"MF,DF",AZ Alkmaar,25,1996,3.7,8,8,3,5,0,2,6,33.3,4,3,1,2,1,9,11,0,Matches
