Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,13.1,1,0,0,5,0,2,23,17,15,0,0,0,97,8,4,66.7
Dirk Abels,NED,DF,Sparta R'dam,25,1997,14.7,2,0,0,5,12,0,22,16,11,0,0,1,72,16,16,50.0
Paulos Abraham,SWE,"FW,MF",Groningen,20,2002,5.4,0,0,0,4,1,2,7,2,7,0,0,0,30,1,8,11.1
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,23,1999,23.8,8,0,0,44,68,4,42,9,17,0,0,0,128,8,37,17.8
Shawn Adewoye,BEL,DF,RKC Waalwijk,22,2000,32.6,7,0,0,38,10,0,4,46,33,0,2,0,186,54,36,60.0
Luuk Admiraal,NED,FW,Excelsior,20,2002,0.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0
Nikolas Agrafiotis,NED,"FW,MF",Excelsior,22,2000,6.3,2,0,0,16,9,5,2,1,6,0,0,0,9,35,37,48.6
Joost van Aken,NED,DF,Heerenveen,28,1994,11.0,2,0,0,13,4,1,2,17,7,0,1,0,68,29,17,63.0
Norbert Alblas,NED,GK,Excelsior,27,1994,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Pedro Alemañ,ESP,MF,Sparta R'dam,20,2002,0.5,0,0,0,0,1,0,1,0,0,0,0,0,9,0,2,0.0
Hussein Ali,IRQ,"DF,MF",Heerenveen,20,2002,0.3,0,0,0,0,0,0,1,3,1,0,0,0,3,0,2,0.0
Edson Álvarez,MEX,"MF,DF",Ajax,24,1997,28.7,10,0,0,34,14,3,2,36,40,0,0,0,264,97,73,57.1
Ben Aissa Ben Amar,MAR,"DF,MF",Volendam,25,1997,22.8,5,0,0,18,3,0,8,21,22,0,0,0,152,42,27,60.9
Pelle van Amersfoort,NED,"MF,FW",Heerenveen,26,1996,13.2,1,0,0,16,21,1,8,3,11,1,0,0,47,40,41,49.4
Jamal Amofa,NED,DF,Go Ahead Eag,23,1998,26.8,8,0,0,25,10,0,9,36,32,0,0,0,194,24,27,47.1
Fredrik André Bjørkan,NOR,DF,Feyenoord,23,1998,0.8,0,0,0,2,0,0,2,0,0,0,0,0,5,0,1,0.0
Vurnon Anita,CUW,MF,RKC Waalwijk,33,1989,30.8,3,0,0,18,11,0,9,26,17,0,1,0,203,6,20,23.1
