Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Patrick van Aanholt,nl NED,DF,PSV Eindhoven,31,1990,13.1,582,705,82.6,8846,2876,311,345,90.1,214,253,84.6,37,60,61.7,2,2.9,2.9,-0.9,17,33,10,2,57,Matches
2,Dirk Abels,nl NED,DF,Sparta R'dam,25,1997,14.7,556,688,80.8,10574,3949,211,232,90.9,267,304,87.8,66,121,54.5,2,1.1,1.4,+0.9,12,38,9,3,43,Matches
3,Paulos Abraham,se SWE,"FW,MF",Groningen,20,2002,5.4,99,134,73.9,1386,427,62,72,86.1,31,42,73.8,4,10,40.0,0,0.2,0.3,-0.2,5,13,6,1,18,Matches
4,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,23,1999,23.8,435,618,70.4,6631,2142,245,301,81.4,130,186,69.9,34,70,48.6,4,3.4,2.7,+0.6,31,44,25,6,78,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,22,2000,32.6,1148,1331,86.3,22886,7721,336,377,89.1,671,723,92.8,129,197,65.5,1,0.7,0.3,+0.3,8,74,1,0,88,Matches
6,Luuk Admiraal,nl NED,FW,Excelsior,20,2002,0.0,2,3,66.7,22,4,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
7,Nikolas Agrafiotis,nl NED,"FW,MF",Excelsior,22,2000,6.3,100,175,57.1,1269,292,59,94,62.8,26,48,54.2,4,8,50.0,0,0.6,0.4,-0.6,3,10,4,0,13,Matches
8,Joost van Aken,nl NED,DF,Heerenveen,28,1994,11.0,469,584,80.3,9466,3290,162,181,89.5,235,264,89.0,68,124,54.8,0,0.1,0.2,-0.1,3,33,2,1,41,Matches
9,Norbert Alblas,nl NED,GK,Excelsior,27,1994,0.3,6,10,60.0,169,137,2,2,100.0,3,3,100.0,1,5,20.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10,Pedro Alemañ,es ESP,MF,Sparta R'dam,20,2002,0.5,34,38,89.5,483,117,16,17,94.1,14,16,87.5,2,2,100.0,0,0.1,0.4,-0.1,1,2,0,0,6,Matches
