Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,15,13,1177,13.1,1,2,3,1,0,0,1,0,0.4,0.4,2.9,3.4,26,57,69,0.08,0.15,0.23,0.08,0.23,0.03,0.22,0.26,0.03,0.26
Dirk Abels,NED,DF,Sparta R'dam,25,1997,26,12,1326,14.7,1,2,3,1,0,0,2,0,0.3,0.3,1.1,1.4,18,43,30,0.07,0.14,0.2,0.07,0.2,0.02,0.07,0.1,0.02,0.1
Paulos Abraham,SWE,"FW,MF",Groningen,20,2002,8,5,489,5.4,0,0,0,0,0,0,0,0,1.1,1.1,0.2,1.3,19,18,39,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.25,0.2,0.25
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,23,1999,31,28,2146,23.8,6,4,10,6,0,0,8,0,4.0,4.0,3.4,7.4,64,78,167,0.25,0.17,0.42,0.25,0.42,0.17,0.14,0.31,0.17,0.31
Shawn Adewoye,BEL,DF,RKC Waalwijk,22,2000,33,33,2931,32.6,1,1,2,1,0,0,7,0,1.7,1.7,0.7,2.4,25,88,7,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.07,0.05,0.07
Luuk Admiraal,NED,FW,Excelsior,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikolas Agrafiotis,NED,"FW,MF",Excelsior,22,2000,17,5,564,6.3,2,0,2,2,0,1,2,0,2.8,2.1,0.6,2.7,3,13,23,0.32,0.0,0.32,0.32,0.32,0.45,0.09,0.54,0.34,0.43
Joost van Aken,NED,DF,Heerenveen,28,1994,15,11,991,11.0,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.8,11,41,2,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07
Norbert Alblas,NED,GK,Excelsior,27,1994,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Alemañ,ESP,MF,Sparta R'dam,20,2002,5,0,48,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,6,3,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.5,0.4,0.5
Hussein Ali,IRQ,"DF,MF",Heerenveen,20,2002,5,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18
Edson Álvarez,MEX,"MF,DF",Ajax,24,1997,31,30,2586,28.7,3,3,6,3,0,0,10,0,3.4,3.4,4.2,7.6,73,223,22,0.1,0.1,0.21,0.1,0.21,0.12,0.15,0.26,0.12,0.26
Ben Aissa Ben Amar,MAR,"DF,MF",Volendam,25,1997,29,24,2055,22.8,2,1,3,2,0,0,5,0,0.9,0.9,0.9,1.8,6,75,13,0.09,0.04,0.13,0.09,0.13,0.04,0.04,0.08,0.04,0.08
Pelle van Amersfoort,NED,"MF,FW",Heerenveen,26,1996,19,13,1191,13.2,3,0,3,3,0,0,1,0,3.8,3.8,0.7,4.5,13,40,75,0.23,0.0,0.23,0.23,0.23,0.29,0.05,0.34,0.29,0.34
Jamal Amofa,NED,DF,Go Ahead Eag,23,1998,31,27,2413,26.8,0,1,1,0,0,0,8,0,0.4,0.4,0.9,1.2,25,99,9,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.05,0.01,0.05
Fredrik André Bjørkan,NOR,DF,Feyenoord,23,1998,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,4,9,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.26,0.05,0.26
Vurnon Anita,CUW,MF,RKC Waalwijk,33,1989,34,30,2769,30.8,2,2,4,2,0,0,3,0,0.7,0.7,2.2,2.9,15,175,38,0.07,0.07,0.13,0.07,0.13,0.02,0.07,0.09,0.02,0.09
Oliver Antman,FIN,"FW,MF",Groningen,20,2001,11,8,670,7.4,2,1,3,2,0,0,0,0,1.3,1.3,1.2,2.5,18,23,55,0.27,0.13,0.4,0.27,0.4,0.18,0.17,0.34,0.18,0.34
Joey Antonioli,NED,MF,Volendam,18,2003,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09
