Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Yunis Abdelhamid,MAR,DF,Reims,34,1987,37.0,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0
Himad Abdelli,ALG,"MF,FW",Angers,22,1999,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0
Salis Abdul Samed,GHA,MF,Lens,22,2000,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0
Laurent Abergel,FRA,MF,Lorient,29,1993,26.0,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0
Matthis Abline,FRA,"FW,MF",Auxerre,19,2003,9.0,15,1.67,8,0,5,0,2,0,3,0.33,1,0,1,0,1,0
Matthis Abline,FRA,"FW,MF",Rennes,19,2003,1.2,7,5.94,2,0,0,3,1,1,2,1.7,0,0,0,0,1,1
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,22,2000,27.5,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0
Mohamed Achi,FRA,FW,Nantes,20,2002,0.4,1,2.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Martin Adeline,FRA,"MF,FW",Reims,18,2003,1.2,2,1.68,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Emmanuel Agbadou,CIV,DF,Reims,25,1997,26.5,31,1.17,26,1,0,4,0,0,3,0.11,2,0,0,1,0,0
Lucien Agoume,FRA,MF,Troyes,20,2002,12.2,27,2.22,23,3,0,1,0,0,1,0.08,1,0,0,0,0,0
Ruben Aguilar,FRA,DF,Monaco,29,1993,13.0,18,1.38,14,1,0,1,1,1,2,0.15,2,0,0,0,0,0
Amar Ahmed,SWE,FW,Troyes,18,2004,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jean-Eudes Aholou,CIV,MF,Strasbourg,28,1994,14.4,28,1.94,21,1,0,1,2,3,2,0.14,2,0,0,0,0,0
Ludovic Ajorque,FRA,FW,Strasbourg,28,1994,8.6,22,2.57,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0
Maghnes Akliouche,FRA,"MF,FW",Monaco,20,2002,4.5,9,2.01,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Doğan Alemdar,TUR,GK,Rennes,19,2002,4.5,1,0.22,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jim Allevinah,GAB,"DF,FW",Clermont Foot,27,1995,24.9,48,1.93,39,1,3,2,3,0,2,0.08,1,0,0,1,0,0
Mickaël Alphonse,GLP,DF,Ajaccio,33,1989,15.1,19,1.25,15,1,1,1,0,1,0,0.0,0,0,0,0,0,0
Ibrahim Amadou,FRA,"DF,MF",Angers,29,1993,4.7,3,0.64,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ayoub Amraoui,MAR,"DF,FW",Nice,18,2004,3.3,4,1.22,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
