Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,21.9,7,1,1,39,34,0,12,27,46,0,0,0,174,22,29,43.1,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,14.8,1,1,0,14,21,3,0,9,7,0,0,0,30,25,33,43.1,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2.0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,33.3,6,1,0,20,19,0,0,61,20,0,0,0,127,92,45,67.2,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,9.5,0,0,0,11,20,5,10,8,26,0,0,0,52,7,4,63.6,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,2.7,1,0,0,6,7,0,31,5,5,0,0,0,16,0,0,,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,0,0,0,5,7,0,5,1,0,1,0,0,14,4,7,36.4,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,30.2,6,0,0,66,71,15,13,4,14,1,0,0,67,62,80,43.7,Matches
10,Ale,br BRA,MF,América (MG),32,1990,15.8,7,1,1,31,24,1,11,28,17,0,0,0,145,20,10,66.7,Matches
11,Alexandre Alemão,br BRA,FW,Internacional,24,1998,3.8,2,0,0,12,14,1,2,1,5,0,0,0,17,6,18,25.0,Matches
12,Alerrandro,br BRA,"FW,MF",RB Bragantino,23,2000,4.5,3,1,0,9,9,5,1,0,2,0,0,0,6,4,20,16.7,Matches
13,Alesson,br BRA,"FW,MF",Goiás,23,1999,7.3,3,0,0,11,9,10,23,1,10,0,0,0,31,14,15,48.3,Matches
14,Alex,br BRA,DF,Santos,23,1999,5.1,1,0,0,4,5,0,0,8,7,0,0,0,21,6,6,50.0,Matches
15,Caio Alexandre,br BRA,MF,Fortaleza,23,1999,29.2,4,0,0,56,42,4,27,24,42,0,0,0,188,8,20,28.6,Matches
16,Matheus Alexandre,br BRA,DF,Cuiabá,23,1999,33.1,5,0,0,36,12,4,72,42,58,0,1,0,177,39,31,55.7,Matches
17,Alexsander,br BRA,"MF,DF",Fluminense,19,2003,13.3,3,0,0,27,19,1,17,10,19,0,1,0,74,11,14,44.0,Matches
18,Alison,br BRA,MF,Santos,29,1993,1.5,0,0,0,1,1,0,0,3,1,0,0,0,9,3,2,60.0,Matches
19,Alisson,br BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,1,0,0,3,1,0,3,0,2,0,0,0,5,0,1,0.0,Matches
20,Alisson,br BRA,"MF,FW",São Paulo,29,1993,23.9,2,0,0,39,45,2,59,28,32,1,0,0,121,16,29,35.6,Matches
21,Allan,br BRA,MF,Flamengo,25,1997,5.4,1,0,0,10,9,0,3,8,7,0,0,0,38,2,3,40.0,Matches
22,Allano,br BRA,FW,Goiás,27,1995,13.7,5,0,0,21,42,5,13,11,20,0,0,0,80,27,20,57.4,Matches
23,Henrique Almeida,br BRA,FW,América (MG),31,1991,1.7,0,0,0,5,1,1,2,0,1,0,1,0,4,3,10,23.1,Matches
24,Rodrigo Alves,br BRA,MF,Vasco da Gama,20,2002,3.9,1,0,0,4,2,0,0,3,5,0,0,0,14,3,4,42.9,Matches
25,Anderson,br BRA,GK,Cruzeiro,24,1998,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
26,Anderson,br BRA,"FW,MF",Goiás,24,1998,14.3,1,0,0,25,21,1,20,3,16,0,0,0,90,3,15,16.7,Matches
27,André,br BRA,DF,Bahia,19,2003,1.4,1,0,0,2,1,0,9,1,1,0,0,0,5,2,0,100.0,Matches
28,André,br BRA,"MF,DF",Fluminense,21,2001,29.4,11,1,0,41,49,0,5,31,37,0,0,0,214,12,14,46.2,Matches
