Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,21.9,1482,38,351,945,202,16,1482,32,14,43.8,13,40.6,896,4239,2242,30,26,5,25,18,998,38,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,14.8,362,20,44,178,144,47,362,7,3,42.9,4,57.1,180,526,126,3,3,1,18,16,250,49,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2.0,65,54,65,0,0,0,65,0,0,,0,,23,141,109,0,0,0,0,0,10,0,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,33.3,1898,292,990,878,35,28,1898,0,0,,0,,984,4187,2305,2,3,1,3,1,1143,3,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,9.5,502,7,79,236,198,22,502,45,25,55.6,14,31.1,337,2592,1465,49,33,7,17,5,357,68,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,2.7,176,0,12,61,107,10,176,13,7,53.8,4,30.8,123,898,560,17,14,5,6,9,127,42,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2.0,45,40,45,0,0,0,45,0,0,,0,,17,110,85,0,0,0,0,0,6,0,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,127,4,19,46,66,16,127,17,8,47.1,7,41.2,83,626,302,10,7,2,9,5,83,29,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,30.2,913,23,64,420,437,138,913,52,23,44.2,21,40.4,530,2591,959,41,30,20,93,35,700,201,Matches
10,Ale,br BRA,MF,América (MG),32,1990,15.8,1076,43,256,654,182,30,1076,26,16,61.5,8,30.8,682,3840,1829,29,21,2,25,19,691,37,Matches
11,Alexandre Alemão,br BRA,FW,Internacional,24,1998,3.8,136,3,11,64,64,25,136,19,9,47.4,9,47.4,90,468,207,7,7,5,19,4,100,37,Matches
12,Alerrandro,br BRA,"FW,MF",RB Bragantino,23,2000,4.5,115,7,9,44,63,19,115,6,3,50.0,3,50.0,69,212,91,3,3,1,13,3,82,21,Matches
13,Alesson,br BRA,"FW,MF",Goiás,23,1999,7.3,306,8,47,103,167,34,306,33,16,48.5,17,51.5,172,1373,607,24,20,8,17,17,197,68,Matches
14,Alex,br BRA,DF,Santos,23,1999,5.1,291,26,150,126,18,9,291,2,2,100.0,0,0.0,193,1086,622,3,1,0,4,2,212,0,Matches
15,Caio Alexandre,br BRA,MF,Fortaleza,23,1999,29.2,2074,42,393,1433,275,25,2074,32,16,50.0,11,34.4,1379,9231,5170,91,41,10,30,35,1522,38,Matches
16,Matheus Alexandre,br BRA,DF,Cuiabá,23,1999,33.1,1867,102,604,908,364,24,1867,38,19,50.0,17,44.7,868,4249,2300,41,23,5,37,20,955,97,Matches
17,Alexsander,br BRA,"MF,DF",Fluminense,19,2003,13.3,910,21,195,457,268,16,910,51,27,52.9,19,37.3,572,2903,1610,37,28,3,27,26,645,53,Matches
18,Alison,br BRA,MF,Santos,29,1993,1.5,83,10,28,52,3,0,83,2,1,50.0,1,50.0,38,213,80,3,2,0,4,2,45,1,Matches
19,Alisson,br BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,48,0,5,20,26,1,48,7,3,42.9,3,42.9,35,322,161,3,3,0,2,1,34,10,Matches
20,Alisson,br BRA,"MF,FW",São Paulo,29,1993,23.9,1555,36,240,881,448,31,1555,42,23,54.8,14,33.3,921,4631,2328,42,44,5,16,32,1136,104,Matches
21,Allan,br BRA,MF,Flamengo,25,1997,5.4,471,7,65,327,83,1,471,4,2,50.0,0,0.0,321,1730,891,12,13,0,3,3,361,6,Matches
22,Allano,br BRA,FW,Goiás,27,1995,13.7,626,19,112,294,232,48,626,48,21,43.8,21,43.8,375,2692,1398,39,32,11,36,20,423,90,Matches
23,Henrique Almeida,br BRA,FW,América (MG),31,1991,1.7,49,1,1,23,25,9,49,5,4,80.0,1,20.0,21,95,40,1,0,0,5,1,26,5,Matches
24,Rodrigo Alves,br BRA,MF,Vasco da Gama,20,2002,3.9,135,10,52,77,6,1,135,0,0,,0,,68,335,146,1,0,0,2,2,76,0,Matches
25,Anderson,br BRA,GK,Cruzeiro,24,1998,1.0,18,13,18,0,0,0,18,0,0,,0,,12,36,33,0,0,0,0,0,11,0,Matches
26,Anderson,br BRA,"FW,MF",Goiás,24,1998,14.3,647,6,102,292,276,35,647,71,40,56.3,28,39.4,424,2876,1557,44,37,12,39,37,483,105,Matches
