Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,21.9,0,23,4,17.4,1.05,0.18,0.00,0.00,25.3,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,14.8,3,24,11,45.8,1.62,0.74,0.13,0.27,14.4,0,0,0,2.6,2.6,0.11,+0.4,+0.4,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,33.3,1,12,5,41.7,0.36,0.15,0.08,0.20,9.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,9.5,0,10,3,30.0,1.05,0.32,0.00,0.00,24.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,2.7,0,4,1,25.0,1.47,0.37,0.00,0.00,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,2,7,3,42.9,2.13,0.91,0.29,0.67,12.5,0,0,0,1.1,1.1,0.16,+0.9,+0.9,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,30.2,8,86,28,32.6,2.84,0.93,0.09,0.29,14.6,0,0,0,10.0,10.0,0.12,-2.0,-2.0,Matches
10,Ale,br BRA,MF,América (MG),32,1990,15.8,1,13,1,7.7,0.82,0.06,0.08,1.00,14.2,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches
11,Alexandre Alemão,br BRA,FW,Internacional,24,1998,3.8,1,14,3,21.4,3.71,0.79,0.07,0.33,14.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
12,Alerrandro,br BRA,"FW,MF",RB Bragantino,23,2000,4.5,1,13,3,23.1,2.89,0.67,0.08,0.33,14.4,0,0,0,3.1,3.1,0.24,-2.1,-2.1,Matches
13,Alesson,br BRA,"FW,MF",Goiás,23,1999,7.3,2,16,3,18.8,2.20,0.41,0.13,0.67,16.3,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
14,Alex,br BRA,DF,Santos,23,1999,5.1,0,4,2,50.0,0.79,0.40,0.00,0.00,11.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
15,Caio Alexandre,br BRA,MF,Fortaleza,23,1999,29.2,2,19,5,26.3,0.65,0.17,0.11,0.40,21.9,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
16,Matheus Alexandre,br BRA,DF,Cuiabá,23,1999,33.1,1,8,2,25.0,0.24,0.06,0.13,0.50,18.9,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches
17,Alexsander,br BRA,"MF,DF",Fluminense,19,2003,13.3,0,9,2,22.2,0.68,0.15,0.00,0.00,21.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
18,Alison,br BRA,MF,Santos,29,1993,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Alisson,br BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,0,1,0,0.0,1.84,0.00,0.00,,33.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
20,Alisson,br BRA,"MF,FW",São Paulo,29,1993,23.9,0,25,4,16.0,1.05,0.17,0.00,0.00,21.6,1,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
21,Allan,br BRA,MF,Flamengo,25,1997,5.4,0,6,2,33.3,1.12,0.37,0.00,0.00,28.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
22,Allano,br BRA,FW,Goiás,27,1995,13.7,1,30,12,40.0,2.18,0.87,0.03,0.08,18.9,0,0,0,2.1,2.1,0.07,-1.1,-1.1,Matches
23,Henrique Almeida,br BRA,FW,América (MG),31,1991,1.7,0,6,2,33.3,3.46,1.15,0.00,0.00,20.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
24,Rodrigo Alves,br BRA,MF,Vasco da Gama,20,2002,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Anderson,br BRA,GK,Cruzeiro,24,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
26,Anderson,br BRA,"FW,MF",Goiás,24,1998,14.3,0,17,2,11.8,1.19,0.14,0.00,0.00,21.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
27,André,br BRA,DF,Bahia,19,2003,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,André,br BRA,"MF,DF",Fluminense,21,2001,29.4,0,12,3,25.0,0.41,0.10,0.00,0.00,28.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
29,Ângelo,br BRA,"FW,MF",Santos,18,2004,6.0,2,6,3,50.0,1.00,0.50,0.33,0.67,16.9,0,0,0,1.1,1.1,0.18,+0.9,+0.9,Matches
30,Maurício Antônio,br BRA,DF,Coritiba,30,1992,2.0,0,2,0,0.0,1.00,0.00,0.00,,30.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
31,Apodi,br BRA,"FW,MF",Goiás,36,1986,4.2,1,8,5,62.5,1.88,1.18,0.13,0.20,18.5,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches
32,Guilherme Arana,br BRA,DF,Atlético Mineiro,25,1997,26.5,2,28,7,25.0,1.06,0.26,0.07,0.29,23.9,0,0,0,1.0,1.0,0.04,+1.0,+1.0,Matches
