Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,31,21,1970,21.9,0,0,0,0,0,0,7,1,0.9,0.9,1.2,2.1,30,112,38,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,29,17,1330,14.8,3,1,4,3,0,0,1,1,2.6,2.6,1.3,3.9,3,23,49,0.20,0.07,0.27,0.20,0.27,0.18,0.09,0.26,0.18,0.26,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,35,35,2996,33.3,1,1,2,1,0,0,6,1,1.1,1.1,0.3,1.4,2,56,3,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,15,9,857,9.5,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.4,49,53,68,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,8,1,245,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,17,17,42,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,15,1,296,3.3,2,0,2,2,0,0,0,0,1.1,1.1,0.2,1.4,10,9,29,0.61,0.00,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,34,32,2722,30.2,8,3,11,8,0,0,6,0,10.0,10.0,2.7,12.7,41,28,201,0.26,0.10,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,Matches
10,Ale,br BRA,MF,América (MG),32,1990,27,14,1424,15.8,1,0,1,1,0,0,7,1,1.8,1.8,1.2,3.0,29,110,37,0.06,0.00,0.06,0.06,0.06,0.12,0.07,0.19,0.12,0.19,Matches
11,Alexandre Alemão,br BRA,FW,Internacional,24,1998,9,3,340,3.8,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.4,7,7,37,0.26,0.00,0.26,0.26,0.26,0.33,0.04,0.36,0.33,0.36,Matches
12,Alerrandro,br BRA,"FW,MF",RB Bragantino,23,2000,14,2,405,4.5,1,0,1,1,0,0,3,1,3.1,3.1,0.2,3.2,3,9,21,0.22,0.00,0.22,0.22,0.22,0.68,0.03,0.72,0.68,0.72,Matches
13,Alesson,br BRA,"FW,MF",Goiás,23,1999,23,3,655,7.3,2,1,3,2,0,0,3,0,1.2,1.2,0.5,1.7,24,9,68,0.27,0.14,0.41,0.27,0.41,0.16,0.07,0.23,0.16,0.23,Matches
14,Alex,br BRA,DF,Santos,23,1999,6,5,455,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.6,3,7,0,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
15,Caio Alexandre,br BRA,MF,Fortaleza,23,1999,34,32,2624,29.2,2,2,4,2,0,0,4,0,2.0,2.0,2.8,4.8,91,208,38,0.07,0.07,0.14,0.07,0.14,0.07,0.10,0.17,0.07,0.17,Matches
16,Matheus Alexandre,br BRA,DF,Cuiabá,23,1999,35,33,2980,33.1,1,0,1,1,0,0,5,0,0.8,0.8,1.2,1.9,41,108,97,0.03,0.00,0.03,0.03,0.03,0.02,0.03,0.06,0.02,0.06,Matches
17,Alexsander,br BRA,"MF,DF",Fluminense,19,2003,19,13,1194,13.3,0,1,1,0,0,0,3,0,0.3,0.3,1.4,1.7,37,53,53,0.00,0.08,0.08,0.00,0.08,0.02,0.11,0.13,0.02,0.13,Matches
18,Alison,br BRA,MF,Santos,29,1993,5,2,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Alisson,br BRA,"MF,DF",Atlético Mineiro,17,2005,5,0,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,3,10,0.00,0.00,0.00,0.00,0.00,0.03,0.33,0.35,0.03,0.35,Matches
20,Alisson,br BRA,"MF,FW",São Paulo,29,1993,35,26,2153,23.9,0,5,5,0,0,0,2,0,1.1,1.1,2.7,3.8,42,143,104,0.00,0.21,0.21,0.00,0.21,0.05,0.11,0.16,0.05,0.16,Matches
21,Allan,br BRA,MF,Flamengo,25,1997,9,4,482,5.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,12,38,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
22,Allano,br BRA,FW,Goiás,27,1995,19,15,1237,13.7,1,0,1,1,0,0,5,0,2.1,2.1,0.8,3.0,39,55,90,0.07,0.00,0.07,0.07,0.07,0.16,0.06,0.22,0.16,0.22,Matches
23,Henrique Almeida,br BRA,FW,América (MG),31,1991,4,2,156,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,1,3,5,0.00,0.00,0.00,0.00,0.00,0.21,0.20,0.41,0.21,0.41,Matches
24,Rodrigo Alves,br BRA,MF,Vasco da Gama,20,2002,8,4,352,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
25,Anderson,br BRA,GK,Cruzeiro,24,1998,1,1,90,1.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
26,Anderson,br BRA,"FW,MF",Goiás,24,1998,20,18,1291,14.3,0,2,2,0,0,0,1,0,0.7,0.7,1.4,2.1,44,37,105,0.00,0.14,0.14,0.00,0.14,0.05,0.09,0.15,0.05,0.15,Matches
27,André,br BRA,DF,Bahia,19,2003,3,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
28,André,br BRA,"MF,DF",Fluminense,21,2001,31,29,2649,29.4,0,0,0,0,0,0,11,1,0.4,0.4,0.6,0.9,58,185,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
29,Ângelo,br BRA,"FW,MF",Santos,18,2004,12,5,542,6.0,2,0,2,2,0,0,1,0,1.1,1.1,1.0,2.0,26,25,38,0.33,0.00,0.33,0.33,0.33,0.18,0.16,0.33,0.18,0.33,Matches
30,Maurício Antônio,br BRA,DF,Coritiba,30,1992,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
31,Apodi,br BRA,"FW,MF",Goiás,36,1986,13,2,382,4.2,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,4,16,0.24,0.00,0.24,0.24,0.24,0.20,0.06,0.25,0.20,0.25,Matches
32,Guilherme Arana,br BRA,DF,Atlético Mineiro,25,1997,28,27,2385,26.5,2,0,2,2,0,0,2,1,1.0,1.0,1.0,2.1,59,135,121,0.08,0.00,0.08,0.08,0.08,0.04,0.04,0.08,0.04,0.08,Matches
33,Charles Aránguiz,cl CHI,MF,Internacional,33,1989,22,16,1267,14.1,0,1,1,0,0,0,3,0,1.0,1.0,1.3,2.3,7,89,28,0.00,0.07,0.07,0.00,0.07,0.07,0.09,0.16,0.07,0.16,Matches
34,João Araújo,br BRA,MF,Grêmio,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
