Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,19,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,Matches
3,Junior Adamu,at AUT,"FW,MF",Freiburg,22,2001,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,Matches
4,Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6,Matches
5,Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,Matches
6,Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10,Matches
7,Felix Agu,ng NGA,"DF,MF",Werder Bremen,23,1999,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30,Matches
8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6,Matches
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6,Matches
10,Faride Alidou,de GER,"FW,MF",Köln,22,2001,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17,Matches
11,Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,26,1996,14.6,798,612,181,80,2,3,126,9,88,32,44,0,567,5,11,Matches
13,Nadiem Amiri,de GER,MF,Leverkusen,26,1996,1.0,100,98,2,1,0,0,1,0,1,0,0,0,92,0,2,Matches
14,Kofi Amoako,de GER,MF,Wolfsburg,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Robert Andrich,de GER,"MF,DF",Leverkusen,28,1994,18.8,1494,1458,34,32,5,4,14,2,0,0,0,0,1346,2,10,Matches
16,Waldemar Anton,de GER,DF,Stuttgart,27,1996,32.1,2624,2511,109,51,6,9,14,29,0,0,0,0,2330,4,16,Matches
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29,1994,13.5,454,343,108,1,1,1,55,106,0,0,0,0,274,3,21,Matches
18,Asaf Arania,il ISR,MF,Darmstadt 98,17,2005,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches
19,Maximilian Arnold,de GER,MF,Wolfsburg,29,1994,27.8,1582,1404,171,87,4,17,110,1,58,39,13,2,1285,7,19,Matches
20,Arthur,br BRA,DF,Leverkusen,20,2003,2.0,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3,Matches
