Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Azeem Abdulai,sct SCO,"DF,FW",Swansea City,20,2002,1.5,6,4,3,2,1,4,7,57.1,3,4,0,4,4,10,6,0,Matches
2,Ken Aboh,eng ENG,MF,Norwich City,18,2004,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
3,Che Adams,sct SCO,FW,Southampton,27,1996,25.4,19,15,3,9,7,8,12,66.7,4,18,7,11,5,24,11,0,Matches
4,Ebou Adams,gm GAM,"MF,DF",Cardiff City,27,1996,3.4,16,12,11,4,1,9,11,81.8,2,3,0,3,5,21,18,0,Matches
5,Albert Adomah,gh GHA,"DF,FW",QPR,35,1987,4.1,20,9,10,7,3,6,15,40.0,9,5,0,5,3,23,8,0,Matches
6,Emanuel Aiwum,at AUT,DF,Birmingham City,22,2000,21.6,45,27,26,17,2,28,34,82.4,6,44,27,17,20,65,85,2,Matches
7,Semi Ajayi,ng NGA,DF,West Brom,29,1993,13.4,19,12,11,6,2,9,15,60.0,6,9,5,4,10,29,30,1,Matches
8,Yunus Akgün,tr TUR,"MF,FW",Leicester City,23,2000,9.9,16,10,5,7,4,4,11,36.4,7,10,0,10,6,22,3,0,Matches
9,Marc Albrighton,eng ENG,FW,Leicester City,33,1989,1.4,5,4,1,3,1,3,5,60.0,2,2,0,2,2,7,3,0,Matches
10,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,20,2002,12.2,29,18,6,15,8,15,28,53.6,13,21,2,19,6,35,14,0,Matches
11,Ajibola Alese,eng ENG,DF,Sunderland,22,2001,5.1,10,9,6,3,1,4,7,57.1,3,7,1,6,6,16,13,0,Matches
12,Rúnar Alex Rúnarsson,is ISL,GK,Cardiff City,28,1995,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
13,Jamie Allen,eng ENG,MF,Coventry City,28,1995,12.9,15,7,9,4,2,6,22,27.3,16,6,1,5,14,29,7,1,Matches
14,Joe Allen,wls WAL,MF,Swansea City,33,1990,7.1,13,8,3,7,3,8,15,53.3,7,5,1,4,15,28,9,0,Matches
15,Ryan Allsop,eng ENG,GK,Hull City,31,1992,36.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,15,2,Matches
16,Jak Alnwick,eng ENG,GK,Cardiff City,30,1993,24.0,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,12,1,Matches
17,Sone Aluko,ng NGA,FW,Ipswich Town,34,1989,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
18,Samuel Amo-Ameyaw,eng ENG,"FW,MF",Southampton,17,2006,0.8,3,2,1,0,2,2,3,66.7,1,2,0,2,0,3,1,0,Matches
19,Ethan Ampadu,wls WAL,"MF,DF",Leeds United,22,2000,46.0,70,42,34,32,4,29,44,65.9,15,64,36,28,64,134,111,0,Matches
20,Lucas Andersen,dk DEN,MF,QPR,28,1994,10.1,14,9,5,7,2,8,16,50.0,8,12,0,12,11,25,8,0,Matches
21,Keshi Anderson,eng ENG,"FW,MF",Birmingham City,28,1995,11.3,14,7,7,4,3,5,14,35.7,9,12,0,12,7,21,12,0,Matches
22,Kai Andrews,wls WAL,MF,Coventry City,16,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
23,Ryan Andrews,eng ENG,"DF,MF",Watford,18,2004,28.6,48,38,26,18,4,22,40,55.0,18,32,3,29,44,92,62,2,Matches
24,Jaidon Anthony,eng ENG,"FW,MF",Leeds United,23,1999,5.6,14,5,6,6,2,8,18,44.4,10,10,0,10,2,16,4,0,Matches
25,Adil Aouchiche,fr FRA,"MF,FW",Sunderland,21,2002,12.2,25,16,7,9,9,9,25,36.0,16,11,0,11,10,35,6,0,Matches
26,Arvin Appiah,eng ENG,"FW,MF",Rotherham Utd,22,2001,9.3,9,6,3,4,2,4,10,40.0,6,11,0,11,5,14,2,0,Matches
27,Joe Aribo,ng NGA,MF,Southampton,27,1996,17.8,48,31,13,21,14,18,30,60.0,12,24,2,22,9,57,8,0,Matches
28,Adam Armstrong,eng ENG,"FW,MF",Southampton,26,1997,41.6,25,16,8,8,9,13,28,46.4,15,30,3,27,9,34,23,0,Matches
29,Sinclair Armstrong,ie IRL,FW,QPR,20,2003,19.8,5,4,1,1,3,1,5,20.0,4,11,0,11,3,8,1,0,Matches
30,Stuart Armstrong,sct SCO,MF,Southampton,31,1992,31.4,34,21,12,16,6,15,44,34.1,29,22,1,21,11,45,24,0,Matches
31,Harrison Ashby,sct SCO,"DF,MF",Swansea City,21,2001,8.9,26,20,13,11,2,12,25,48.0,13,12,4,8,18,44,18,1,Matches
32,Cian Ashford,wls WAL,FW,Cardiff City,18,2004,3.5,7,3,6,1,0,3,8,37.5,5,3,0,3,1,8,3,0,Matches
33,Yaser Asprilla,co COL,"FW,MF",Watford,19,2003,30.4,47,30,9,26,12,20,55,36.4,35,29,0,29,20,67,4,0,Matches
34,Joshua Austerfield,eng ENG,MF,Huddersfield,21,2001,0.8,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
35,Daniel Ayala,es ESP,DF,Rotherham Utd,32,1990,3.9,9,5,5,4,0,2,5,40.0,3,6,4,2,15,24,14,0,Matches
36,Yasin Ayari,se SWE,MF,Blackburn,19,2003,3.7,15,9,5,4,6,5,12,41.7,7,5,0,5,4,19,2,0,Matches
37,Yasin Ayari,se SWE,MF,Coventry City,19,2003,6.1,13,8,4,5,4,7,12,58.3,5,5,0,5,5,18,3,0,Matches
38,Loick Ayina,cg CGO,"DF,MF",Huddersfield,20,2003,0.9,0,0,0,0,0,0,0,,0,3,3,0,1,1,4,0,Matches
