Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Azeem Abdulai,sct SCO,"DF,FW",Swansea City,20,2002,1.5,75,94,79.8,1244,202,35,37,94.6,32,44,72.7,5,9,55.6,1,0.1,0.1,+0.9,3,6,4,1,9,Matches
2,Ken Aboh,eng ENG,MF,Norwich City,18,2004,0.1,4,4,100.0,52,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
3,Che Adams,sct SCO,FW,Southampton,27,1996,25.4,516,678,76.1,8988,1974,238,279,85.3,193,242,79.8,65,88,73.9,4,3.6,3.5,+0.4,31,50,24,0,88,Matches
4,Ebou Adams,gm GAM,"MF,DF",Cardiff City,27,1996,3.4,113,155,72.9,2079,576,49,59,83.1,50,62,80.6,14,27,51.9,0,0.0,0.0,0.0,0,9,0,0,5,Matches
5,Albert Adomah,gh GHA,"DF,FW",QPR,35,1987,4.1,60,114,52.6,920,377,37,45,82.2,18,36,50.0,4,18,22.2,0,0.4,0.6,-0.4,5,4,2,2,1,Matches
6,Emanuel Aiwum,at AUT,DF,Birmingham City,22,2000,21.6,774,921,84.0,14518,4640,280,313,89.5,405,457,88.6,75,125,60.0,0,0.2,0.2,-0.2,3,36,2,1,50,Matches
7,Semi Ajayi,ng NGA,DF,West Brom,29,1993,13.4,634,785,80.8,13163,4639,195,220,88.6,339,396,85.6,98,150,65.3,1,0.2,0.2,+0.8,5,54,2,1,44,Matches
8,Yunus Akgün,tr TUR,"MF,FW",Leicester City,23,2000,9.9,370,426,86.9,5499,910,202,226,89.4,143,157,91.1,14,25,56.0,2,1.6,1.6,+0.4,15,21,7,1,27,Matches
9,Marc Albrighton,eng ENG,FW,Leicester City,33,1989,1.4,64,103,62.1,1196,448,33,39,84.6,19,32,59.4,10,28,35.7,0,0.8,0.6,-0.8,7,8,6,3,8,Matches
10,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,20,2002,12.2,508,616,82.5,7850,1771,276,314,87.9,171,202,84.7,42,61,68.9,1,1.1,1.7,-0.1,17,51,23,1,78,Matches
11,Ajibola Alese,eng ENG,DF,Sunderland,22,2001,5.1,255,324,78.7,3806,1241,130,149,87.2,107,129,82.9,10,26,38.5,0,0.8,0.8,-0.8,7,9,1,0,17,Matches
12,Rúnar Alex Rúnarsson,is ISL,GK,Cardiff City,28,1995,6.0,176,221,79.6,4296,2565,42,42,100.0,86,86,100.0,47,91,51.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
