Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Azeem Abdulai,SCO,"DF,FW",Swansea City,20.0,2002.0,1.5,136,3,22,70,46,2,136,8,1,12.5,3,37.5,72,525,146,5,7,0,7,2,84,18
Ken Aboh,ENG,MF,Norwich City,18.0,2004.0,0.1,5,0,1,3,1,0,5,0,0,,0,,1,0,0,0,0,0,0,0,4,0
Che Adams,SCO,FW,Southampton,27.0,1996.0,25.4,921,18,70,470,393,126,921,34,19,55.9,12,35.3,575,2126,737,21,16,9,58,20,747,150
Ebou Adams,GAM,"MF,DF",Cardiff City,27.0,1996.0,3.4,215,20,92,115,8,3,215,1,0,0.0,1,100.0,112,409,118,2,1,2,7,3,112,0
Albert Adomah,GHA,"DF,FW",QPR,35.0,1987.0,4.1,175,9,54,55,70,10,175,9,3,33.3,5,55.6,79,470,262,10,4,0,12,7,78,26
Emanuel Aiwum,AUT,DF,Birmingham City,22.0,2000.0,21.6,1159,163,637,487,39,12,1159,10,4,40.0,5,50.0,573,2605,1166,3,2,0,10,3,668,3
Semi Ajayi,NGA,DF,West Brom,29.0,1993.0,13.4,893,82,396,427,75,15,893,15,9,60.0,5,33.3,502,2701,1635,21,16,0,13,8,623,2
Yunus Akgün,TUR,"MF,FW",Leicester City,23.0,2000.0,9.9,513,0,49,226,243,38,513,17,8,47.1,7,41.2,337,1698,733,24,13,8,20,13,391,80
Marc Albrighton,ENG,FW,Leicester City,33.0,1989.0,1.4,123,2,15,43,67,5,123,4,1,25.0,3,75.0,77,317,132,6,2,0,5,2,84,20
Carlos Alcaraz,ARG,"MF,FW",Southampton,20.0,2002.0,12.2,808,19,74,445,301,37,807,47,23,48.9,23,48.9,513,2572,1219,28,28,6,35,17,628,74
Ajibola Alese,ENG,DF,Sunderland,22.0,2001.0,5.1,371,14,140,157,75,11,371,4,1,25.0,1,25.0,167,630,328,7,5,3,3,1,213,18
Rúnar Alex Rúnarsson,ISL,GK,Cardiff City,28.0,1995.0,6.0,231,194,227,4,0,0,231,0,0,,0,,141,551,292,0,0,0,1,1,117,0
Jamie Allen,ENG,MF,Coventry City,28.0,1995.0,12.9,559,20,100,292,173,18,559,15,7,46.7,8,53.3,321,1818,925,22,11,2,23,10,385,44
Joe Allen,WAL,MF,Swansea City,33.0,1990.0,7.1,376,17,84,224,70,12,376,9,5,55.6,3,33.3,170,741,380,9,4,2,10,9,227,9
