Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,1,15.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,10,0.56,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,Matches
6,Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,Matches
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,14,0.68,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,9,2.30,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches
