Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Patrick van Aanholt,NED,DF,PSV Eindhoven,32.0,1990.0,12.4,22,17,13,6,3,13,20,65.0,7,4,1,3,15,37,9,0
Paxten Aaronson,USA,MF,Vitesse,19.0,2003.0,13.9,44,25,22,16,6,18,30,60.0,12,21,3,18,9,53,9,0
Jayden Addai,NED,FW,AZ Alkmaar,17.0,2005.0,3.3,9,7,6,1,2,6,11,54.5,5,3,0,3,0,9,2,0
Bobby Adekanye,NED,FW,Go Ahead Eag,24.0,1999.0,20.0,18,11,6,9,3,8,27,29.6,19,18,2,16,4,22,12,0
Shawn Adewoye,BEL,DF,RKC Waalwijk,23.0,2000.0,26.0,36,24,23,9,4,22,33,66.7,11,57,36,21,32,68,169,1
Nikolas Agrafiotis,NED,FW,Excelsior,23.0,2000.0,8.4,12,7,2,6,4,4,8,50.0,4,3,1,2,1,13,13,0
Chuba Akpom,ENG,"FW,MF",Ajax,27.0,1995.0,11.7,15,8,2,10,3,4,8,50.0,4,9,0,9,3,18,13,0
Hamdi Akujobi,NED,"DF,FW",Almere City,23.0,2000.0,17.3,39,29,23,13,3,11,24,45.8,13,35,11,24,16,55,33,0
Hussein Ali,IRQ,"DF,FW",Heerenveen,21.0,2002.0,7.8,11,7,8,2,1,8,14,57.1,6,7,2,5,12,23,25,0
Jordi Altena,NED,MF,Vitesse,19.0,2003.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ben Aissa Ben Amar,MAR,DF,Volendam,26.0,1997.0,25.2,30,19,21,9,0,18,39,46.2,21,39,31,8,24,54,93,1
Jaydon Amauri Banel,NED,"FW,MF",Ajax,18.0,2004.0,1.0,3,2,1,1,1,1,4,25.0,3,0,0,0,0,3,1,0
Pelle van Amersfoort,NED,FW,Heerenveen,27.0,1996.0,23.7,12,6,3,7,2,3,17,17.6,14,11,2,9,7,19,18,0
Jamal Amofa,NED,DF,Go Ahead Eag,24.0,1998.0,18.5,31,19,25,6,0,13,20,65.0,7,29,26,3,17,48,51,1
Silas Andersen,DEN,FW,Utrecht,19.0,2004.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Augustin Anello,ITA,"FW,MF",Sparta R'dam,21.0,2002.0,2.5,4,3,2,1,1,2,10,20.0,8,2,0,2,0,4,0,0
Joey Antonioli,NED,MF,Volendam,19.0,2003.0,1.1,1,1,1,0,0,1,3,33.3,2,2,0,2,0,1,0,0
Carlens Arcus,HAI,DF,Vitesse,27.0,1996.0,24.2,60,39,37,16,7,33,62,53.2,29,22,3,19,47,107,60,1
