Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
1,Patrick van Aanholt,nl NED,DF,PSV Eindhoven,32,1990,12.4,45,3.63,36,2,3,3,0,1,5,0.40,5,0,0,0,0,0,Matches
2,Paxten Aaronson,us USA,MF,Vitesse,19,2003,13.9,45,3.23,26,9,3,6,1,0,4,0.29,2,0,1,1,0,0,Matches
3,Jayden Addai,nl NED,FW,AZ Alkmaar,17,2005,3.3,7,2.12,6,0,0,0,1,0,1,0.30,1,0,0,0,0,0,Matches
4,Bobby Adekanye,nl NED,FW,Go Ahead Eag,24,1999,20.0,71,3.54,45,0,11,7,8,0,12,0.60,6,0,3,2,1,0,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,26.0,21,0.81,17,1,0,2,0,1,2,0.08,1,0,0,0,0,1,Matches
6,Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,8.4,22,2.60,19,0,1,1,0,1,4,0.47,3,0,0,1,0,0,Matches
7,Chuba Akpom,eng ENG,"FW,MF",Ajax,27,1995,11.7,29,2.49,22,0,1,5,1,0,4,0.34,3,0,0,1,0,0,Matches
8,Hamdi Akujobi,nl NED,"DF,FW",Almere City,23,2000,17.3,35,2.03,30,1,2,1,1,0,5,0.29,5,0,0,0,0,0,Matches
9,Hussein Ali,iq IRQ,"DF,FW",Heerenveen,21,2002,7.8,11,1.41,9,0,0,1,1,0,1,0.13,0,0,0,0,1,0,Matches
10,Jordi Altena,nl NED,MF,Vitesse,19,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Ben Aissa Ben Amar,ma MAR,DF,Volendam,26,1997,25.2,18,0.71,13,1,2,2,0,0,2,0.08,2,0,0,0,0,0,Matches
12,Jaydon Amauri Banel,nl NED,"FW,MF",Ajax,18,2004,1.0,5,4.89,3,0,0,2,0,0,1,0.98,0,0,0,1,0,0,Matches
13,Pelle van Amersfoort,nl NED,FW,Heerenveen,27,1996,23.7,46,1.94,35,0,3,5,1,2,5,0.21,3,0,1,1,0,0,Matches
14,Jamal Amofa,nl NED,DF,Go Ahead Eag,24,1998,18.5,22,1.19,18,0,1,1,0,2,2,0.11,1,0,1,0,0,0,Matches
15,Silas Andersen,dk DEN,FW,Utrecht,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Augustin Anello,it ITA,"FW,MF",Sparta R'dam,21,2002,2.5,7,2.80,4,1,1,1,0,0,1,0.40,1,0,0,0,0,0,Matches
17,Joey Antonioli,nl NED,MF,Volendam,19,2003,1.1,1,0.89,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Carlens Arcus,ht HAI,DF,Vitesse,27,1996,24.2,60,2.48,51,4,2,2,0,1,8,0.33,7,0,0,1,0,0,Matches
19,D'Leanu Arts,nl NED,DF,NEC Nijmegen,20,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Gastón Ávila,ar ARG,DF,Ajax,21,2001,3.9,6,1.53,3,1,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
21,Marouan Azarkan,nl NED,FW,Utrecht,21,2001,8.8,33,3.74,24,5,2,0,2,0,4,0.45,4,0,0,0,0,0,Matches
22,Anouar El Azzouzi,nl NED,MF,Zwolle,22,2001,14.6,39,2.67,31,1,2,1,2,2,3,0.21,1,0,1,0,1,0,Matches
23,Julian Baas,nl NED,MF,Excelsior,21,2002,32.0,80,2.50,35,39,0,2,4,0,11,0.34,3,6,0,0,2,0,Matches
24,Youri Baas,nl NED,"DF,FW",NEC Nijmegen,20,2003,19.1,51,2.67,37,6,2,4,1,1,10,0.52,6,2,1,1,0,0,Matches
25,Isaac Babadi,nl NED,MF,PSV Eindhoven,18,2005,3.9,11,2.80,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
26,Mio Backhaus,de GER,GK,Volendam,19,2004,32.0,13,0.41,7,5,0,0,0,1,2,0.06,2,0,0,0,0,0,Matches
27,Thibo Baeten,be BEL,"FW,MF",Go Ahead Eag,21,2002,10.1,32,3.18,21,0,5,1,4,1,2,0.20,2,0,0,0,0,0,Matches
28,Saïd Bakari,km COM,DF,Sparta R'dam,28,1994,31.7,52,1.64,44,5,2,1,0,0,8,0.25,7,0,1,0,0,0,Matches
29,Johan Bakayoko,be BEL,FW,PSV Eindhoven,20,2003,27.7,144,5.20,104,10,18,10,2,0,15,0.54,10,2,2,1,0,0,Matches
30,Navajo Bakboord,nl NED,DF,Heracles Almelo,24,1999,18.7,20,1.07,19,0,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches
31,Zakaria Bakkali,be BEL,"MF,FW",RKC Waalwijk,27,1996,8.0,28,3.49,14,5,4,1,4,0,2,0.25,0,0,1,0,1,0,Matches
32,Nordin Bakker,nl NED,GK,Almere City,25,1997,28.8,6,0.21,3,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Jesse Bal,nl NED,MF,Sparta R'dam,16,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Théo Barbet,fr FRA,DF,Almere City,22,2001,20.2,16,0.79,11,2,0,0,2,1,1,0.05,1,0,0,0,0,0,Matches
35,Vasilios Barkas,gr GRE,GK,Utrecht,29,1994,29.0,5,0.17,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Riechedly Bazoer,cw CUW,DF,AZ Alkmaar,26,1996,27.0,38,1.41,26,10,0,0,1,1,1,0.04,0,1,0,0,0,0,Matches
37,Sven van Beek,nl NED,DF,Heerenveen,29,1994,29.1,30,1.03,28,1,0,1,0,0,3,0.10,2,1,0,0,0,0,Matches
38,Thomas Beelen,nl NED,DF,Feyenoord,22,2001,14.4,26,1.80,23,0,0,2,0,1,3,0.21,3,0,0,0,0,0,Matches
39,Kristijan Belic,rs SRB,MF,AZ Alkmaar,22,2001,10.2,22,2.15,15,0,2,4,1,0,4,0.39,1,0,1,1,1,0,Matches
40,Mouhamed Belkheir,fr FRA,"FW,MF",Fortuna Sittard,24,1999,4.7,7,1.50,3,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
41,Armel Bella Kotchap,de GER,DF,PSV Eindhoven,21,2001,1.8,2,1.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Mimeirhel Benita,nl NED,DF,Excelsior,19,2003,10.5,12,1.14,8,0,1,2,1,0,3,0.29,1,0,0,1,1,0,Matches
43,Walter Benítez,ar ARG,GK,PSV Eindhoven,30,1993,32.9,3,0.09,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Mitchell van Bergen,nl NED,FW,Twente,23,1999,5.8,36,6.21,22,6,2,4,1,1,3,0.52,2,0,0,1,0,0,Matches
45,Steven Berghuis,nl NED,"FW,MF",Ajax,31,1991,16.0,90,5.62,68,13,6,3,0,0,14,0.87,10,3,0,1,0,0,Matches
46,Steven Bergwijn,nl NED,"FW,MF",Ajax,25,1997,21.6,99,4.58,72,4,16,4,3,0,14,0.65,9,0,3,1,1,0,Matches
47,Gijs Besselink,nl NED,"FW,MF",Twente,19,2004,0.6,2,3.16,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
48,Justin Bijlow,nl NED,GK,Feyenoord,25,1998,16.2,4,0.25,1,3,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
49,Daan Bisschops,nl NED,FW,Fortuna Sittard,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Adrian Blake,eng ENG,"FW,MF",Utrecht,18,2005,0.3,4,12.00,3,0,1,0,0,0,2,6.00,1,0,1,0,0,0,Matches
51,Xander Blomme,be BEL,MF,Go Ahead Eag,21,2002,7.9,11,1.39,10,0,0,0,1,0,1,0.13,1,0,0,0,0,0,Matches
52,Myron Boadu,nl NED,"FW,MF",Twente,22,2001,3.3,14,4.17,7,0,3,4,0,0,2,0.60,0,0,1,1,0,0,Matches
53,Paweł Bochniewicz,pl POL,DF,Heerenveen,27,1996,25.7,36,1.40,31,0,0,5,0,0,5,0.19,5,0,0,0,0,0,Matches
54,Ruben van Bommel,nl NED,FW,AZ Alkmaar,18,2004,17.2,54,3.14,42,1,6,1,3,1,5,0.29,4,0,0,1,0,0,Matches
55,Taylor Booth,us USA,FW,Utrecht,22,2001,9.6,22,2.28,14,1,3,3,1,0,1,0.10,1,0,0,0,0,0,Matches
56,Zach Booth,us USA,"MF,FW",Volendam,19,2004,17.3,27,1.56,16,0,4,4,3,0,3,0.17,3,0,0,0,0,0,Matches
57,Yvandro Borges Sanches,lu LUX,"FW,MF",NEC Nijmegen,19,2004,2.4,10,4.17,8,0,2,0,0,0,1,0.42,1,0,0,0,0,0,Matches
58,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,25,1997,31.5,74,2.35,70,0,1,2,1,0,11,0.35,10,0,0,1,0,0,Matches
59,Othman Boussaid,be BEL,FW,Utrecht,23,2000,21.9,91,4.15,74,4,3,8,2,0,10,0.46,7,0,1,2,0,0,Matches
60,Amine Boutrah,fr FRA,FW,Vitesse,22,2000,20.2,60,2.96,47,0,7,3,2,1,5,0.25,4,0,0,1,0,0,Matches
61,Can Bozdogan,de GER,MF,Utrecht,22,2001,21.8,43,1.97,22,8,1,4,5,3,3,0.14,0,1,0,2,0,0,Matches
62,Jayden Braaf,nl NED,"FW,MF",Fortuna Sittard,20,2002,0.5,3,5.51,3,0,0,0,0,0,1,1.84,1,0,0,0,0,0,Matches
63,Mattijs Branderhorst,nl NED,GK,Utrecht,29,1993,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Oliver Braude,no NOR,DF,Heerenveen,19,2004,23.5,39,1.66,30,4,1,1,2,1,5,0.21,4,0,0,1,0,0,Matches
65,Myron van Brederode,nl NED,FW,AZ Alkmaar,20,2003,14.6,49,3.36,42,1,3,1,1,1,9,0.62,9,0,0,0,0,0,Matches
66,Joshua Brenet,cw CUW,DF,Twente,29,1994,12.0,33,2.76,32,0,1,0,0,0,5,0.42,5,0,0,0,0,0,Matches
67,Jakob Breum,dk DEN,FW,Go Ahead Eag,19,2003,16.1,70,4.35,45,7,1,10,7,0,5,0.31,3,0,0,1,1,0,Matches
68,Brian Brobbey,nl NED,FW,Ajax,21,2002,26.7,92,3.44,67,0,8,5,11,1,15,0.56,8,0,3,1,3,0,Matches
69,Michael Brouwer,nl NED,GK,Heracles Almelo,30,1993,34.0,8,0.24,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
70,Luuk Brouwers,nl NED,MF,Heerenveen,25,1998,22.5,61,2.71,51,0,3,3,2,2,4,0.18,2,0,0,1,1,0,Matches
71,Damian van Bruggen,nl NED,DF,Almere City,27,1996,27.8,18,0.65,10,4,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
72,Jordy Bruijn,nl NED,MF,Heracles Almelo,27,1996,7.6,18,2.38,11,4,0,3,0,0,3,0.40,1,1,0,1,0,0,Matches
73,Jeffrey Bruma,nl NED,DF,RKC Waalwijk,31,1991,4.4,4,0.89,4,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
74,Max Bruns,nl NED,DF,Twente,20,2002,6.3,2,0.32,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,31,1992,12.0,36,2.99,26,6,0,1,2,1,5,0.42,4,1,0,0,0,0,Matches
76,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,24,1998,15.3,46,3.00,32,2,3,3,5,1,4,0.26,2,0,0,1,0,1,Matches
77,Thomas Buitink,nl NED,FW,Vitesse,23,2000,5.3,5,0.94,5,0,0,0,0,0,2,0.37,2,0,0,0,0,0,Matches
78,Stijn Bultman,nl NED,DF,Heracles Almelo,18,2005,12.4,8,0.64,6,0,0,2,0,0,3,0.24,2,0,0,1,0,0,Matches
79,Oskar Buur,dk DEN,DF,Volendam,25,1998,18.3,35,1.91,27,3,2,2,1,0,2,0.11,2,0,0,0,0,0,Matches
80,Zico Buurmeester,nl NED,MF,Zwolle,21,2002,15.1,32,2.11,26,5,0,0,1,0,6,0.40,5,0,0,0,1,0,Matches
81,Yoann Cathline,fr FRA,"DF,FW",Almere City,21,2002,19.1,50,2.62,30,3,9,4,2,2,5,0.26,4,0,0,1,0,0,Matches
82,Sava Cestic,rs SRB,DF,Heracles Almelo,22,2001,2.3,1,0.43,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Tjaronn Chery,sr SUR,"MF,FW",NEC Nijmegen,35,1988,11.5,65,5.64,34,15,5,6,3,2,9,0.78,6,1,0,1,0,1,Matches
84,Jasper Cillessen,nl NED,GK,NEC Nijmegen,34,1989,29.3,5,0.17,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
