Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Patrick van Aanholt,NED,DF,PSV Eindhoven,32.0,1990.0,12.4,45,3.63,36,2,3,3,0,1,5,0.4,5,0,0,0,0,0
Paxten Aaronson,USA,MF,Vitesse,19.0,2003.0,13.9,45,3.23,26,9,3,6,1,0,4,0.29,2,0,1,1,0,0
Jayden Addai,NED,FW,AZ Alkmaar,17.0,2005.0,3.3,7,2.12,6,0,0,0,1,0,1,0.3,1,0,0,0,0,0
Bobby Adekanye,NED,FW,Go Ahead Eag,24.0,1999.0,20.0,71,3.54,45,0,11,7,8,0,12,0.6,6,0,3,2,1,0
Shawn Adewoye,BEL,DF,RKC Waalwijk,23.0,2000.0,26.0,21,0.81,17,1,0,2,0,1,2,0.08,1,0,0,0,0,1
Nikolas Agrafiotis,NED,FW,Excelsior,23.0,2000.0,8.4,22,2.6,19,0,1,1,0,1,4,0.47,3,0,0,1,0,0
Chuba Akpom,ENG,"FW,MF",Ajax,27.0,1995.0,11.7,29,2.49,22,0,1,5,1,0,4,0.34,3,0,0,1,0,0
Hamdi Akujobi,NED,"DF,FW",Almere City,23.0,2000.0,17.3,35,2.03,30,1,2,1,1,0,5,0.29,5,0,0,0,0,0
Hussein Ali,IRQ,"DF,FW",Heerenveen,21.0,2002.0,7.8,11,1.41,9,0,0,1,1,0,1,0.13,0,0,0,0,1,0
Jordi Altena,NED,MF,Vitesse,19.0,2003.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ben Aissa Ben Amar,MAR,DF,Volendam,26.0,1997.0,25.2,18,0.71,13,1,2,2,0,0,2,0.08,2,0,0,0,0,0
Jaydon Amauri Banel,NED,"FW,MF",Ajax,18.0,2004.0,1.0,5,4.89,3,0,0,2,0,0,1,0.98,0,0,0,1,0,0
Pelle van Amersfoort,NED,FW,Heerenveen,27.0,1996.0,23.7,46,1.94,35,0,3,5,1,2,5,0.21,3,0,1,1,0,0
Jamal Amofa,NED,DF,Go Ahead Eag,24.0,1998.0,18.5,22,1.19,18,0,1,1,0,2,2,0.11,1,0,1,0,0,0
Silas Andersen,DEN,FW,Utrecht,19.0,2004.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Augustin Anello,ITA,"FW,MF",Sparta R'dam,21.0,2002.0,2.5,7,2.8,4,1,1,1,0,0,1,0.4,1,0,0,0,0,0
Joey Antonioli,NED,MF,Volendam,19.0,2003.0,1.1,1,0.89,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Carlens Arcus,HAI,DF,Vitesse,27.0,1996.0,24.2,60,2.48,51,4,2,2,0,1,8,0.33,7,0,0,1,0,0
D'Leanu Arts,NED,DF,NEC Nijmegen,20.0,2003.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gastón Ávila,ARG,DF,Ajax,21.0,2001.0,3.9,6,1.53,3,1,0,0,1,1,0,0.0,0,0,0,0,0,0
Marouan Azarkan,NED,FW,Utrecht,21.0,2001.0,8.8,33,3.74,24,5,2,0,2,0,4,0.45,4,0,0,0,0,0
Anouar El Azzouzi,NED,MF,Zwolle,22.0,2001.0,14.6,39,2.67,31,1,2,1,2,2,3,0.21,1,0,1,0,1,0
Julian Baas,NED,MF,Excelsior,21.0,2002.0,32.0,80,2.5,35,39,0,2,4,0,11,0.34,3,6,0,0,2,0
Youri Baas,NED,"DF,FW",NEC Nijmegen,20.0,2003.0,19.1,51,2.67,37,6,2,4,1,1,10,0.52,6,2,1,1,0,0
Isaac Babadi,NED,MF,PSV Eindhoven,18.0,2005.0,3.9,11,2.8,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0
