Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Patrick van Aanholt,NED,DF,PSV Eindhoven,32.0,1990.0,12.4,808,709,96,5,3,4,28,90,1,0,1,0,689,3,8
Paxten Aaronson,USA,MF,Vitesse,19.0,2003.0,13.9,426,385,39,6,0,2,30,1,19,7,6,0,339,2,16
Jayden Addai,NED,FW,AZ Alkmaar,17.0,2005.0,3.3,79,77,1,0,0,0,6,1,0,0,0,0,50,1,6
Bobby Adekanye,NED,FW,Go Ahead Eag,24.0,1999.0,20.0,453,448,3,2,5,4,46,1,0,0,0,0,314,2,15
Shawn Adewoye,BEL,DF,RKC Waalwijk,23.0,2000.0,26.0,1129,1084,45,31,1,5,1,7,0,0,0,0,972,0,17
Nikolas Agrafiotis,NED,FW,Excelsior,23.0,2000.0,8.4,185,178,7,0,0,0,3,1,0,0,0,0,115,0,9
Chuba Akpom,ENG,"FW,MF",Ajax,27.0,1995.0,11.7,252,244,6,0,1,2,5,0,1,0,0,0,187,2,12
Hamdi Akujobi,NED,"DF,FW",Almere City,23.0,2000.0,17.3,682,549,131,5,2,5,43,126,0,0,0,0,443,2,10
Hussein Ali,IRQ,"DF,FW",Heerenveen,21.0,2002.0,7.8,261,209,52,3,1,0,20,49,0,0,0,0,196,0,10
Jordi Altena,NED,MF,Vitesse,19.0,2003.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Ben Aissa Ben Amar,MAR,DF,Volendam,26.0,1997.0,25.2,1265,1195,67,45,0,17,4,7,0,0,0,0,1105,3,11
Jaydon Amauri Banel,NED,"FW,MF",Ajax,18.0,2004.0,1.0,40,38,2,1,1,0,2,1,0,0,0,0,32,0,1
Pelle van Amersfoort,NED,FW,Heerenveen,27.0,1996.0,23.7,442,418,20,0,1,0,10,4,0,0,0,0,258,4,21
Jamal Amofa,NED,DF,Go Ahead Eag,24.0,1998.0,18.5,775,741,31,23,1,9,1,1,0,0,0,0,628,3,2
Silas Andersen,DEN,FW,Utrecht,19.0,2004.0,0.1,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
Augustin Anello,ITA,"FW,MF",Sparta R'dam,21.0,2002.0,2.5,100,82,17,8,0,0,16,3,6,3,2,0,62,1,2
Joey Antonioli,NED,MF,Volendam,19.0,2003.0,1.1,20,19,0,0,0,0,0,0,0,0,0,0,13,1,1
Carlens Arcus,HAI,DF,Vitesse,27.0,1996.0,24.2,1509,1235,272,28,0,16,68,244,0,0,0,0,1232,2,33
D'Leanu Arts,NED,DF,NEC Nijmegen,20.0,2003.0,0.3,14,10,4,0,0,0,0,4,0,0,0,0,9,0,0
Gastón Ávila,ARG,DF,Ajax,21.0,2001.0,3.9,296,264,32,8,2,3,5,18,0,0,0,0,252,0,3
Marouan Azarkan,NED,FW,Utrecht,21.0,2001.0,8.8,342,310,32,10,1,0,54,10,11,8,2,0,237,0,11
Anouar El Azzouzi,NED,MF,Zwolle,22.0,2001.0,14.6,811,795,15,12,1,0,5,2,0,0,0,0,686,1,10
Julian Baas,NED,MF,Excelsior,21.0,2002.0,32.0,1387,1187,197,77,4,15,138,10,101,51,35,0,1069,3,29
Youri Baas,NED,"DF,FW",NEC Nijmegen,20.0,2003.0,19.1,757,632,124,8,0,6,28,110,6,0,2,0,577,1,22
Isaac Babadi,NED,MF,PSV Eindhoven,18.0,2005.0,3.9,233,224,4,3,1,5,3,1,0,0,0,0,188,5,4
Mio Backhaus,GER,GK,Volendam,19.0,2004.0,32.0,1404,1001,396,107,0,10,0,1,0,0,0,0,869,7,2
Thibo Baeten,BEL,"FW,MF",Go Ahead Eag,21.0,2002.0,10.1,203,184,17,1,0,1,10,2,2,0,2,0,140,2,7
Saïd Bakari,COM,DF,Sparta R'dam,28.0,1994.0,31.7,1439,1180,258,9,1,3,71,249,0,0,0,0,1126,1,37
Johan Bakayoko,BEL,FW,PSV Eindhoven,20.0,2003.0,27.7,1364,1269,93,8,8,5,130,37,35,21,2,0,1112,2,42
Navajo Bakboord,NED,DF,Heracles Almelo,24.0,1999.0,18.7,847,691,154,18,1,3,38,136,0,0,0,0,677,2,21
Zakaria Bakkali,BEL,"MF,FW",RKC Waalwijk,27.0,1996.0,8.0,269,247,22,5,0,2,45,2,15,4,6,0,183,0,12
Nordin Bakker,NED,GK,Almere City,25.0,1997.0,28.8,1081,767,311,77,0,1,0,0,0,0,0,0,483,3,1
Jesse Bal,NED,MF,Sparta R'dam,16.0,2006.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Théo Barbet,FRA,DF,Almere City,22.0,2001.0,20.2,769,704,63,13,2,7,4,50,0,0,0,0,549,2,10
Vasilios Barkas,GRE,GK,Utrecht,29.0,1994.0,29.0,1026,734,289,57,0,0,0,1,0,0,0,0,709,3,0
Riechedly Bazoer,CUW,DF,AZ Alkmaar,26.0,1996.0,27.0,1945,1818,125,36,1,17,42,7,46,10,23,0,1721,2,11
