Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Patrick van Aanholt,NED,DF,PSV Eindhoven,32.0,1990.0,12.4,927,17,208,467,257,50,927,19,6,31.6,12,63.2,494,2539,1472,40,25,9,14,7,615,98
Paxten Aaronson,USA,MF,Vitesse,19.0,2003.0,13.9,602,16,112,277,226,57,602,22,9,40.9,12,54.5,303,1878,889,34,24,11,22,25,351,61
Jayden Addai,NED,FW,AZ Alkmaar,17.0,2005.0,3.3,145,3,24,41,81,18,145,24,10,41.7,11,45.8,95,517,231,11,4,6,11,8,92,29
Bobby Adekanye,NED,FW,Go Ahead Eag,24.0,1999.0,20.0,734,12,102,300,355,85,734,108,48,44.4,48,44.4,450,3299,1620,67,35,38,65,31,507,114
Shawn Adewoye,BEL,DF,RKC Waalwijk,23.0,2000.0,26.0,1489,283,789,638,69,26,1489,8,7,87.5,0,0.0,740,5351,3241,26,10,0,19,10,817,3
Nikolas Agrafiotis,NED,FW,Excelsior,23.0,2000.0,8.4,304,13,22,132,153,46,304,16,3,18.8,13,81.3,155,582,206,7,4,4,31,8,215,44
Chuba Akpom,ENG,"FW,MF",Ajax,27.0,1995.0,11.7,414,15,33,178,210,78,414,24,12,50.0,8,33.3,257,1497,624,24,14,8,35,24,309,74
Hamdi Akujobi,NED,"DF,FW",Almere City,23.0,2000.0,17.3,900,54,243,386,282,22,900,29,10,34.5,14,48.3,384,2223,990,29,24,5,32,7,416,64
Hussein Ali,IRQ,"DF,FW",Heerenveen,21.0,2002.0,7.8,359,36,132,147,84,10,359,6,3,50.0,3,50.0,161,892,446,13,8,1,15,3,177,34
Jordi Altena,NED,MF,Vitesse,19.0,2003.0,0.1,6,0,0,5,1,0,6,0,0,,0,,2,3,1,0,0,0,1,1,4,1
Ben Aissa Ben Amar,MAR,DF,Volendam,26.0,1997.0,25.2,1520,224,750,685,92,23,1520,10,9,90.0,1,10.0,844,5115,3112,29,10,0,12,9,952,7
Jaydon Amauri Banel,NED,"FW,MF",Ajax,18.0,2004.0,1.0,57,1,6,17,35,4,57,7,4,57.1,2,28.6,39,276,135,3,1,0,3,2,41,5
