Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
1,Patrick van Aanholt,nl NED,DF,PSV Eindhoven,32,1990,12.4,1,26,9,34.6,2.10,0.73,0.04,0.11,19.5,1,0,0,2.1,2.1,0.08,-1.1,-1.1,Matches
2,Paxten Aaronson,us USA,MF,Vitesse,19,2003,13.9,4,38,15,39.5,2.73,1.08,0.11,0.27,16.7,0,0,0,5.0,5.0,0.14,-1.0,-1.0,Matches
3,Jayden Addai,nl NED,FW,AZ Alkmaar,17,2005,3.3,0,7,0,0.0,2.12,0.00,0.00,,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
4,Bobby Adekanye,nl NED,FW,Go Ahead Eag,24,1999,20.0,0,40,10,25.0,2.00,0.50,0.00,0.00,18.7,0,0,0,2.6,2.6,0.06,-2.6,-2.6,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,26.0,1,16,4,25.0,0.62,0.15,0.06,0.25,10.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
6,Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,8.4,5,29,13,44.8,3.44,1.54,0.17,0.38,14.7,0,0,0,4.0,4.0,0.14,+1.0,+1.0,Matches
7,Chuba Akpom,eng ENG,"FW,MF",Ajax,27,1995,11.7,11,41,21,51.2,3.52,1.80,0.27,0.52,10.7,0,0,0,9.0,9.0,0.22,+2.0,+2.0,Matches
8,Hamdi Akujobi,nl NED,"DF,FW",Almere City,23,2000,17.3,0,14,0,0.0,0.81,0.00,0.00,,20.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
9,Hussein Ali,iq IRQ,"DF,FW",Heerenveen,21,2002,7.8,0,6,1,16.7,0.77,0.13,0.00,0.00,17.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
10,Jordi Altena,nl NED,MF,Vitesse,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Ben Aissa Ben Amar,ma MAR,DF,Volendam,26,1997,25.2,4,17,6,35.3,0.67,0.24,0.24,0.67,11.4,0,0,0,2.6,2.6,0.15,+1.4,+1.4,Matches
12,Jaydon Amauri Banel,nl NED,"FW,MF",Ajax,18,2004,1.0,0,5,0,0.0,4.84,0.00,0.00,,17.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
