Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Patrick van Aanholt,NED,DF,PSV Eindhoven,32.0,1990.0,12.4,1,26,9,34.6,2.1,0.73,0.04,0.11,19.5,1,0,0,2.1,2.1,0.08,-1.1,-1.1
Paxten Aaronson,USA,MF,Vitesse,19.0,2003.0,13.9,4,38,15,39.5,2.73,1.08,0.11,0.27,16.7,0,0,0,5.0,5.0,0.14,-1.0,-1.0
Jayden Addai,NED,FW,AZ Alkmaar,17.0,2005.0,3.3,0,7,0,0.0,2.12,0.0,0.0,,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Bobby Adekanye,NED,FW,Go Ahead Eag,24.0,1999.0,20.0,0,40,10,25.0,2.0,0.5,0.0,0.0,18.7,0,0,0,2.6,2.6,0.06,-2.6,-2.6
Shawn Adewoye,BEL,DF,RKC Waalwijk,23.0,2000.0,26.0,1,16,4,25.0,0.62,0.15,0.06,0.25,10.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Nikolas Agrafiotis,NED,FW,Excelsior,23.0,2000.0,8.4,5,29,13,44.8,3.44,1.54,0.17,0.38,14.7,0,0,0,4.0,4.0,0.14,1.0,1.0
Chuba Akpom,ENG,"FW,MF",Ajax,27.0,1995.0,11.7,11,41,21,51.2,3.52,1.8,0.27,0.52,10.7,0,0,0,9.0,9.0,0.22,2.0,2.0
Hamdi Akujobi,NED,"DF,FW",Almere City,23.0,2000.0,17.3,0,14,0,0.0,0.81,0.0,0.0,,20.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0
Hussein Ali,IRQ,"DF,FW",Heerenveen,21.0,2002.0,7.8,0,6,1,16.7,0.77,0.13,0.0,0.0,17.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Jordi Altena,NED,MF,Vitesse,19.0,2003.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ben Aissa Ben Amar,MAR,DF,Volendam,26.0,1997.0,25.2,4,17,6,35.3,0.67,0.24,0.24,0.67,11.4,0,0,0,2.6,2.6,0.15,1.4,1.4
Jaydon Amauri Banel,NED,"FW,MF",Ajax,18.0,2004.0,1.0,0,5,0,0.0,4.84,0.0,0.0,,17.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
