Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Abner,br BRA,DF,Betis,23,2000,15.6,14,0.90,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,12,0.47,9,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
4,Marcos Acuña,ar ARG,DF,Sevilla,31,1991,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0,Matches
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0,Matches
8,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,19,2004,16.8,57,3.40,34,2,13,2,5,1,3,0.18,2,0,1,0,0,0,Matches
9,Sergio Akieme,es ESP,DF,Almería,25,1997,18.6,32,1.72,22,3,4,1,2,0,1,0.05,0,0,0,1,0,0,Matches
10,Paul Akouokou,ci CIV,MF,Betis,25,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,18,1.40,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0,Matches
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,4,0.18,2,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0,Matches
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0,Matches
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0,Matches
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,36,3.18,21,12,0,1,1,1,2,0.18,1,1,0,0,0,0,Matches
17,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0,Matches
18,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,24,1999,3.7,9,2.41,4,0,1,3,1,0,0,0.00,0,0,0,0,0,0,Matches
19,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23,2000,10.7,29,2.71,18,3,3,3,2,0,1,0.09,1,0,0,0,0,0,Matches
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,2.8,8,2.86,7,1,0,0,0,0,1,0.36,1,0,0,0,0,0,Matches
