Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,Matches
2,Abner,br BRA,DF,Betis,23,2000,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0,Matches
4,Marcos Acuña,ar ARG,DF,Sevilla,31,1991,14.4,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2,Matches
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9,Matches
8,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,19,2004,16.8,4,0,0,41,35,4,29,13,21,0,0,0,70,3,7,30.0,Matches
9,Sergio Akieme,es ESP,DF,Almería,25,1997,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0,Matches
10,Paul Akouokou,ci CIV,MF,Betis,25,1997,0.3,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,,Matches
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,2,0,0,4,0,0,17,15,9,0,0,1,63,10,9,52.6,Matches
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,6,0,0,21,8,1,0,16,14,0,0,0,75,46,29,61.3,Matches
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,14,0,0,84,71,1,36,33,59,0,0,0,234,47,49,49.0,Matches
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,8,1,0,34,11,2,5,13,21,0,0,0,107,55,45,55.0,Matches
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,17,0,0,49,49,9,151,7,23,0,1,0,87,15,18,45.5,Matches
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,6,0,0,22,18,3,33,4,8,0,0,0,53,11,19,36.7,Matches
17,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,2.8,0,0,0,5,6,3,11,1,3,0,0,0,16,3,6,33.3,Matches
18,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,24,1999,3.7,1,0,0,2,3,3,10,3,1,0,0,0,19,5,4,55.6,Matches
