Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,Matches
2,Abner,br BRA,DF,Betis,23,2000,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Matches
4,Marcos Acuña,ar ARG,DF,Sevilla,31,1991,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,Matches
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,Matches
8,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,19,2004,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Matches
9,Sergio Akieme,es ESP,DF,Almería,25,1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,Matches
10,Paul Akouokou,ci CIV,MF,Betis,25,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,Matches
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,Matches
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,Matches
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,Matches
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,Matches
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,Matches
17,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Matches
18,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,24,1999,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,Matches
19,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23,2000,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Matches
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,Matches
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Matches
22,Sergi Altimira,es ESP,MF,Betis,21,2001,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,Matches
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,Matches
24,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,20,2003,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,Matches
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,Matches
26,Selim Amallah,ma MAR,"FW,MF",Valencia,26,1996,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,Matches
27,Amath,sn SEN,"FW,MF",Mallorca,27,1996,4.4,113,110,2,1,2,0,7,1,0,0,0,0,76,1,4,Matches
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,17.3,775,745,29,24,1,4,0,1,0,0,0,0,622,1,11,Matches
29,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,29,1994,1.8,103,96,7,1,0,2,8,6,0,0,0,0,68,0,5,Matches
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2,Matches
31,Jon Aramburu,ve VEN,DF,Real Sociedad,21,2002,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,Matches
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,16.2,831,694,135,19,0,2,23,116,0,0,0,0,680,2,14,Matches
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,Matches
34,Adu Ares,es ESP,FW,Athletic Club,21,2001,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,Matches
35,Jesús Areso,es ESP,DF,Osasuna,24,1999,29.6,1368,1033,332,20,1,6,110,311,0,0,0,0,1021,3,48,Matches
36,Matias Arezo,uy URU,FW,Granada,20,2002,4.1,82,75,7,0,1,0,4,1,0,0,0,0,52,0,0,Matches
37,Iñigo Arguibide,es ESP,DF,Osasuna,18,2005,0.2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,1,Matches
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,10.3,318,260,58,18,0,3,46,3,25,13,8,0,233,0,8,Matches
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,22.7,751,661,86,32,4,4,60,7,28,13,9,0,588,4,20,Matches
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,13.3,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,Matches
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,30.1,1305,1112,190,51,20,15,149,8,94,39,35,0,949,3,30,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,9.6,371,312,56,13,4,6,79,10,32,17,12,0,232,3,9,Matches
43,Ezequiel Ávila,ar ARG,FW,Betis,29,1994,3.3,91,89,2,1,0,3,12,1,0,0,0,0,55,0,6,Matches
44,César Azpilicueta,es ESP,DF,Atlético Madrid,33,1989,15.8,1035,899,130,19,1,2,11,111,0,0,0,0,867,6,8,Matches
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10,Matches
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1.0,62,60,2,2,0,1,0,0,0,0,0,0,58,0,0,Matches
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,25.3,1346,1308,34,30,1,18,2,4,0,0,0,0,1113,4,12,Matches
48,Alex Baena,es ESP,"MF,FW",Villarreal,22,2001,28.7,1255,1087,153,38,28,15,175,15,95,44,37,1,893,15,32,Matches
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,9.3,385,359,24,12,0,1,0,0,0,0,0,0,337,2,2,Matches
50,Cédric Bakambu,cd COD,FW,Betis,32,1991,2.2,39,35,4,0,0,0,0,0,0,0,0,0,26,0,2,Matches
51,Alejandro Balde,es ESP,DF,Barcelona,19,2003,15.3,817,694,122,12,1,3,37,110,0,0,0,0,694,1,16,Matches
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,31.9,1487,1082,395,24,2,6,68,371,0,0,0,0,1116,10,43,Matches
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,22.0,769,745,19,4,8,2,50,11,1,1,0,0,590,5,31,Matches
54,Léo Baptistão,br BRA,FW,Almería,30,1992,20.4,568,534,31,0,1,3,27,8,0,0,0,0,366,3,30,Matches
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,3.4,114,110,4,1,0,0,23,1,2,2,0,0,83,0,3,Matches
56,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,21,2001,15.9,555,545,5,0,1,9,47,4,1,0,0,0,372,5,27,Matches
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,17.3,873,847,16,11,3,3,16,4,1,0,0,0,728,10,10,Matches
58,Marc Bartra,es ESP,DF,Betis,32,1991,2.5,118,107,9,9,0,1,0,0,0,0,0,0,101,2,0,Matches
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,689,483,205,83,0,1,0,0,0,0,0,0,445,1,1,Matches
60,Bebé,cv CPV,"MF,FW",Rayo Vallecano,33,1990,2.4,104,83,21,3,0,2,28,8,10,6,3,0,63,0,4,Matches
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,8.6,243,236,6,0,0,0,46,1,2,0,1,0,154,1,17,Matches
62,Héctor Bellerín,es ESP,DF,Betis,28,1995,19.0,979,791,185,17,0,8,40,168,0,0,0,0,756,3,20,Matches
63,Jude Bellingham,eng ENG,MF,Real Madrid,20,2003,25.7,1543,1490,43,18,18,14,21,12,1,1,0,0,1363,10,25,Matches
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,27.0,1364,1309,53,46,4,4,19,1,6,2,3,0,1180,2,19,Matches
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,12.6,459,447,11,7,1,6,4,3,1,0,0,0,321,1,3,Matches
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,21.4,1304,1050,249,43,0,8,44,206,0,0,0,0,1078,5,26,Matches
67,Álex Berenguer,es ESP,FW,Athletic Club,28,1995,17.7,596,478,117,38,4,5,138,13,65,22,30,0,373,1,23,Matches
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,27.0,1053,1018,30,25,4,21,15,2,3,1,0,0,811,5,27,Matches
69,Daley Blind,nl NED,DF,Girona,33,1990,33.0,2585,2465,97,69,0,18,17,21,2,0,1,0,2304,23,27,Matches
70,Adri Bosch,es ESP,DF,Granada,22,2001,0.3,14,13,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1.0,31,21,10,3,0,0,0,0,0,0,0,0,20,0,0,Matches
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,28.2,631,564,60,1,2,5,14,1,0,0,0,0,454,7,25,Matches
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,0.5,15,15,0,0,0,0,1,0,0,0,0,0,9,0,0,Matches
74,Brau,es ESP,DF,Granada,21,2001,0.3,10,9,1,0,0,0,1,1,0,0,0,0,7,0,0,Matches
75,Claudio Bravo,cl CHI,GK,Betis,40,1983,7.0,230,153,76,16,1,1,0,0,0,0,0,0,186,1,0,Matches
76,Ben Brereton,cl CHI,"FW,MF",Villarreal,24,1999,3.0,74,73,1,0,1,0,4,1,0,0,0,0,55,0,4,Matches
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,27.1,441,421,20,0,1,1,10,4,0,0,0,0,241,0,19,Matches
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,1.3,49,49,0,0,0,0,0,0,0,0,0,0,45,0,0,Matches
79,Pablo Busto,es ESP,DF,Betis,17,2005,0.5,26,22,4,0,1,0,1,4,0,0,0,0,18,0,0,Matches
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,8.9,368,320,46,15,0,6,34,13,16,10,5,0,286,2,3,Matches
81,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,20,2002,20.2,1328,1278,44,24,4,9,4,20,0,0,0,0,1205,6,12,Matches
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,18.5,380,350,23,0,6,3,2,0,0,0,0,0,273,7,10,Matches
83,José Campaña,es ESP,MF,Las Palmas,30,1993,1.9,162,149,11,9,0,0,4,0,2,2,0,0,135,2,4,Matches
84,João Cancelo,pt POR,DF,Barcelona,29,1994,27.8,1852,1602,238,37,6,24,82,201,0,0,0,0,1533,12,42,Matches
85,Sergi Canós,es ESP,"MF,FW",Valencia,26,1997,13.7,405,392,8,1,6,2,35,5,2,1,0,0,260,5,21,Matches
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,16.2,813,790,20,13,3,14,7,5,0,0,0,0,699,3,10,Matches
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,29.0,1163,894,263,24,0,7,67,234,5,0,5,0,851,6,25,Matches
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1.0,40,33,7,3,0,0,0,0,0,0,0,0,26,0,0,Matches
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,8.2,227,215,12,1,2,1,5,0,0,0,0,0,170,0,7,Matches
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,31.3,2150,1785,354,37,3,4,89,317,0,0,0,0,1727,11,53,Matches
91,Johnny Cardoso,us USA,MF,Betis,21,2001,14.8,640,627,11,10,1,5,3,1,0,0,0,0,539,2,13,Matches
92,Carmona,es ESP,"DF,MF",Getafe,21,2002,14.6,570,489,79,6,0,3,29,73,0,0,0,0,419,2,20,Matches
93,Yannick Carrasco,be BEL,DF,Atlético Madrid,29,1993,2.5,88,77,10,3,0,1,8,4,3,0,2,0,65,1,2,Matches
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,5.3,222,195,27,8,1,4,14,17,2,0,1,0,169,0,7,Matches
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,24.1,1475,1284,190,37,3,3,49,153,0,0,0,0,1265,1,34,Matches
96,William Carvalho,pt POR,MF,Betis,31,1992,7.6,634,612,20,19,0,1,4,1,0,0,0,0,560,2,6,Matches
97,Marc Casado,es ESP,MF,Barcelona,19,2003,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
98,Catena,es ESP,DF,Osasuna,28,1994,28.2,1341,1242,94,72,1,19,0,3,0,0,0,0,1095,5,6,Matches
99,Dani Ceballos,es ESP,"MF,FW",Real Madrid,26,1996,6.6,542,519,22,11,5,5,8,5,6,1,2,0,486,1,10,Matches
