Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,87,4,37,49,1,1,87,0,0,,0,,47,326,183,0,0,0,1,1,54,0,Matches
2,Abner,br BRA,DF,Betis,23,2000,15.6,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,Matches
4,Marcos Acuña,ar ARG,DF,Sevilla,31,1991,14.4,984,33,270,476,253,10,984,21,10,47.6,8,38.1,473,2266,1224,23,20,4,20,16,546,42,Matches
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,104,84,104,0,0,0,104,0,0,,0,,58,348,192,0,0,0,0,0,42,0,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,430,17,108,245,83,12,430,8,7,87.5,1,12.5,221,1218,590,7,3,2,4,4,273,9,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,240,34,132,107,6,2,240,2,2,100.0,0,0.0,133,630,322,2,0,0,1,2,137,0,Matches
8,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,19,2004,16.8,745,12,89,271,403,70,745,128,57,44.5,59,46.1,491,3523,2006,68,47,27,49,36,551,160,Matches
9,Sergio Akieme,es ESP,DF,Almería,25,1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45.0,498,2520,1141,27,23,2,15,16,525,72,Matches
10,Paul Akouokou,ci CIV,MF,Betis,25,1997,0.3,26,2,10,14,3,0,26,0,0,,0,,11,42,8,0,0,0,0,0,15,0,Matches
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,1004,127,474,457,80,11,1004,0,0,,0,,699,3567,2011,9,11,0,5,1,730,13,Matches
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,1476,244,853,605,26,14,1476,0,0,,0,,811,4596,2552,8,1,0,10,3,1019,0,Matches
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,1970,91,470,1193,328,28,1968,23,10,43.5,11,47.8,997,4688,1909,27,27,3,28,27,1135,37,Matches
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,1316,132,591,667,73,32,1316,13,9,69.2,3,23.1,655,4060,2701,23,13,0,8,5,684,9,Matches
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,701,27,139,241,335,21,701,61,24,39.3,31,50.8,401,2974,1399,48,41,1,54,28,418,104,Matches
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,546,14,74,251,223,22,546,28,6,21.4,20,71.4,308,1315,402,12,14,5,25,18,366,45,Matches
17,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,2.8,106,0,10,47,53,9,106,20,7,35.0,9,45.0,69,590,363,16,11,4,10,2,68,19,Matches
18,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,24,1999,3.7,143,3,19,66,60,11,143,8,3,37.5,4,50.0,85,558,223,9,4,1,8,8,101,25,Matches
19,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23,2000,10.7,514,12,72,245,203,16,514,29,13,44.8,12,41.4,292,1847,861,24,27,6,20,17,367,33,Matches
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,2.8,246,7,59,100,89,7,246,6,3,50.0,2,33.3,141,766,388,11,10,2,2,3,157,33,Matches
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,8.6,552,38,200,278,82,2,552,16,11,68.8,4,25.0,257,1338,644,10,6,0,7,5,329,15,Matches
22,Sergi Altimira,es ESP,MF,Betis,21,2001,6.3,391,22,93,236,64,6,391,11,6,54.5,5,45.5,224,1089,465,10,4,0,8,9,278,8,Matches
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,28.2,1325,125,508,648,178,22,1325,21,9,42.9,11,52.4,558,2517,1283,11,12,0,27,10,624,40,Matches
24,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,20,2003,8.5,536,16,96,188,263,32,536,29,16,55.2,11,37.9,320,1875,1108,36,15,16,15,13,359,80,Matches
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,12.8,810,52,344,440,31,7,810,3,2,66.7,1,33.3,428,2689,1856,13,9,1,8,0,485,2,Matches
26,Selim Amallah,ma MAR,"FW,MF",Valencia,26,1996,6.7,293,7,48,133,117,16,293,42,18,42.9,15,35.7,172,954,358,7,13,2,29,15,191,36,Matches
27,Amath,sn SEN,"FW,MF",Mallorca,27,1996,4.4,198,6,32,79,90,21,198,25,8,32.0,15,60.0,119,830,478,19,8,9,22,8,130,30,Matches
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,17.3,975,128,567,381,30,17,975,7,5,71.4,1,14.3,491,2583,1586,7,5,0,10,2,559,1,Matches
29,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,29,1994,1.8,121,7,34,52,37,1,121,4,2,50.0,1,25.0,59,237,92,2,2,0,1,0,62,6,Matches
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,3.8,188,9,30,115,44,6,188,6,2,33.3,4,66.7,110,548,214,2,6,0,5,5,104,6,Matches
31,Jon Aramburu,ve VEN,DF,Real Sociedad,21,2002,6.0,392,22,92,214,91,3,392,7,2,28.6,4,57.1,171,726,347,6,10,0,6,6,207,25,Matches
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,16.2,1012,78,306,535,178,14,1012,20,12,60.0,6,30.0,489,1908,926,23,16,3,29,2,557,47,Matches
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,22.2,1811,157,732,1000,92,34,1811,11,8,72.7,2,18.2,1177,6282,3750,24,14,2,14,4,1350,11,Matches
34,Adu Ares,es ESP,FW,Athletic Club,21,2001,2.9,147,1,21,63,70,6,147,24,15,62.5,7,29.2,103,881,361,13,3,5,8,4,110,39,Matches
35,Jesús Areso,es ESP,DF,Osasuna,24,1999,29.6,1669,85,367,682,643,23,1669,82,44,53.7,34,41.5,742,4479,2388,78,60,8,52,25,895,180,Matches
36,Matias Arezo,uy URU,FW,Granada,20,2002,4.1,126,5,14,70,45,11,126,1,1,100.0,0,0.0,56,312,182,6,3,4,6,4,78,17,Matches
37,Iñigo Arguibide,es ESP,DF,Osasuna,18,2005,0.2,8,0,4,3,1,0,8,0,0,,0,,1,3,0,0,0,0,1,0,1,0,Matches
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,10.3,449,3,37,158,256,30,449,29,11,37.9,15,51.7,259,1677,747,23,20,7,27,24,299,85,Matches
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,22.7,1010,13,118,498,411,78,1010,49,16,32.7,31,63.3,554,3041,1685,56,39,12,40,16,648,94,Matches
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,13.3,474,412,471,3,0,0,474,0,0,,0,,313,1259,808,0,0,0,0,0,300,0,Matches
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,30.1,1546,11,99,650,816,137,1541,47,29,61.7,12,25.5,995,5117,2527,84,61,25,52,36,1146,202,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,9.6,474,5,41,183,253,28,474,18,5,27.8,10,55.6,236,1037,429,14,16,5,12,1,314,75,Matches
43,Ezequiel Ávila,ar ARG,FW,Betis,29,1994,3.3,125,4,9,47,69,10,125,4,2,50.0,1,25.0,89,478,184,7,4,1,5,3,106,31,Matches
44,César Azpilicueta,es ESP,DF,Atlético Madrid,33,1989,15.8,1168,83,381,613,179,12,1168,6,1,16.7,3,50.0,624,3341,2153,39,22,3,10,6,752,39,Matches
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,15.9,822,47,254,521,58,4,822,19,14,73.7,3,15.8,460,2217,844,1,3,0,18,7,482,5,Matches
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1.0,69,5,29,38,2,1,69,0,0,,0,,44,285,199,1,1,0,0,0,49,0,Matches
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,25.3,1648,184,920,692,55,24,1648,21,11,52.4,10,47.6,846,4490,2358,15,8,1,12,4,1000,3,Matches
48,Alex Baena,es ESP,"MF,FW",Villarreal,22,2001,28.7,1550,29,224,650,693,102,1549,53,26,49.1,24,45.3,908,5282,2765,84,58,23,66,33,1120,181,Matches
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,9.3,459,79,282,175,9,3,459,8,7,87.5,0,0.0,243,1616,816,3,2,0,4,3,288,1,Matches
50,Cédric Bakambu,cd COD,FW,Betis,32,1991,2.2,66,0,3,35,28,11,66,3,1,33.3,2,66.7,35,210,110,5,2,3,11,4,50,12,Matches
51,Alejandro Balde,es ESP,DF,Barcelona,19,2003,15.3,979,35,215,394,384,40,979,53,20,37.7,20,37.7,567,3770,2213,73,36,20,32,16,664,141,Matches
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,31.9,1736,83,477,797,471,33,1736,20,7,35.0,10,50.0,708,3600,1825,50,29,5,28,11,876,100,Matches
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,22.0,1037,12,119,457,487,91,1037,106,42,39.6,53,50.0,754,4987,2946,107,48,31,49,24,805,169,Matches
54,Léo Baptistão,br BRA,FW,Almería,30,1992,20.4,793,23,123,416,267,67,793,28,12,42.9,14,50.0,399,2131,1118,26,21,8,38,17,532,88,Matches
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,3.4,165,5,15,55,98,14,165,22,11,50.0,8,36.4,109,712,357,17,8,5,17,7,128,41,Matches
56,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,21,2001,15.9,794,8,82,307,415,68,794,78,38,48.7,30,38.5,526,3503,1479,56,35,22,55,45,586,163,Matches
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,17.3,1085,39,239,622,238,15,1085,47,35,74.5,9,19.1,660,3667,1661,37,39,3,40,23,776,56,Matches
58,Marc Bartra,es ESP,DF,Betis,32,1991,2.5,141,22,86,49,7,4,141,2,2,100.0,0,0.0,91,406,215,2,3,0,1,2,90,0,Matches
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,734,581,719,14,2,2,734,3,3,100.0,0,0.0,408,2194,1348,0,0,0,1,0,301,1,Matches
60,Bebé,cv CPV,"MF,FW",Rayo Vallecano,33,1990,2.4,145,2,8,55,88,7,144,22,12,54.5,9,40.9,85,848,390,17,10,5,10,3,97,24,Matches
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,8.6,300,0,13,85,207,42,300,8,4,50.0,3,37.5,178,1223,591,28,9,8,15,5,232,87,Matches
62,Héctor Bellerín,es ESP,DF,Betis,28,1995,19.0,1170,53,349,544,286,24,1170,48,17,35.4,30,62.5,580,3153,1735,32,25,7,26,17,682,80,Matches
63,Jude Bellingham,eng ENG,MF,Real Madrid,20,2003,25.7,1897,21,202,978,746,135,1896,97,50,51.5,35,36.1,1235,6812,3434,85,73,26,53,40,1554,177,Matches
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,27.0,1593,50,326,985,297,12,1593,24,12,50.0,12,50.0,937,4446,2041,28,33,2,28,20,1060,30,Matches
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,12.6,628,35,173,348,113,11,628,4,2,50.0,2,50.0,222,1090,508,9,10,1,11,5,286,5,Matches
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,21.4,1504,78,437,754,327,34,1504,13,9,69.2,2,15.4,767,3300,1786,36,31,5,12,10,843,77,Matches
67,Álex Berenguer,es ESP,FW,Athletic Club,28,1995,17.7,818,17,87,259,480,74,816,61,21,34.4,35,57.4,442,2812,1430,61,35,23,42,36,522,143,Matches
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,27.0,1283,64,339,740,224,18,1283,33,19,57.6,8,24.2,620,2633,1271,20,15,3,19,22,762,22,Matches
69,Daley Blind,nl NED,DF,Girona,33,1990,33.0,2869,229,1192,1426,271,27,2869,26,17,65.4,9,34.6,1871,8942,4795,48,30,3,18,3,2186,22,Matches
70,Adri Bosch,es ESP,DF,Granada,22,2001,0.3,17,2,10,8,0,0,17,0,0,,0,,8,86,43,1,0,0,0,0,9,1,Matches
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1.0,31,25,30,1,0,0,31,0,0,,0,,16,77,64,0,0,0,0,0,16,0,Matches
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,28.2,1132,56,133,560,454,119,1132,130,53,40.8,75,57.7,634,3083,1036,36,42,16,114,86,747,131,Matches
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,0.5,17,1,1,8,8,1,17,0,0,,0,,7,75,50,2,1,0,0,0,13,3,Matches
74,Brau,es ESP,DF,Granada,21,2001,0.3,14,2,4,4,6,1,14,1,1,100.0,0,0.0,8,66,45,2,2,0,1,0,9,0,Matches
75,Claudio Bravo,cl CHI,GK,Betis,40,1983,7.0,241,194,239,2,0,0,241,0,0,,0,,132,817,591,0,0,0,0,0,100,0,Matches
76,Ben Brereton,cl CHI,"FW,MF",Villarreal,24,1999,3.0,109,1,12,35,63,13,109,10,2,20.0,8,80.0,75,518,211,6,12,3,5,5,91,35,Matches
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,27.1,736,23,53,307,382,152,732,31,10,32.3,20,64.5,311,1272,504,21,12,17,81,31,508,99,Matches
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,1.3,68,2,26,30,13,0,68,2,1,50.0,1,50.0,40,180,85,1,2,0,7,1,53,1,Matches
79,Pablo Busto,es ESP,DF,Betis,17,2005,0.5,33,2,8,17,8,0,33,1,1,100.0,0,0.0,12,80,52,1,0,0,0,1,17,1,Matches
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,8.9,446,19,101,199,150,20,446,9,3,33.3,4,44.4,235,1030,426,10,10,1,10,6,284,50,Matches
81,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,20,2002,20.2,1605,55,399,885,344,20,1605,69,36,52.2,18,26.1,1011,5798,3129,49,56,5,26,24,1196,31,Matches
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,18.5,580,18,47,278,265,62,580,49,16,32.7,31,63.3,327,1613,637,22,20,10,53,26,421,79,Matches
83,José Campaña,es ESP,MF,Las Palmas,30,1993,1.9,180,10,54,104,23,0,180,3,1,33.3,2,66.7,117,556,184,1,1,0,4,2,132,4,Matches
84,João Cancelo,pt POR,DF,Barcelona,29,1994,27.8,2206,84,452,1110,670,71,2206,111,61,55.0,38,34.2,1250,7317,3916,106,58,39,55,25,1469,193,Matches
85,Sergi Canós,es ESP,"MF,FW",Valencia,26,1997,13.7,583,7,83,230,280,55,583,38,18,47.4,18,47.4,320,1687,839,32,13,11,30,12,383,88,Matches
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,16.2,1020,41,240,575,217,24,1020,45,22,48.9,21,46.7,573,2737,1248,24,27,5,32,20,747,38,Matches
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,29.0,1425,98,432,647,351,11,1425,22,13,59.1,9,40.9,563,2560,1250,25,29,1,19,19,671,70,Matches
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1.0,41,32,41,0,0,0,41,0,0,,0,,24,139,79,0,0,0,0,0,24,0,Matches
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,8.2,333,7,33,161,146,46,332,34,14,41.2,19,55.9,215,983,388,10,4,4,24,15,255,74,Matches
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,31.3,2586,144,840,1175,586,67,2586,37,17,45.9,16,43.2,1199,5768,3162,60,49,6,47,22,1498,165,Matches
91,Johnny Cardoso,us USA,MF,Betis,21,2001,14.8,830,40,222,512,111,12,830,20,11,55.0,8,40.0,406,1973,904,10,10,0,16,15,478,11,Matches
92,Carmona,es ESP,"DF,MF",Getafe,21,2002,14.6,748,28,197,345,216,27,748,28,9,32.1,17,60.7,343,1994,1012,29,19,6,29,14,377,55,Matches
93,Yannick Carrasco,be BEL,DF,Atlético Madrid,29,1993,2.5,113,5,29,38,49,6,113,6,5,83.3,1,16.7,66,450,246,9,5,2,5,3,63,17,Matches
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,5.3,296,12,83,124,96,11,296,14,7,50.0,5,35.7,176,1156,583,13,14,1,15,9,182,31,Matches
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,24.1,1697,101,465,726,527,59,1697,22,9,40.9,11,50.0,939,3864,1903,30,37,9,22,18,1126,168,Matches
96,William Carvalho,pt POR,MF,Betis,31,1992,7.6,707,13,105,495,111,7,707,13,4,30.8,8,61.5,437,1683,860,12,14,0,6,10,560,12,Matches
97,Marc Casado,es ESP,MF,Barcelona,19,2003,0.2,11,2,4,6,1,0,11,0,0,,0,,5,29,14,1,0,0,0,0,7,0,Matches
98,Catena,es ESP,DF,Osasuna,28,1994,28.2,1574,195,786,747,55,31,1574,7,3,42.9,4,57.1,799,3219,1577,5,2,0,5,4,912,1,Matches
99,Dani Ceballos,es ESP,"MF,FW",Real Madrid,26,1996,6.6,609,9,99,315,201,15,609,15,5,33.3,8,53.3,425,2284,1097,16,17,1,9,13,497,23,Matches
100,Álex Centelles,es ESP,DF,Almería,25,1997,10.9,635,39,208,284,149,8,635,9,4,44.4,5,55.6,291,1225,687,16,13,3,10,6,357,53,Matches
101,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,29,1994,6.1,366,5,94,160,116,14,366,6,0,0.0,5,83.3,195,1041,532,16,11,1,9,3,207,36,Matches
102,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,25,1998,13.0,941,32,257,398,292,14,941,28,11,39.3,10,35.7,492,2754,1338,28,32,4,25,7,593,84,Matches
103,Andreas Christensen,dk DEN,"DF,MF",Barcelona,27,1996,22.0,1723,111,549,1077,104,18,1723,6,3,50.0,3,50.0,1101,5001,2934,24,18,1,6,9,1324,6,Matches
104,Chumi,es ESP,DF,Almería,24,1999,27.0,1462,230,830,582,58,11,1462,6,5,83.3,1,16.7,830,3815,1960,11,10,0,14,4,944,4,Matches
105,Víctor Chust,es ESP,DF,Cádiz,23,2000,20.7,1223,147,647,552,28,13,1223,2,1,50.0,1,50.0,693,3929,1732,10,2,0,7,1,742,2,Matches
106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29,1994,18.5,1126,67,330,672,133,26,1126,21,17,81.0,3,14.3,562,2643,1188,14,9,2,19,18,652,22,Matches
107,Silvi Clúa,es ESP,MF,Girona,18,2005,0.0,10,0,4,6,0,0,10,0,0,,0,,3,10,8,0,0,0,2,0,5,0,Matches
108,Saúl Coco,gq EQG,DF,Las Palmas,24,1999,25.5,1700,193,873,800,30,11,1700,10,3,30.0,3,30.0,1005,4456,2391,9,6,0,10,9,1132,1,Matches
109,Santi Comesaña,es ESP,MF,Villarreal,26,1996,18.4,1077,61,265,593,229,32,1077,32,21,65.6,11,34.4,510,2802,1414,23,25,7,22,19,734,48,Matches
110,Copete,es ESP,DF,Mallorca,23,1999,14.8,748,64,314,404,40,10,748,9,4,44.4,4,44.4,365,1884,1081,3,5,0,11,3,412,2,Matches
111,Francis Coquelin,fr FRA,MF,Villarreal,32,1991,10.1,525,33,126,305,99,10,525,8,3,37.5,5,62.5,231,1026,409,5,7,0,9,8,335,14,Matches
112,Theo Corbeanu,ca CAN,"MF,FW",Granada,21,2002,2.0,93,2,17,41,39,4,93,8,2,25.0,6,75.0,53,359,144,5,4,0,3,1,55,13,Matches
113,Jesús Corona,mx MEX,"MF,DF",Sevilla,30,1993,0.2,17,0,1,8,8,0,17,1,1,100.0,0,0.0,13,76,31,0,1,0,1,0,13,4,Matches
114,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,17.0,719,7,53,268,405,129,718,56,28,50.0,27,48.2,473,2206,1026,40,16,26,52,33,531,128,Matches
115,Thierry Correia,pt POR,DF,Valencia,24,1999,23.9,1605,90,597,739,292,24,1605,51,23,45.1,21,41.2,766,3724,2048,40,27,13,21,8,842,56,Matches
116,Jaume Costa,es ESP,DF,Mallorca,35,1988,18.7,987,40,285,402,306,21,987,20,8,40.0,9,45.0,457,2191,1221,34,22,3,14,5,525,104,Matches
117,Samu Costa,pt POR,MF,Mallorca,22,2000,25.6,1425,83,382,808,243,33,1425,23,12,52.2,8,34.8,694,2953,987,16,21,4,43,22,811,32,Matches
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,3.7,135,119,135,0,0,0,135,0,0,,0,,87,472,296,0,0,0,0,0,70,0,Matches
119,Yan Couto,br BRA,"DF,FW",Girona,21,2002,24.9,1633,50,375,633,651,79,1633,117,48,41.0,50,42.7,1035,8513,4769,151,86,41,39,37,1086,240,Matches
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,5.9,367,21,80,217,74,6,367,20,13,65.0,5,25.0,205,1106,554,13,8,0,22,15,246,20,Matches
121,Cristian,es ESP,GK,Valencia,25,1998,0.6,20,16,20,0,0,0,20,0,0,,0,,8,35,32,0,0,0,0,0,7,0,Matches
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,18.5,1071,56,315,567,200,5,1071,12,3,25.0,7,58.3,508,2514,1248,16,16,0,13,6,575,29,Matches
123,Juan Cruz,es ESP,FW,Betis,23,2000,0.8,30,1,4,8,19,3,30,7,4,57.1,3,42.9,20,206,107,2,3,0,2,0,19,10,Matches
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,17.3,1629,157,758,826,46,5,1629,4,3,75.0,1,25.0,1076,5220,2658,8,7,0,4,3,1263,2,Matches
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1.0,36,36,36,0,0,0,36,0,0,,0,,27,189,101,0,0,0,0,0,21,0,Matches
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,21.8,1418,230,694,606,123,25,1418,14,8,57.1,6,42.9,668,3349,2078,11,13,2,10,4,861,30,Matches
127,Eric Curbelo,es ESP,"DF,MF",Las Palmas,29,1994,1.1,76,15,51,24,1,0,76,0,0,,0,,39,118,53,0,0,0,3,0,40,0,Matches
128,Alberto Dadie,es ESP,MF,Real Sociedad,21,2002,0.3,14,0,6,6,2,1,14,1,0,0.0,1,100.0,12,28,8,0,0,0,4,0,10,0,Matches
129,Sergi Darder,es ESP,MF,Mallorca,29,1993,24.0,1229,10,141,709,409,30,1229,62,34,54.8,21,33.9,729,4660,2351,56,51,4,48,24,791,75,Matches
