Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,Matches
3,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,Matches
5,Matthis Abline,fr FRA,FW,Nantes,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,Matches
6,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,Matches
7,Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5,Matches
8,Adryelson,br BRA,"DF,FW",Lyon,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
9,Adson,br BRA,"MF,FW",Nantes,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,Matches
10,Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11,Matches
11,Ruben Aguilar,fr FRA,DF,Lens,30,1993,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35,Matches
