Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Abner,br BRA,DF,Juventude,19,2004,1.2,2,0,2,0,0,2,4,50.0,2,1,1,0,3,5,10,1,Matches
2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,24,1999,3.0,8,4,3,4,1,1,5,20.0,4,3,1,2,3,11,3,1,Matches
3,Luiz Adriano,br BRA,FW,Vitória,36,1987,2.2,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches
4,Adriel,br BRA,GK,Bahia,23,2001,3.7,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,Matches
5,Adryelson,br BRA,DF,Botafogo (RJ),25,1998,6.4,4,3,2,2,0,2,2,100.0,0,5,3,2,10,14,34,1,Matches
6,Adson,br BRA,FW,Vasco da Gama,23,2000,13.6,25,20,11,9,5,5,18,27.8,13,15,2,13,6,31,9,0,Matches
7,Braian Aguirre,ar ARG,DF,Internacional,23,2000,1.0,5,3,3,0,2,4,7,57.1,3,3,2,1,1,6,5,0,Matches
8,Lucas Alario,ar ARG,"FW,MF",Internacional,31,1992,7.1,5,1,1,2,2,0,5,0.0,5,2,0,2,1,6,14,0,Matches
9,Carlos Alberto,br BRA,FW,Botafogo (RJ),21,2002,2.4,3,2,2,1,0,1,2,50.0,1,4,1,3,0,3,2,0,Matches
10,Yuri Alberto,br BRA,FW,Corinthians,22,2001,24.4,10,5,1,4,5,3,9,33.3,6,11,1,10,8,18,13,0,Matches
11,Carlos Alcaraz,ar ARG,"MF,FW",Flamengo,21,2002,8.3,20,11,8,11,1,8,20,40.0,12,13,2,11,5,25,5,0,Matches
12,Max Alegria,br BRA,"FW,DF",Vasco da Gama,20,2004,0.9,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
13,Alerrandro,br BRA,FW,Vitória,24,2000,26.5,24,15,6,15,3,7,28,25.0,21,29,7,22,13,37,26,0,Matches
14,Caio Alexandre,br BRA,MF,Bahia,24,1999,30.8,59,29,24,33,2,30,78,38.5,48,27,4,23,9,68,18,1,Matches
15,Matheus Alexandre,br BRA,DF,Cuiabá,24,1999,27.4,60,40,41,17,2,40,70,57.1,30,38,4,34,38,98,79,0,Matches
16,Alexsander,br BRA,MF,Fluminense,20,2003,8.8,24,12,9,9,6,11,29,37.9,18,13,3,10,9,33,9,0,Matches
17,Alisson,br BRA,GK,Criciúma,28,1995,4.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
18,Alisson,br BRA,"DF,FW",Atlético Mineiro,18,2005,9.9,16,13,7,2,7,6,14,42.9,8,6,0,6,5,21,5,0,Matches
19,Alisson,br BRA,MF,São Paulo,30,1993,17.9,29,19,14,12,3,17,36,47.2,19,14,3,11,16,45,13,0,Matches
20,Allan,br BRA,MF,Flamengo,26,1997,15.7,30,15,9,18,3,14,26,53.8,12,15,5,10,22,52,20,1,Matches
21,Allan,br BRA,"MF,DF",Botafogo (RJ),33,1991,3.5,17,9,8,6,3,8,13,61.5,5,5,2,3,5,22,5,0,Matches
22,Allano,br BRA,"FW,MF",Criciúma,28,1995,14.4,30,20,12,16,2,16,39,41.0,23,23,2,21,3,33,7,0,Matches
23,Thiago Almada,ar ARG,"FW,MF",Botafogo (RJ),22,2001,13.9,12,6,4,6,2,6,24,25.0,18,7,1,6,6,18,3,2,Matches
24,Júnior Alonso,py PAR,DF,Atlético Mineiro,30,1993,11.6,18,10,9,9,0,10,20,50.0,10,6,5,1,14,32,41,0,Matches
25,Anderson,br BRA,GK,Cruzeiro,25,1998,17.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,3,Matches
26,Felipe Anderson,br BRA,FW,Palmeiras,30,1993,14.6,35,24,14,16,5,14,33,42.4,19,25,5,20,13,48,19,0,Matches
27,Kervin Andrade,ve VEN,MF,Fortaleza,18,2005,5.4,3,2,2,1,0,3,6,50.0,3,7,0,7,4,7,3,0,Matches
28,Rodrigo Andrade,br BRA,"MF,FW",Vitória,26,1997,4.3,6,5,4,1,1,4,5,80.0,1,8,3,5,3,9,3,0,Matches
29,André,br BRA,MF,Fluminense,22,2001,11.9,24,16,5,17,2,8,14,57.1,6,16,8,8,15,39,14,0,Matches
30,José Andrés Martínez,ve VEN,MF,Corinthians,29,1994,7.0,17,10,8,7,2,9,18,50.0,9,7,3,4,11,28,12,0,Matches
31,Wilker Ángel,ve VEN,DF,Criciúma,30,1993,10.9,10,6,7,3,0,7,11,63.6,4,27,17,10,13,23,67,1,Matches
32,Anthoni,br BRA,GK,Internacional,22,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
33,Marcos Antônio,br BRA,MF,São Paulo,23,2000,9.4,9,6,4,4,1,5,15,33.3,10,11,2,9,5,14,16,0,Matches
34,Guilherme Arana,br BRA,DF,Atlético Mineiro,26,1997,14.5,21,15,11,6,4,10,20,50.0,10,13,3,10,18,39,18,0,Matches
35,Charles Aránguiz,cl CHI,MF,Internacional,34,1989,3.2,6,5,0,5,1,3,8,37.5,5,4,1,3,1,7,4,0,Matches
36,Luiz Araújo,br BRA,"FW,MF",Flamengo,27,1996,17.4,37,25,14,15,8,13,29,44.8,16,25,3,22,20,57,14,0,Matches
37,Matheus Araújo,br BRA,MF,Corinthians,21,2002,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
38,Michel Araujo,uy URU,"DF,FW",São Paulo,27,1996,9.5,27,18,14,11,2,10,31,32.3,21,10,0,10,7,34,15,0,Matches
39,Alexander Aravena,cl CHI,"FW,MF",Grêmio,21,2002,8.6,4,4,2,2,0,1,7,14.3,6,2,0,2,3,7,7,0,Matches
40,Robert Arboleda,ec ECU,DF,São Paulo,32,1991,25.1,31,19,18,13,0,15,23,65.2,8,28,18,10,23,54,99,3,Matches
41,Lucas Arcanjo,br BRA,GK,Vitória,25,1998,37.0,3,0,3,0,0,3,6,50.0,3,0,0,0,1,4,9,3,Matches
42,Matias Arezo,uy URU,"FW,MF",Grêmio,21,2002,1.2,3,1,1,1,1,1,2,50.0,1,2,0,2,0,3,2,0,Matches
43,Jhon Arias,co COL,FW,Fluminense,26,1997,26.4,50,28,19,16,15,27,49,55.1,22,36,2,34,13,63,13,0,Matches
44,Santiago Arias,co COL,DF,Bahia,32,1992,20.9,43,32,25,13,5,22,36,61.1,14,14,6,8,20,63,47,1,Matches
45,Arthur,br BRA,FW,Cruzeiro,25,1998,14.1,16,10,6,5,5,5,13,38.5,8,8,1,7,3,19,6,0,Matches
46,Arthur,br BRA,FW,Criciúma,31,1992,18.6,6,2,0,4,2,2,4,50.0,2,13,2,11,1,7,18,0,Matches
47,Arthur,br BRA,FW,Corinthians,20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
48,Arthur,br BRA,"FW,MF",RB Bragantino,20,2003,1.7,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,Matches
49,Filipe Augusto,br BRA,MF,Cuiabá,30,1993,9.4,16,8,9,6,1,6,12,50.0,6,16,4,12,11,27,24,0,Matches
50,Renato Augusto,br BRA,"MF,FW",Fluminense,35,1988,4.9,14,8,3,6,5,5,11,45.5,6,1,0,1,5,19,3,0,Matches
51,Yarlen Augusto,br BRA,MF,Botafogo (RJ),17,2006,0.9,2,1,0,1,1,0,2,0.0,2,2,0,2,1,3,0,0,Matches
52,Pablo Baianinho,br BRA,"MF,FW",Vitória,20,2003,0.4,0,0,0,0,0,0,4,0.0,4,1,0,1,0,0,0,0,Matches
