Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Abner,BRA,DF,Juventude,19,2004,1.2,1,0,0,1,1,0,0,3,0,0,0,0,3,3,3,50.0
Nicolás Acevedo,URU,"MF,DF",Bahia,24,1999,3.0,2,0,0,8,5,0,3,3,4,0,0,0,20,5,5,50.0
Luiz Adriano,BRA,FW,Vitória,36,1987,2.2,1,0,0,4,5,2,0,0,0,0,0,0,3,9,13,40.9
Adriel,BRA,GK,Bahia,23,2001,3.7,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Adryelson,BRA,DF,Botafogo (RJ),25,1998,6.4,0,0,0,2,0,0,1,10,3,0,0,0,13,25,10,71.4
Adson,BRA,FW,Vasco da Gama,23,2000,13.6,2,0,0,7,18,0,22,6,20,0,0,0,73,9,12,42.9
Braian Aguirre,ARG,DF,Internacional,23,2000,1.0,0,0,0,1,1,0,4,1,3,0,0,0,5,1,2,33.3
Lucas Alario,ARG,"FW,MF",Internacional,31,1992,7.1,4,0,0,22,6,9,2,1,1,0,1,0,13,15,40,27.3
Carlos Alberto,BRA,FW,Botafogo (RJ),21,2002,2.4,0,0,0,3,2,0,2,0,2,0,0,0,5,3,5,37.5
Yuri Alberto,BRA,FW,Corinthians,22,2001,24.4,6,1,0,34,40,17,9,8,5,1,0,0,67,32,64,33.3
Carlos Alcaraz,ARG,"MF,FW",Flamengo,21,2002,8.3,1,1,0,15,8,1,30,5,11,0,0,0,52,7,7,50.0
Max Alegria,BRA,"FW,DF",Vasco da Gama,20,2004,0.9,0,0,0,0,1,0,1,1,0,0,0,0,2,3,2,60.0
Alerrandro,BRA,FW,Vitória,24,2000,26.5,4,0,0,28,46,5,7,13,15,0,1,0,92,37,93,28.5
Caio Alexandre,BRA,MF,Bahia,24,1999,30.8,6,0,0,56,49,3,29,9,29,0,1,0,143,7,12,36.8
Matheus Alexandre,BRA,DF,Cuiabá,24,1999,27.4,6,0,0,26,10,0,49,38,40,0,1,0,97,48,29,62.3
