Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Junior Adamu,AUT,FW,Freiburg,23,2001,17.2,312,292,18,0,2,0,5,2,0,0,0,0,198,2,12
Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002,15.9,401,388,11,1,3,2,26,7,2,2,0,0,298,2,20
Amine Adli,MAR,"MF,FW",Leverkusen,24,2000,8.5,360,346,12,0,0,2,33,8,3,2,1,0,267,2,14
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,26,1998,18.2,461,434,22,3,1,4,53,11,0,0,0,0,320,5,31
Felix Agu,NGA,DF,Werder Bremen,24,1999,19.5,822,667,153,6,0,3,49,147,0,0,0,0,655,2,26
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,22,2001,0.5,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995,24.7,1369,1280,85,43,1,5,12,14,0,0,0,0,1193,4,10
Andreas Albers,DEN,FW,St. Pauli,34,1990,0.7,29,28,1,0,0,0,0,0,0,0,0,0,15,0,0
Ben Alexander Voll,GER,GK,St. Pauli,23,2000,1.0,50,33,17,4,0,0,0,0,0,0,0,0,28,0,0
Skelly Alvero,FRA,MF,Werder Bremen,22,2002,2.6,91,90,0,0,0,0,0,0,0,0,0,0,68,1,3
Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003,1.1,69,66,3,1,0,3,0,1,0,0,0,0,58,0,2
Nadiem Amiri,GER,MF,Mainz 05,27,1996,27.5,1781,1508,259,120,10,14,166,10,113,40,55,1,1371,14,36
Mohamed Amoura,ALG,FW,Wolfsburg,24,2000,27.4,757,714,38,0,9,14,35,16,0,0,0,0,532,5,42
Robert Andrich,GER,"MF,DF",Leverkusen,29,1994,17.8,978,952,24,15,2,7,12,4,0,0,0,0,865,2,6
Waldemar Anton,GER,DF,Dortmund,28,1996,21.7,1841,1763,78,33,2,6,24,37,0,0,0,0,1664,0,18
Maximilian Arnold,GER,MF,Wolfsburg,30,1994,26.2,1358,1135,218,109,3,17,152,4,84,51,32,1,1049,5,18
Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000,7.9,174,146,23,3,1,5,24,9,7,5,2,0,102,5,8
Arthur,BRA,DF,Leverkusen,21,2003,8.4,388,342,45,1,0,0,16,44,0,0,0,0,306,1,13
Noah Atubolu,GER,GK,Freiburg,22,2002,25.6,1140,952,186,60,0,2,0,0,0,0,0,0,849,2,1
Ayman Azhil,MAR,MF,Dortmund,23,2001,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
Adam Aznou,MAR,DF,Bayern Munich,18,2006,0.2,17,14,2,0,0,0,1,2,0,0,0,0,13,1,0
Aliou Badara Baldé,GUI,"MF,FW",Bochum,21,2002,1.0,20,18,1,0,1,0,4,1,0,0,0,0,11,1,1
