Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,1,0,0,43,67,5,61,8,33,0,0,0,122,23,57,28.8,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,1,0,0,12,33,0,27,9,10,0,0,0,60,23,25,47.9,Matches
3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,4,1,1,18,26,1,4,9,22,0,0,0,76,24,32,42.9,Matches
4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,0,0,0,6,5,0,0,2,0,0,0,0,21,2,2,50.0,Matches
5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,1,0,0,5,9,0,18,2,5,0,1,0,13,7,19,26.9,Matches
6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,12,0,0,87,98,3,30,56,99,0,0,0,245,83,54,60.6,Matches
7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,1,0,0,57,29,27,10,7,11,0,0,0,64,61,94,39.4,Matches
8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,0,0,0,1,1,0,3,0,0,0,0,0,2,1,3,25.0,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,25,1999,34.8,11,1,0,26,28,4,7,40,43,0,1,0,132,65,56,53.7,Matches
11,Semi Ajayi,ng NGA,DF,West Brom,30,1993,13.6,4,0,0,10,5,0,3,11,6,0,0,0,42,30,21,58.8,Matches
12,Milan Aleksić,rs SRB,"MF,FW",Sunderland,18,2005,3.2,1,0,0,7,2,0,6,4,4,0,0,0,18,0,2,0.0,Matches
13,Ajibola Alese,eng ENG,DF,Sunderland,23,2001,7.8,2,0,0,8,3,1,10,6,4,0,0,0,28,11,14,44.0,Matches
14,Jamie Allen,eng ENG,MF,Coventry City,29,1995,11.2,1,0,0,12,7,0,0,9,16,0,0,0,55,12,12,50.0,Matches
15,Joe Allen,wls WAL,MF,Swansea City,34,1990,7.9,2,0,0,16,8,0,13,7,8,0,0,0,37,9,14,39.1,Matches
16,Millenic Alli,ie IRL,"FW,DF",Luton Town,24,2000,8.5,1,0,0,12,12,3,31,1,5,0,0,0,29,22,14,61.1,Matches
17,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29.0,2,0,0,0,7,0,0,0,1,0,0,0,33,8,3,72.7,Matches
18,Will Alves,eng ENG,"FW,MF",Cardiff City,19,2005,7.4,0,0,0,0,8,0,24,3,11,0,0,0,34,3,11,21.4,Matches
19,Steven Alzate,co COL,MF,Hull City,25,1998,21.6,2,0,0,20,20,1,24,27,50,0,0,0,162,30,18,62.5,Matches
20,Zeki Amdouni,ch SUI,MF,Burnley,23,2000,0.4,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,,Matches
21,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,23,2000,25.4,7,0,0,38,36,0,5,25,27,0,0,0,129,61,25,70.9,Matches
22,Nordin Amrabat,ma MAR,"FW,MF",Hull City,37,1987,3.2,0,0,0,11,6,6,30,0,5,0,0,0,13,1,5,16.7,Matches
23,Lucas Andersen,dk DEN,"MF,FW",QPR,29,1994,12.9,1,0,0,11,13,3,74,9,14,0,0,0,50,5,7,41.7,Matches
24,Joe Anderson,eng ENG,DF,Sunderland,23,2001,1.1,1,0,0,3,1,0,4,0,2,0,0,0,9,1,1,50.0,Matches
25,Ryan Andrews,eng ENG,"DF,MF",Watford,19,2004,23.2,3,0,0,33,22,1,56,23,26,0,0,0,77,21,30,41.2,Matches
26,Jaidon Anthony,eng ENG,"FW,MF",Burnley,24,1999,40.7,4,0,0,38,37,14,251,31,33,0,0,0,165,20,35,36.4,Matches
27,Adil Aouchiche,fr FRA,"MF,FW",Portsmouth,22,2002,7.6,2,0,0,6,7,0,24,10,7,0,0,0,47,6,20,23.1,Matches
28,Adil Aouchiche,fr FRA,"FW,MF",Sunderland,22,2002,3.3,0,0,0,7,4,1,32,1,2,0,0,0,15,3,5,37.5,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,20,2004,10.9,3,0,0,8,11,0,18,9,7,1,0,0,63,8,11,42.1,Matches
30,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,1.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
31,Adam Armstrong,eng ENG,FW,West Brom,27,1997,11.2,0,0,0,16,7,8,9,0,7,0,0,0,25,4,14,22.2,Matches
32,Harrison Armstrong,eng ENG,MF,Derby County,17,2007,12.3,3,0,0,11,10,1,2,23,18,0,0,0,57,14,18,43.8,Matches
33,Sinclair Armstrong,ie IRL,FW,Bristol City,21,2003,17.3,1,0,0,26,28,11,4,3,1,2,0,0,28,19,48,28.4,Matches
34,Stuart Armstrong,sct SCO,"MF,FW",Sheffield Weds,32,1992,6.0,0,0,0,3,2,1,10,2,6,0,0,0,15,2,4,33.3,Matches
35,Harrison Ashby,sct SCO,"DF,FW",QPR,22,2001,17.6,6,0,0,18,27,3,26,11,35,0,0,0,74,12,15,44.4,Matches
36,Cian Ashford,wls WAL,"FW,MF",Cardiff City,19,2004,16.9,0,0,0,17,22,1,38,8,11,0,0,0,68,11,29,27.5,Matches
37,Robert Atkinson,eng ENG,DF,Portsmouth,26,1998,12.2,4,0,0,4,16,1,0,9,3,0,0,1,45,63,22,74.1,Matches
38,Luke Ayling,eng ENG,DF,Middlesbrough,32,1991,21.7,4,0,0,12,21,1,57,23,42,0,0,0,102,31,39,44.3,Matches
39,Finn Azaz,ie IRL,"MF,FW",Middlesbrough,23,2000,39.4,6,0,0,21,47,2,185,14,28,0,0,0,149,15,32,31.9,Matches
40,Femi Azeez,eng ENG,FW,Millwall,23,2001,21.2,4,0,0,32,14,12,80,18,30,0,0,0,111,47,58,44.8,Matches
41,Kwadwo Baah,eng ENG,"MF,FW",Watford,21,2003,16.2,5,1,0,33,27,7,38,4,13,2,0,0,39,15,23,39.5,Matches
42,Daniel Bachmann,at AUT,GK,Watford,30,1994,21.1,1,0,0,0,11,0,0,0,0,0,0,1,22,4,0,100.0,Matches
