Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Brenden Aaronson,USA,MF,Leeds United,23.0,2000.0,39.5,1,0,0,43,67,5,61,8,33,0,0,0,122,23,57,28.8
Thelo Aasgaard,NOR,"MF,FW",Luton Town,22.0,2002.0,16.8,1,0,0,12,33,0,27,9,10,0,0,0,60,23,25,47.9
James Abankwah,IRL,DF,Watford,20.0,2004.0,15.4,4,1,1,18,26,1,4,9,22,0,0,0,76,24,32,42.9
Salis Abdul Samed,GHA,MF,Sunderland,24.0,2000.0,3.1,0,0,0,6,5,0,0,2,0,0,0,0,21,2,2,50.0
Azeem Abdulai,SCO,"FW,MF",Swansea City,21.0,2002.0,3.9,1,0,0,5,9,0,18,2,5,0,1,0,13,7,19,26.9
Ebou Adams,GAM,MF,Derby County,28.0,1996.0,42.1,12,0,0,87,98,3,30,56,99,0,0,0,245,83,54,60.6
Elijah Adebayo,ENG,FW,Luton Town,26.0,1998.0,26.9,1,0,0,57,29,27,10,7,11,0,0,0,64,61,94,39.4
Michael Adu-Poku,ENG,FW,Watford,18.0,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Enock Agyei,BEL,"FW,MF",Burnley,19.0,2005.0,0.6,0,0,0,1,1,0,3,0,0,0,0,0,2,1,3,25.0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,1999.0,34.8,11,1,0,26,28,4,7,40,43,0,1,0,132,65,56,53.7
Semi Ajayi,NGA,DF,West Brom,30.0,1993.0,13.6,4,0,0,10,5,0,3,11,6,0,0,0,42,30,21,58.8
Milan Aleksić,SRB,"MF,FW",Sunderland,18.0,2005.0,3.2,1,0,0,7,2,0,6,4,4,0,0,0,18,0,2,0.0
Ajibola Alese,ENG,DF,Sunderland,23.0,2001.0,7.8,2,0,0,8,3,1,10,6,4,0,0,0,28,11,14,44.0
Jamie Allen,ENG,MF,Coventry City,29.0,1995.0,11.2,1,0,0,12,7,0,0,9,16,0,0,0,55,12,12,50.0
Joe Allen,WAL,MF,Swansea City,34.0,1990.0,7.9,2,0,0,16,8,0,13,7,8,0,0,0,37,9,14,39.1
Millenic Alli,IRL,"FW,DF",Luton Town,24.0,2000.0,8.5,1,0,0,12,12,3,31,1,5,0,0,0,29,22,14,61.1
Jak Alnwick,ENG,GK,Cardiff City,31.0,1993.0,29.0,2,0,0,0,7,0,0,0,1,0,0,0,33,8,3,72.7
Will Alves,ENG,"FW,MF",Cardiff City,19.0,2005.0,7.4,0,0,0,0,8,0,24,3,11,0,0,0,34,3,11,21.4
Steven Alzate,COL,MF,Hull City,25.0,1998.0,21.6,2,0,0,20,20,1,24,27,50,0,0,0,162,30,18,62.5
Zeki Amdouni,SUI,MF,Burnley,23.0,2000.0,0.4,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,
Ethan Ampadu,WAL,"DF,MF",Leeds United,23.0,2000.0,25.4,7,0,0,38,36,0,5,25,27,0,0,0,129,61,25,70.9
Nordin Amrabat,MAR,"FW,MF",Hull City,37.0,1987.0,3.2,0,0,0,11,6,6,30,0,5,0,0,0,13,1,5,16.7
Lucas Andersen,DEN,"MF,FW",QPR,29.0,1994.0,12.9,1,0,0,11,13,3,74,9,14,0,0,0,50,5,7,41.7
Joe Anderson,ENG,DF,Sunderland,23.0,2001.0,1.1,1,0,0,3,1,0,4,0,2,0,0,0,9,1,1,50.0
Ryan Andrews,ENG,"DF,MF",Watford,19.0,2004.0,23.2,3,0,0,33,22,1,56,23,26,0,0,0,77,21,30,41.2
Jaidon Anthony,ENG,"FW,MF",Burnley,24.0,1999.0,40.7,4,0,0,38,37,14,251,31,33,0,0,0,165,20,35,36.4
Adil Aouchiche,FRA,"MF,FW",Portsmouth,22.0,2002.0,7.6,2,0,0,6,7,0,24,10,7,0,0,0,47,6,20,23.1
Adil Aouchiche,FRA,"FW,MF",Sunderland,22.0,2002.0,3.3,0,0,0,7,4,1,32,1,2,0,0,0,15,3,5,37.5
Oliver Arblaster,ENG,MF,Sheffield Utd,20.0,2004.0,10.9,3,0,0,8,11,0,18,9,7,1,0,0,63,8,11,42.1
Jordan Archer,SCO,GK,Portsmouth,31.0,1993.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Adam Armstrong,ENG,FW,West Brom,27.0,1997.0,11.2,0,0,0,16,7,8,9,0,7,0,0,0,25,4,14,22.2
Harrison Armstrong,ENG,MF,Derby County,17.0,2007.0,12.3,3,0,0,11,10,1,2,23,18,0,0,0,57,14,18,43.8
Sinclair Armstrong,IRL,FW,Bristol City,21.0,2003.0,17.3,1,0,0,26,28,11,4,3,1,2,0,0,28,19,48,28.4
Stuart Armstrong,SCO,"MF,FW",Sheffield Weds,32.0,1992.0,6.0,0,0,0,3,2,1,10,2,6,0,0,0,15,2,4,33.3
Harrison Ashby,SCO,"DF,FW",QPR,22.0,2001.0,17.6,6,0,0,18,27,3,26,11,35,0,0,0,74,12,15,44.4
Cian Ashford,WAL,"FW,MF",Cardiff City,19.0,2004.0,16.9,0,0,0,17,22,1,38,8,11,0,0,0,68,11,29,27.5
Robert Atkinson,ENG,DF,Portsmouth,26.0,1998.0,12.2,4,0,0,4,16,1,0,9,3,0,0,1,45,63,22,74.1
Luke Ayling,ENG,DF,Middlesbrough,32.0,1991.0,21.7,4,0,0,12,21,1,57,23,42,0,0,0,102,31,39,44.3
Finn Azaz,IRL,"MF,FW",Middlesbrough,23.0,2000.0,39.4,6,0,0,21,47,2,185,14,28,0,0,0,149,15,32,31.9
Femi Azeez,ENG,FW,Millwall,23.0,2001.0,21.2,4,0,0,32,14,12,80,18,30,0,0,0,111,47,58,44.8
Kwadwo Baah,ENG,"MF,FW",Watford,21.0,2003.0,16.2,5,1,0,33,27,7,38,4,13,2,0,0,39,15,23,39.5
Daniel Bachmann,AUT,GK,Watford,30.0,1994.0,21.1,1,0,0,0,11,0,0,0,0,0,0,1,22,4,0,100.0
Joel Bagan,IRL,DF,Cardiff City,24.0,2000.0,17.9,4,1,0,20,13,0,21,14,20,0,0,0,71,18,26,40.9
Michael Baidoo,GHA,"MF,FW",Plymouth Argyle,25.0,1999.0,5.0,0,0,0,15,5,1,2,2,3,0,0,0,27,4,14,22.2
Lewis Baker,ENG,MF,Stoke City,29.0,1995.0,16.4,3,0,0,23,15,6,65,12,4,0,0,0,65,8,9,47.1
Lewis Baker,ENG,"MF,FW",Blackburn,29.0,1995.0,6.6,2,0,0,5,3,0,6,5,3,0,0,0,29,4,3,57.1
Daniel Ballard,NIR,DF,Sunderland,24.0,1999.0,12.5,3,0,0,13,17,1,0,9,7,0,1,1,45,63,24,72.4
Patrick Bamford,ENG,FW,Leeds United,30.0,1993.0,2.8,0,0,0,6,5,7,3,2,2,0,0,0,7,8,14,36.4
Raees Bangura-Williams,,"FW,MF",Millwall,,,6.8,2,0,0,7,2,2,2,3,15,0,0,0,40,5,6,45.5
Tamer Bani Odeh,JOR,"MF,FW",West Brom,20.0,2003.0,0.6,1,0,0,5,1,0,2,2,4,0,0,0,7,0,2,0.0
Barry Bannan,SCO,MF,Sheffield Weds,34.0,1989.0,38.5,7,0,0,18,20,0,148,22,36,0,0,0,213,18,21,46.2
Jamal Baptiste,ENG,DF,Sheffield Utd,20.0,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shandon Baptiste,GRN,MF,Luton Town,26.0,1998.0,8.0,2,0,0,10,7,1,32,12,8,0,0,0,36,6,8,42.9
Tom Barkhuizen,ENG,"FW,MF",Derby County,31.0,1993.0,4.5,2,0,0,5,6,0,13,5,4,1,0,0,29,5,9,35.7
Daniel Barlaser,TUR,MF,Middlesbrough,27.0,1997.0,12.8,2,0,0,16,16,2,61,10,11,0,0,0,48,5,8,38.5
Ashley Barnes,ENG,"FW,MF",Norwich City,34.0,1989.0,1.9,1,0,0,8,4,1,0,1,0,0,0,0,7,4,6,40.0
Ashley Barnes,ENG,"FW,MF",Burnley,34.0,1989.0,1.5,1,0,0,3,7,3,1,2,0,0,0,0,5,7,13,35.0
Louie Barry,ENG,"FW,MF",Hull City,21.0,2003.0,1.8,0,0,0,3,1,1,12,1,1,0,0,0,10,0,1,0.0
Kyle Bartley,ENG,DF,West Brom,33.0,1991.0,29.0,5,1,0,26,13,3,1,23,14,0,0,0,96,109,36,75.2
Norman Bassette,BEL,FW,Coventry City,19.0,2004.0,10.1,5,0,0,22,13,15,11,0,4,1,0,0,13,12,42,22.2
Danny Batth,ENG,DF,Blackburn,33.0,1990.0,33.4,5,0,0,30,22,1,0,37,23,0,1,0,61,152,70,68.5
Patrick Bauer,GER,DF,Preston,31.0,1992.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Vakoun Bayo,CIV,FW,Watford,27.0,1997.0,24.9,5,1,0,43,19,20,3,3,13,1,0,0,48,61,104,37.0
James Beadle,ENG,GK,Sheffield Weds,20.0,2004.0,38.0,2,0,0,0,6,0,0,0,1,0,0,0,41,14,0,100.0
Owen Beck,WAL,"DF,FW",Blackburn,21.0,2002.0,20.8,3,1,0,34,13,4,72,19,38,0,0,0,75,11,31,26.2
Chris Bedia,CIV,FW,Hull City,28.0,1996.0,10.2,0,0,0,19,6,4,0,0,6,0,0,0,15,12,23,34.3
Amari'i Bell,JAM,DF,Luton Town,30.0,1994.0,30.1,1,0,0,19,38,1,16,26,25,0,0,0,107,46,37,55.4
Sam Bell,ENG,"FW,DF",Bristol City,22.0,2002.0,4.9,0,0,0,6,6,5,15,2,7,0,0,0,22,12,12,50.0
Jobe Bellingham,ENG,MF,Sunderland,18.0,2005.0,39.0,10,1,0,41,59,2,10,31,41,0,0,0,221,69,80,46.3
Bachir Belloumi,ALG,"FW,MF",Hull City,22.0,2002.0,9.1,1,0,0,8,9,11,58,9,7,1,0,0,30,9,12,42.9
Anis Ben Slimane,TUN,MF,Norwich City,23.0,2001.0,23.2,6,0,0,38,21,1,15,15,27,0,0,0,108,20,39,33.9
Anis Ben Slimane,TUN,MF,Sheffield Utd,23.0,2001.0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0.0
