Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,39.5,9,86,26,30.2,2.18,0.66,0.10,0.35,16.5,3,0,0,11.3,11.3,0.13,-2.3,-2.3,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,16.8,2,38,11,28.9,2.26,0.65,0.05,0.18,21.0,3,0,0,3.2,3.2,0.08,-1.2,-1.2,Matches
3,James Abankwah,ie IRL,DF,Watford,20,2004,15.4,0,4,1,25.0,0.26,0.07,0.00,0.00,14.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,3.9,1,2,1,50.0,0.52,0.26,0.50,1.00,6.1,0,0,0,0.4,0.4,0.22,+0.6,+0.6,Matches
6,Ebou Adams,gm GAM,MF,Derby County,28,1996,42.1,6,52,11,21.2,1.24,0.26,0.12,0.55,17.4,0,0,0,5.2,5.2,0.10,+0.8,+0.8,Matches
7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,26.9,5,69,30,43.5,2.56,1.11,0.07,0.17,11.1,0,0,0,12.8,12.8,0.19,-7.8,-7.8,Matches
8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,0.6,0,2,0,0.0,3.10,0.00,0.00,,19.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,25,1999,34.8,3,12,4,33.3,0.34,0.11,0.25,0.75,9.3,0,0,0,2.3,2.3,0.19,+0.7,+0.7,Matches
11,Semi Ajayi,ng NGA,DF,West Brom,30,1993,13.6,0,5,1,20.0,0.37,0.07,0.00,0.00,9.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
12,Milan Aleksić,rs SRB,"MF,FW",Sunderland,18,2005,3.2,0,6,4,66.7,1.86,1.24,0.00,0.00,19.6,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
13,Ajibola Alese,eng ENG,DF,Sunderland,23,2001,7.8,0,3,1,33.3,0.38,0.13,0.00,0.00,8.3,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches
14,Jamie Allen,eng ENG,MF,Coventry City,29,1995,11.2,0,10,2,20.0,0.90,0.18,0.00,0.00,23.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
15,Joe Allen,wls WAL,MF,Swansea City,34,1990,7.9,1,6,3,50.0,0.76,0.38,0.17,0.33,12.6,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
16,Millenic Alli,ie IRL,"FW,DF",Luton Town,24,2000,8.5,4,22,6,27.3,2.58,0.70,0.18,0.67,16.5,0,0,0,1.3,1.3,0.06,+2.7,+2.7,Matches
17,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Will Alves,eng ENG,"FW,MF",Cardiff City,19,2005,7.4,1,13,4,30.8,1.75,0.54,0.08,0.25,20.9,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
19,Steven Alzate,co COL,MF,Hull City,25,1998,21.6,0,15,1,6.7,0.70,0.05,0.00,0.00,25.4,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
20,Zeki Amdouni,ch SUI,MF,Burnley,23,2000,0.4,1,1,1,100.0,2.57,2.57,1.00,1.00,30.7,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
21,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,23,2000,25.4,0,11,2,18.2,0.43,0.08,0.00,0.00,23.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
22,Nordin Amrabat,ma MAR,"FW,MF",Hull City,37,1987,3.2,0,4,1,25.0,1.25,0.31,0.00,0.00,23.3,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
23,Lucas Andersen,dk DEN,"MF,FW",QPR,29,1994,12.9,2,19,8,42.1,1.47,0.62,0.11,0.25,18.8,1,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
24,Joe Anderson,eng ENG,DF,Sunderland,23,2001,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Ryan Andrews,eng ENG,"DF,MF",Watford,19,2004,23.2,3,32,10,31.3,1.38,0.43,0.09,0.30,22.3,0,0,0,1.1,1.1,0.03,+1.9,+1.9,Matches
26,Jaidon Anthony,eng ENG,"FW,MF",Burnley,24,1999,40.7,8,97,30,30.9,2.38,0.74,0.08,0.27,17.6,6,0,0,9.4,9.4,0.10,-1.4,-1.4,Matches
27,Adil Aouchiche,fr FRA,"MF,FW",Portsmouth,22,2002,7.6,1,14,5,35.7,1.84,0.66,0.07,0.20,18.6,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
28,Adil Aouchiche,fr FRA,"FW,MF",Sunderland,22,2002,3.3,0,14,7,50.0,4.26,2.13,0.00,0.00,18.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,20,2004,10.9,2,10,3,30.0,0.92,0.28,0.20,0.67,20.7,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
30,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Adam Armstrong,eng ENG,FW,West Brom,27,1997,11.2,3,24,9,37.5,2.14,0.80,0.08,0.22,15.9,1,1,1,3.8,3.0,0.12,-0.8,-1.0,Matches
32,Harrison Armstrong,eng ENG,MF,Derby County,17,2007,12.3,1,9,3,33.3,0.73,0.24,0.11,0.33,21.4,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
33,Sinclair Armstrong,ie IRL,FW,Bristol City,21,2003,17.3,3,41,17,41.5,2.37,0.98,0.07,0.18,14.0,0,0,0,5.1,5.1,0.13,-2.1,-2.1,Matches
34,Stuart Armstrong,sct SCO,"MF,FW",Sheffield Weds,32,1992,6.0,0,13,2,15.4,2.18,0.34,0.00,0.00,17.3,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
35,Harrison Ashby,sct SCO,"DF,FW",QPR,22,2001,17.6,0,13,4,30.8,0.74,0.23,0.00,0.00,20.2,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
36,Cian Ashford,wls WAL,"FW,MF",Cardiff City,19,2004,16.9,2,21,4,19.0,1.24,0.24,0.10,0.50,17.4,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
37,Robert Atkinson,eng ENG,DF,Portsmouth,26,1998,12.2,2,6,2,33.3,0.49,0.16,0.33,1.00,11.5,0,0,0,0.5,0.5,0.09,+1.5,+1.5,Matches
38,Luke Ayling,eng ENG,DF,Middlesbrough,32,1991,21.7,0,14,1,7.1,0.65,0.05,0.00,0.00,15.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
39,Finn Azaz,ie IRL,"MF,FW",Middlesbrough,23,2000,39.4,12,123,40,32.5,3.12,1.02,0.10,0.30,19.1,3,0,0,9.5,9.5,0.08,+2.5,+2.5,Matches
40,Femi Azeez,eng ENG,FW,Millwall,23,2001,21.2,2,53,18,34.0,2.50,0.85,0.04,0.11,16.5,1,0,0,4.8,4.8,0.09,-2.8,-2.8,Matches
41,Kwadwo Baah,eng ENG,"MF,FW",Watford,21,2003,16.2,4,25,12,48.0,1.54,0.74,0.16,0.33,14.8,0,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches
42,Daniel Bachmann,at AUT,GK,Watford,30,1994,21.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Joel Bagan,ie IRL,DF,Cardiff City,24,2000,17.9,0,2,2,100.0,0.11,0.11,0.00,0.00,7.7,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
44,Michael Baidoo,gh GHA,"MF,FW",Plymouth Argyle,25,1999,5.0,0,1,1,100.0,0.20,0.20,0.00,0.00,6.0,0,0,0,0.4,0.4,0.41,-0.4,-0.4,Matches
45,Lewis Baker,eng ENG,MF,Stoke City,29,1995,16.4,6,25,10,40.0,1.53,0.61,0.16,0.40,25.0,2,2,2,3.8,2.2,0.09,+2.2,+1.8,Matches
46,Lewis Baker,eng ENG,"MF,FW",Blackburn,29,1995,6.6,1,12,3,25.0,1.81,0.45,0.08,0.33,17.9,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
47,Daniel Ballard,nir NIR,DF,Sunderland,24,1999,12.5,2,14,6,42.9,1.12,0.48,0.14,0.33,11.9,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
48,Patrick Bamford,eng ENG,FW,Leeds United,30,1993,2.8,0,12,2,16.7,4.29,0.71,0.00,0.00,12.0,0,0,0,2.2,2.2,0.18,-2.2,-2.2,Matches
49,Raees Bangura-Williams,,"FW,MF",Millwall,,,6.8,0,8,2,25.0,1.18,0.30,0.00,0.00,19.4,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
50,Tamer Bani Odeh,jo JOR,"MF,FW",West Brom,20,2003,0.6,0,3,0,0.0,5.09,0.00,0.00,,14.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
51,Barry Bannan,sct SCO,MF,Sheffield Weds,34,1989,38.5,4,48,9,18.8,1.25,0.23,0.08,0.44,24.1,2,0,0,2.6,2.6,0.05,+1.4,+1.4,Matches
52,Jamal Baptiste,eng ENG,DF,Sheffield Utd,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Shandon Baptiste,gd GRN,MF,Luton Town,26,1998,8.0,1,6,2,33.3,0.75,0.25,0.17,0.50,19.3,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
54,Tom Barkhuizen,eng ENG,"FW,MF",Derby County,31,1993,4.5,0,5,1,20.0,1.11,0.22,0.00,0.00,14.0,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
55,Daniel Barlaser,tr TUR,MF,Middlesbrough,27,1997,12.8,1,8,2,25.0,0.62,0.16,0.13,0.50,24.6,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
56,Ashley Barnes,eng ENG,"FW,MF",Norwich City,34,1989,1.9,0,4,1,25.0,2.08,0.52,0.00,0.00,11.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
57,Ashley Barnes,eng ENG,"FW,MF",Burnley,34,1989,1.5,1,3,1,33.3,2.01,0.67,0.33,1.00,12.9,0,0,0,0.9,0.9,0.30,+0.1,+0.1,Matches
58,Louie Barry,eng ENG,"FW,MF",Hull City,21,2003,1.8,0,3,1,33.3,1.64,0.55,0.00,0.00,21.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
59,Kyle Bartley,eng ENG,DF,West Brom,33,1991,29.0,0,24,6,25.0,0.83,0.21,0.00,0.00,12.1,0,0,0,1.9,1.9,0.08,-1.9,-1.9,Matches
60,Norman Bassette,be BEL,FW,Coventry City,19,2004,10.1,2,18,7,38.9,1.79,0.69,0.11,0.29,12.3,0,0,0,4.9,4.9,0.27,-2.9,-2.9,Matches
61,Danny Batth,eng ENG,DF,Blackburn,33,1990,33.4,2,17,6,35.3,0.51,0.18,0.12,0.33,10.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
62,Patrick Bauer,de GER,DF,Preston,31,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
