Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Brenden Aaronson,USA,MF,Leeds United,23.0,2000.0,39.5,9,86,26,30.2,2.18,0.66,0.1,0.35,16.5,3,0,0,11.3,11.3,0.13,-2.3,-2.3
Thelo Aasgaard,NOR,"MF,FW",Luton Town,22.0,2002.0,16.8,2,38,11,28.9,2.26,0.65,0.05,0.18,21.0,3,0,0,3.2,3.2,0.08,-1.2,-1.2
James Abankwah,IRL,DF,Watford,20.0,2004.0,15.4,0,4,1,25.0,0.26,0.07,0.0,0.0,14.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Salis Abdul Samed,GHA,MF,Sunderland,24.0,2000.0,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Azeem Abdulai,SCO,"FW,MF",Swansea City,21.0,2002.0,3.9,1,2,1,50.0,0.52,0.26,0.5,1.0,6.1,0,0,0,0.4,0.4,0.22,0.6,0.6
Ebou Adams,GAM,MF,Derby County,28.0,1996.0,42.1,6,52,11,21.2,1.24,0.26,0.12,0.55,17.4,0,0,0,5.2,5.2,0.1,0.8,0.8
Elijah Adebayo,ENG,FW,Luton Town,26.0,1998.0,26.9,5,69,30,43.5,2.56,1.11,0.07,0.17,11.1,0,0,0,12.8,12.8,0.19,-7.8,-7.8
Michael Adu-Poku,ENG,FW,Watford,18.0,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Enock Agyei,BEL,"FW,MF",Burnley,19.0,2005.0,0.6,0,2,0,0.0,3.1,0.0,0.0,,19.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,1999.0,34.8,3,12,4,33.3,0.34,0.11,0.25,0.75,9.3,0,0,0,2.3,2.3,0.19,0.7,0.7
Semi Ajayi,NGA,DF,West Brom,30.0,1993.0,13.6,0,5,1,20.0,0.37,0.07,0.0,0.0,9.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Milan Aleksić,SRB,"MF,FW",Sunderland,18.0,2005.0,3.2,0,6,4,66.7,1.86,1.24,0.0,0.0,19.6,0,0,0,0.8,0.8,0.13,-0.8,-0.8
Ajibola Alese,ENG,DF,Sunderland,23.0,2001.0,7.8,0,3,1,33.3,0.38,0.13,0.0,0.0,8.3,0,0,0,0.5,0.5,0.15,-0.5,-0.5
Jamie Allen,ENG,MF,Coventry City,29.0,1995.0,11.2,0,10,2,20.0,0.9,0.18,0.0,0.0,23.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
