Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,46,43,3551,39.5,9,2,11,9,0,0,1,0,11.3,11.3,5.7,17.1,84,160,243,0.23,0.05,0.28,0.23,0.28,0.29,0.14,0.43,0.29,0.43,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,22,2002,17,17,1513,16.8,2,1,3,2,0,0,1,0,3.2,3.2,1.1,4.3,27,46,71,0.12,0.06,0.18,0.12,0.18,0.19,0.07,0.25,0.19,0.25,Matches
3,James Abankwah,ie IRL,DF,Watford,20,2004,19,17,1384,15.4,0,0,0,0,0,0,4,1,0.1,0.1,0.3,0.3,21,55,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,10,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,15,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,21,2002,17,2,348,3.9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,8,10,53,0.26,0.00,0.26,0.26,0.26,0.11,0.05,0.16,0.11,0.16,Matches
6,Ebou Adams,gm GAM,MF,Derby County,28,1996,44,42,3789,42.1,6,1,7,6,0,0,12,0,5.2,5.2,1.9,7.1,27,131,77,0.14,0.02,0.17,0.14,0.17,0.12,0.05,0.17,0.12,0.17,Matches
7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,39,31,2425,26.9,5,0,5,5,0,0,1,0,12.8,12.8,1.1,13.9,31,20,144,0.19,0.00,0.19,0.19,0.19,0.48,0.04,0.52,0.48,0.52,Matches
8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Enock Agyei,be BEL,"FW,MF",Burnley,19,2005,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,5,12,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,25,1999,38,35,3136,34.8,3,1,4,3,0,0,11,1,2.3,2.3,1.2,3.6,39,88,8,0.09,0.03,0.11,0.09,0.11,0.07,0.04,0.10,0.07,0.10,Matches
11,Semi Ajayi,ng NGA,DF,West Brom,30,1993,15,14,1228,13.6,0,0,0,0,0,0,4,0,0.4,0.4,0.0,0.5,9,51,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
12,Milan Aleksić,rs SRB,"MF,FW",Sunderland,18,2005,8,3,290,3.2,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,11,7,29,0.00,0.00,0.00,0.00,0.00,0.25,0.10,0.34,0.25,0.34,Matches
13,Ajibola Alese,eng ENG,DF,Sunderland,23,2001,12,8,703,7.8,0,0,0,0,0,0,2,0,0.5,0.5,0.5,1.0,3,29,19,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
14,Jamie Allen,eng ENG,MF,Coventry City,29,1995,21,12,1004,11.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,2,37,6,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
15,Joe Allen,wls WAL,MF,Swansea City,34,1990,25,8,709,7.9,1,1,2,1,0,0,2,0,0.9,0.9,0.4,1.3,7,40,19,0.13,0.13,0.25,0.13,0.25,0.12,0.05,0.16,0.12,0.16,Matches
16,Millenic Alli,ie IRL,"FW,DF",Luton Town,24,2000,16,6,766,8.5,4,0,4,4,0,0,1,0,1.3,1.3,0.3,1.7,41,14,53,0.47,0.00,0.47,0.47,0.47,0.16,0.04,0.20,0.16,0.20,Matches
17,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Will Alves,eng ENG,"FW,MF",Cardiff City,19,2005,14,8,667,7.4,1,3,4,1,0,0,0,0,0.8,0.8,0.9,1.7,29,14,54,0.13,0.40,0.54,0.13,0.54,0.10,0.12,0.23,0.10,0.23,Matches
19,Steven Alzate,co COL,MF,Hull City,25,1998,28,21,1941,21.6,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.2,18,77,14,0.00,0.05,0.05,0.00,0.05,0.02,0.03,0.06,0.02,0.06,Matches
20,Zeki Amdouni,ch SUI,MF,Burnley,23,2000,2,0,35,0.4,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,2.57,0.00,2.57,2.57,2.57,0.09,0.00,0.09,0.09,0.09,Matches
21,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,23,2000,29,26,2285,25.4,0,0,0,0,0,0,7,0,0.6,0.6,1.5,2.0,26,106,9,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
22,Nordin Amrabat,ma MAR,"FW,MF",Hull City,37,1987,10,2,288,3.2,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.5,14,14,30,0.00,0.31,0.31,0.00,0.31,0.08,0.09,0.17,0.08,0.17,Matches
23,Lucas Andersen,dk DEN,"MF,FW",QPR,29,1994,33,13,1165,12.9,2,0,2,2,0,0,1,0,1.8,1.8,1.8,3.7,17,38,80,0.15,0.00,0.15,0.15,0.15,0.14,0.14,0.28,0.14,0.28,Matches
24,Joe Anderson,eng ENG,DF,Sunderland,23,2001,2,1,99,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Ryan Andrews,eng ENG,"DF,MF",Watford,19,2004,38,21,2086,23.2,3,2,5,3,0,0,3,0,1.1,1.1,2.2,3.2,51,56,112,0.13,0.09,0.22,0.13,0.22,0.05,0.09,0.14,0.05,0.14,Matches
26,Jaidon Anthony,eng ENG,"FW,MF",Burnley,24,1999,43,42,3661,40.7,8,7,15,8,0,0,4,0,9.4,9.4,8.1,17.5,184,159,375,0.20,0.17,0.37,0.20,0.37,0.23,0.20,0.43,0.23,0.43,Matches
27,Adil Aouchiche,fr FRA,"MF,FW",Portsmouth,22,2002,12,9,683,7.6,1,1,2,1,0,0,2,0,1.2,1.2,0.4,1.6,14,18,41,0.13,0.13,0.26,0.13,0.26,0.16,0.05,0.21,0.16,0.21,Matches
28,Adil Aouchiche,fr FRA,"FW,MF",Sunderland,22,2002,8,3,296,3.3,0,1,1,0,0,0,0,0,0.5,0.5,1.6,2.1,14,14,56,0.00,0.30,0.30,0.00,0.30,0.16,0.48,0.64,0.16,0.64,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,20,2004,12,11,978,10.9,2,1,3,2,0,0,3,0,0.7,0.7,1.3,2.0,14,84,19,0.18,0.09,0.28,0.18,0.28,0.07,0.12,0.19,0.07,0.19,Matches
30,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,2,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Adam Armstrong,eng ENG,FW,West Brom,27,1997,16,12,1008,11.2,3,0,3,2,1,1,0,0,3.8,3.0,0.4,3.4,14,11,46,0.27,0.00,0.27,0.18,0.18,0.34,0.04,0.37,0.27,0.30,Matches
32,Harrison Armstrong,eng ENG,MF,Derby County,17,2007,15,12,1105,12.3,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.7,10,39,12,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05,Matches
33,Sinclair Armstrong,ie IRL,FW,Bristol City,21,2003,36,17,1555,17.3,3,0,3,3,0,0,1,0,5.1,5.1,0.8,6.0,33,16,121,0.17,0.00,0.17,0.17,0.17,0.30,0.05,0.35,0.30,0.35,Matches
34,Stuart Armstrong,sct SCO,"MF,FW",Sheffield Weds,32,1992,11,6,536,6.0,0,1,1,0,0,0,0,0,1.1,1.1,1.0,2.1,14,25,31,0.00,0.17,0.17,0.00,0.17,0.19,0.17,0.36,0.19,0.36,Matches
35,Harrison Ashby,sct SCO,"DF,FW",QPR,22,2001,29,17,1583,17.6,0,1,1,0,0,0,6,0,1.4,1.4,1.1,2.5,19,38,45,0.00,0.06,0.06,0.00,0.06,0.08,0.06,0.14,0.08,0.14,Matches
36,Cian Ashford,wls WAL,"FW,MF",Cardiff City,19,2004,28,17,1522,16.9,2,3,5,2,0,0,0,0,1.6,1.6,2.8,4.4,41,35,96,0.12,0.18,0.30,0.12,0.30,0.10,0.17,0.26,0.10,0.26,Matches
37,Robert Atkinson,eng ENG,DF,Portsmouth,26,1998,14,13,1098,12.2,2,1,3,2,0,0,4,0,0.5,0.5,1.0,1.6,9,39,1,0.16,0.08,0.25,0.16,0.25,0.05,0.08,0.13,0.05,0.13,Matches
38,Luke Ayling,eng ENG,DF,Middlesbrough,32,1991,26,23,1951,21.7,0,2,2,0,0,0,4,0,0.7,0.7,2.5,3.2,34,143,65,0.00,0.09,0.09,0.00,0.09,0.03,0.12,0.15,0.03,0.15,Matches
39,Finn Azaz,ie IRL,"MF,FW",Middlesbrough,23,2000,45,43,3544,39.4,12,11,23,12,0,0,6,0,9.5,9.5,9.7,19.2,94,236,290,0.30,0.28,0.58,0.30,0.58,0.24,0.25,0.49,0.24,0.49,Matches
40,Femi Azeez,eng ENG,FW,Millwall,23,2001,34,21,1906,21.2,2,5,7,2,0,0,4,0,4.8,4.8,2.1,6.9,81,61,161,0.09,0.24,0.33,0.09,0.33,0.23,0.10,0.32,0.23,0.32,Matches
41,Kwadwo Baah,eng ENG,"MF,FW",Watford,21,2003,27,16,1459,16.2,4,3,7,4,0,0,5,1,3.2,3.2,3.0,6.2,80,17,105,0.25,0.19,0.43,0.25,0.43,0.20,0.18,0.38,0.20,0.38,Matches
42,Daniel Bachmann,at AUT,GK,Watford,30,1994,22,22,1902,21.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Joel Bagan,ie IRL,DF,Cardiff City,24,2000,31,17,1612,17.9,0,1,1,0,0,0,4,1,0.2,0.2,0.5,0.7,13,44,20,0.00,0.06,0.06,0.00,0.06,0.01,0.03,0.04,0.01,0.04,Matches
44,Michael Baidoo,gh GHA,"MF,FW",Plymouth Argyle,25,1999,11,4,452,5.0,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,10,14,25,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,Matches
45,Lewis Baker,eng ENG,MF,Stoke City,29,1995,19,16,1475,16.4,6,2,8,4,2,2,3,0,3.8,2.2,1.9,4.1,19,57,50,0.37,0.12,0.49,0.24,0.37,0.23,0.12,0.35,0.13,0.25,Matches
46,Lewis Baker,eng ENG,"MF,FW",Blackburn,29,1995,13,7,596,6.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.3,7,15,7,0.15,0.00,0.15,0.15,0.15,0.14,0.06,0.20,0.14,0.20,Matches
47,Daniel Ballard,nir NIR,DF,Sunderland,24,1999,20,12,1127,12.5,2,1,3,2,0,0,3,0,1.4,1.4,0.3,1.7,8,51,5,0.16,0.08,0.24,0.16,0.24,0.11,0.03,0.13,0.11,0.13,Matches
48,Patrick Bamford,eng ENG,FW,Leeds United,30,1993,17,0,252,2.8,0,0,0,0,0,0,0,0,2.2,2.2,0.2,2.3,3,7,18,0.00,0.00,0.00,0.00,0.00,0.79,0.06,0.84,0.79,0.84,Matches
49,Raees Bangura-Williams,,"FW,MF",Millwall,,,10,7,608,6.8,0,3,3,0,0,0,2,0,1.1,1.1,0.4,1.5,8,17,26,0.00,0.44,0.44,0.00,0.44,0.16,0.07,0.22,0.16,0.22,Matches
50,Tamer Bani Odeh,jo JOR,"MF,FW",West Brom,20,2003,4,0,53,0.6,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,0,6,6,0.00,1.70,1.70,0.00,1.70,0.24,1.46,1.69,0.24,1.69,Matches
51,Barry Bannan,sct SCO,MF,Sheffield Weds,34,1989,41,40,3461,38.5,4,5,9,4,0,0,7,0,2.6,2.6,6.5,9.1,40,324,61,0.10,0.13,0.23,0.10,0.23,0.07,0.17,0.24,0.07,0.24,Matches
52,Jamal Baptiste,eng ENG,DF,Sheffield Utd,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Shandon Baptiste,gd GRN,MF,Luton Town,26,1998,16,7,717,8.0,1,0,1,1,0,0,2,0,0.9,0.9,1.5,2.4,9,34,16,0.13,0.00,0.13,0.13,0.13,0.11,0.19,0.31,0.11,0.31,Matches
54,Tom Barkhuizen,eng ENG,"FW,MF",Derby County,31,1993,19,2,404,4.5,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.8,13,8,33,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.19,0.15,0.19,Matches
55,Daniel Barlaser,tr TUR,MF,Middlesbrough,27,1997,23,12,1155,12.8,1,1,2,1,0,0,2,0,0.3,0.3,2.4,2.7,11,83,22,0.08,0.08,0.16,0.08,0.16,0.03,0.19,0.21,0.03,0.21,Matches
