Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Max Aarons,ENG,DF,Bournemouth,24.0,2000.0,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8
Joshua Acheampong,ENG,DF,Chelsea,18.0,2006.0,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8
Tyler Adams,USA,MF,Bournemouth,25.0,1999.0,21.8,902,1069,84.4,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,3,1.0,0.8,2.0,18,67,4,1,76
Tosin Adarabioyo,ENG,DF,Chelsea,26.0,1997.0,15.7,1079,1184,91.1,19805,7144,406,425,95.5,603,636,94.8,66,109,60.6,1,0.2,0.2,0.8,1,62,1,0,42
Simon Adingra,CIV,"FW,MF",Brighton,22.0,2002.0,12.2,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2,2.5,2.8,-0.5,16,5,17,6,18
Emmanuel Agbadou,CIV,DF,Wolves,27.0,1997.0,15.7,855,1001,85.4,17344,6203,276,299,92.3,466,501,93.0,107,181,59.1,0,0.2,0.3,-0.2,4,40,1,0,31
Asher Agbinone,ENG,MF,Crystal Palace,18.0,2005.0,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Ola Aina,NGA,DF,Nott'ham Forest,27.0,1996.0,33.3,994,1352,73.5,15371,6297,530,598,88.6,374,502,74.5,57,166,34.3,1,1.4,2.2,-0.4,16,85,23,11,107
Rayan Aït-Nouri,ALG,DF,Wolves,23.0,2001.0,34.5,1449,1721,84.2,19837,5926,897,959,93.5,435,499,87.2,48,118,40.7,7,5.5,4.0,1.5,46,77,30,10,108
Kristoffer Ajer,NOR,DF,Brentford,26.0,1998.0,16.0,504,644,78.3,7868,2831,260,299,87.0,199,248,80.2,27,54,50.0,0,1.2,0.5,-1.2,8,44,7,4,56
Manuel Akanji,SUI,DF,Manchester City,29.0,1995.0,22.4,1632,1744,93.6,27046,7578,776,812,95.6,757,795,95.2,84,113,74.3,0,0.4,1.3,-0.4,9,177,11,2,158
Nathan Aké,NED,DF,Manchester City,29.0,1995.0,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50
Carlos Alcaraz,ARG,MF,Southampton,21.0,2002.0,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6
Carlos Alcaraz,ARG,"FW,MF",Everton,21.0,2002.0,8.5,224,278,80.6,3963,1007,96,112,85.7,95,107,88.8,24,37,64.9,3,1.6,0.7,1.4,13,20,18,3,42
Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,1998.0,26.3,1448,1971,73.5,27901,11363,632,704,89.8,589,771,76.4,203,418,48.6,6,7.3,7.4,-1.3,52,207,65,20,232
Alisson,BRA,GK,Liverpool,31.0,1992.0,27.9,794,959,82.8,17555,11360,229,232,98.7,426,433,98.4,137,289,47.4,0,0.6,0.2,-0.6,1,12,0,0,1
Miguel Almirón,PAR,FW,Newcastle Utd,30.0,1994.0,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6
Olabade Aluko,,DF,Leicester City,,,0.0,3,5,60.0,39,0,2,3,66.7,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Edson Álvarez,MEX,MF,West Ham,26.0,1997.0,19.7,861,1003,85.8,14393,4200,424,475,89.3,361,402,89.8,66,92,71.7,1,0.8,0.9,0.2,12,92,12,3,85
Will Alves,ENG,FW,Leicester City,19.0,2005.0,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Harry Amass,ENG,DF,Manchester Utd,17.0,2007.0,3.8,149,181,82.3,1920,387,97,105,92.4,44,56,78.6,3,11,27.3,0,0.0,0.1,0.0,1,5,0,0,7
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18.0,2006.0,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0
Mathis Amougou,FRA,MF,Chelsea,18.0,2006.0,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
Joachim Andersen,DEN,DF,Crystal Palace,28.0,1996.0,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4
Joachim Andersen,DEN,DF,Fulham,28.0,1996.0,28.7,1654,2000,82.7,36471,14436,456,497,91.8,918,985,93.2,269,487,55.2,0,0.5,0.5,-0.5,4,196,6,3,112
Elliot Anderson,ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,1085,1386,78.3,17458,5922,572,640,89.4,402,496,81.0,77,165,46.7,6,3.3,3.6,2.7,37,121,19,2,143
André,BRA,MF,Wolves,23.0,2001.0,27.5,1247,1342,92.9,19660,5471,646,677,95.4,475,500,95.0,80,98,81.6,0,0.8,0.7,-0.8,18,111,5,0,109
Michail Antonio,JAM,FW,West Ham,34.0,1990.0,9.3,114,188,60.6,2183,424,52,72,72.2,37,62,59.7,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18
Antony,BRA,"DF,MF",Manchester Utd,24.0,2000.0,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6
Julian Araujo,MEX,DF,Bournemouth,22.0,2001.0,5.5,178,225,79.1,3006,890,84,94,89.4,83,96,86.5,10,29,34.5,0,0.1,0.1,-0.1,1,17,3,2,14
Cameron Archer,ENG,FW,Southampton,23.0,2001.0,16.0,205,251,81.7,2612,367,131,151,86.8,54,59,91.5,5,9,55.6,0,0.5,0.7,-0.5,5,7,7,0,14
Alphonse Areola,FRA,GK,West Ham,31.0,1993.0,25.1,688,989,69.6,18224,12284,153,154,99.4,334,350,95.4,198,473,41.9,0,0.0,0.0,0.0,0,11,0,0,1
Joe Aribo,NGA,"MF,DF",Southampton,28.0,1996.0,22.4,929,1046,88.8,13689,2630,514,563,91.3,357,391,91.3,31,45,68.9,0,1.6,1.3,-1.6,16,51,4,1,75
Adam Armstrong,ENG,"FW,MF",Southampton,27.0,1997.0,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,0.8,9,10,8,2,21
Harrison Armstrong,ENG,MF,Everton,17.0,2007.0,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1
