Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Max Aarons,ENG,DF,Bournemouth,24.0,2000.0,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1
Joshua Acheampong,ENG,DF,Chelsea,18.0,2006.0,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
Tyler Adams,USA,MF,Bournemouth,25.0,1999.0,21.8,1069,1025,38,34,2,1,3,4,0,0,0,0,902,6,14
Tosin Adarabioyo,ENG,DF,Chelsea,26.0,1997.0,15.7,1184,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3
Simon Adingra,CIV,"FW,MF",Brighton,22.0,2002.0,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12
Emmanuel Agbadou,CIV,DF,Wolves,27.0,1997.0,15.7,1001,955,43,28,1,11,2,0,0,0,0,0,855,3,5
Asher Agbinone,ENG,MF,Crystal Palace,18.0,2005.0,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
Ola Aina,NGA,DF,Nott'ham Forest,27.0,1996.0,33.3,1352,1071,279,15,0,4,59,264,0,0,0,0,994,2,46
Rayan Aït-Nouri,ALG,DF,Wolves,23.0,2001.0,34.5,1721,1397,320,44,3,4,94,246,30,24,1,0,1449,4,42
Kristoffer Ajer,NOR,DF,Brentford,26.0,1998.0,16.0,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18
Manuel Akanji,SUI,DF,Manchester City,29.0,1995.0,22.4,1744,1707,36,18,4,10,11,10,0,0,0,0,1632,1,6
Nathan Aké,NED,DF,Manchester City,29.0,1995.0,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3
Carlos Alcaraz,ARG,MF,Southampton,21.0,2002.0,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
Carlos Alcaraz,ARG,"FW,MF",Everton,21.0,2002.0,8.5,278,265,12,2,1,2,11,6,3,2,1,0,224,1,10
Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,1998.0,26.3,1971,1651,310,63,12,32,153,192,55,34,12,1,1448,10,36
Alisson,BRA,GK,Liverpool,31.0,1992.0,27.9,959,836,121,41,1,1,0,0,0,0,0,0,794,2,1
Miguel Almirón,PAR,FW,Newcastle Utd,30.0,1994.0,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2
