Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Max Aarons,ENG,DF,Bournemouth,24.0,2000.0,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3
Joshua Acheampong,ENG,DF,Chelsea,18.0,2006.0,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0
Tyler Adams,USA,MF,Bournemouth,25.0,1999.0,21.8,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10
Tosin Adarabioyo,ENG,DF,Chelsea,26.0,1997.0,15.7,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1
Simon Adingra,CIV,"FW,MF",Brighton,22.0,2002.0,12.2,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,50,21,27,39,12,388,136
Emmanuel Agbadou,CIV,DF,Wolves,27.0,1997.0,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2
Asher Agbinone,ENG,MF,Crystal Palace,18.0,2005.0,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
Ola Aina,NGA,DF,Nott'ham Forest,27.0,1996.0,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,823,67
Rayan Aït-Nouri,ALG,DF,Wolves,23.0,2001.0,34.5,2148,96,577,916,685,96,2148,137,63,46.0,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176
Kristoffer Ajer,NOR,DF,Brentford,26.0,1998.0,16.0,795,53,265,368,168,38,795,16,7,43.8,8,50.0,387,2098,1180,27,11,2,15,12,491,44
Manuel Akanji,SUI,DF,Manchester City,29.0,1995.0,22.4,1881,119,559,920,405,19,1881,2,2,100.0,0,0.0,1254,6953,4234,46,64,0,5,5,1483,7
Nathan Aké,NED,DF,Manchester City,29.0,1995.0,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2
Carlos Alcaraz,ARG,MF,Southampton,21.0,2002.0,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1
Carlos Alcaraz,ARG,"FW,MF",Everton,21.0,2002.0,8.5,378,15,63,168,156,19,378,18,9,50.0,7,38.9,211,1331,707,19,21,2,14,13,247,21
Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,1998.0,26.3,2253,88,593,1014,660,44,2253,37,17,45.9,17,45.9,1184,5358,2860,51,36,9,19,15,1436,94
Alisson,BRA,GK,Liverpool,31.0,1992.0,27.9,1010,741,990,20,0,0,1010,1,1,100.0,0,0.0,658,2611,1586,0,0,0,1,0,618,0
