Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,Uriel van Aalst,,FW,Willem II,,,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,40.0,Matches
2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,4,0,0,14,4,2,24,20,18,0,0,0,88,7,5,58.3,Matches
3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,8,0,0,42,32,3,49,37,67,0,1,0,148,18,32,36.0,Matches
4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,1,0,0,2,13,1,4,1,2,1,0,0,19,1,6,14.3,Matches
5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,2,0,0,9,13,1,33,0,4,0,0,0,29,1,12,7.7,Matches
6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,5,0,0,17,14,0,59,10,13,0,0,0,54,8,12,40.0,Matches
7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,3,0,0,29,13,0,2,29,17,0,1,0,67,34,27,55.7,Matches
8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,0,0,0,12,6,0,7,14,20,0,0,0,56,21,15,58.3,Matches
9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,3,0,0,10,12,0,29,10,4,0,1,0,42,12,8,60.0,Matches
10,Isaiah Ahmed,cw CUW,MF,Heerenveen,18,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
11,Makan Aiko,fr FRA,FW,Fortuna Sittard,23,2001,13.1,4,0,0,20,16,8,14,9,3,2,0,0,30,14,40,25.9,Matches
12,Chuba Akpom,eng ENG,FW,Ajax,28,1995,9.2,0,0,0,10,22,4,6,0,7,1,0,0,21,26,16,61.9,Matches
13,Hamdi Akujobi,nl NED,DF,Almere City,24,2000,26.0,5,0,0,28,24,0,44,28,40,0,0,0,104,22,14,61.1,Matches
14,Gerald Alders,nl NED,DF,Twente,19,2005,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100.0,Matches
15,Hussein Ali,iq IRQ,DF,Heerenveen,22,2002,2.4,0,0,0,1,3,0,3,1,6,0,0,0,5,1,4,20.0,Matches
16,Jaydon Amauri Banel,nl NED,FW,Ajax,19,2004,0.7,0,0,0,2,3,0,5,0,0,0,0,0,0,1,0,100.0,Matches
17,Jamal Amofa,nl NED,DF,Go Ahead Eag,25,1998,1.8,1,0,0,2,0,0,0,1,1,0,1,0,6,1,2,33.3,Matches
18,Silas Andersen,dk DEN,MF,Utrecht,20,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
19,Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
20,Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,22,2001,26.8,1,0,0,10,18,7,54,11,18,0,0,0,99,2,11,15.4,Matches
21,Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23,2001,32.0,7,0,0,46,37,0,23,43,54,0,0,0,198,80,61,56.7,Matches
