Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Uriel van Aalst,,FW,Willem II,,,0.3,7,8,87.5,74,36,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1
Patrick van Aanholt,NED,DF,Sparta R'dam,33.0,1990.0,18.4,680,823,82.6,11514,4093,305,353,86.4,302,342,88.3,57,92,62.0,0,1.3,2.2,-1.3,16,59,26,7,86
Paxten Aaronson,USA,"MF,FW",Utrecht,20.0,2003.0,29.9,718,904,79.4,11995,3016,320,361,88.6,319,373,85.5,51,86,59.3,4,2.9,4.0,1.1,34,65,29,2,116
Jayden Addai,NED,"FW,DF",AZ Alkmaar,18.0,2005.0,3.6,89,121,73.6,1226,343,54,69,78.3,30,37,81.1,3,7,42.9,0,0.4,0.8,-0.4,5,4,10,1,15
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,25.0,1999.0,8.6,147,214,68.7,2389,636,82,105,78.1,49,66,74.2,13,31,41.9,0,0.9,0.7,-0.9,7,11,17,8,22
Aske Adelgaard,DEN,DF,Go Ahead Eag,20.0,2003.0,13.6,512,676,75.7,8446,2959,271,307,88.3,188,237,79.3,41,100,41.0,1,1.3,1.3,-0.3,15,32,11,3,39
Shawn Adewoye,BEL,DF,Fortuna Sittard,24.0,2000.0,19.4,712,828,86.0,14127,4091,217,243,89.3,410,437,93.8,78,131,59.5,0,0.1,0.3,-0.1,4,55,2,1,59
Olivier Aertssen,NED,DF,Zwolle,19.0,2004.0,12.4,442,572,77.3,8079,3318,182,212,85.8,211,249,84.7,43,79,54.4,0,0.6,1.1,-0.6,6,50,9,3,47
Amar Ahmed,SWE,"FW,MF",Willem II,20.0,2004.0,7.8,180,255,70.6,2772,843,91,105,86.7,60,87,69.0,14,33,42.4,0,0.9,1.4,-0.9,18,10,8,0,21
Isaiah Ahmed,CUW,MF,Heerenveen,18.0,2005.0,0.1,2,4,50.0,38,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
