Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Max Aarons,ENG,"DF,MF",Valencia,24,2000,1.3,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0
Rodrigo Abajas,ESP,DF,Valencia,21,2003,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0
Nabil Aberdin,FRA,MF,Getafe,21,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0
Abdel Abqar,MAR,DF,Alavés,25,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1
Adrián,ESP,GK,Betis,37,1987,19.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3
Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Lucien Agoume,FRA,MF,Sevilla,22,2002,23.5,70,32,23,37,10,27,39,69.2,12,30,11,19,41,111,42,0
Álvaro Aguado,ESP,MF,Espanyol,28,1996,4.9,5,2,3,2,0,3,9,33.3,6,7,1,6,4,9,5,1
Lorenzo Aguado,ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,19.6,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,91,0
Joseph Aidoo,GHA,DF,Valladolid,28,1995,6.5,5,5,3,2,0,2,3,66.7,1,8,4,4,5,10,26,1
Joseph Aidoo,GHA,DF,Celta Vigo,28,1995,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,20,2004,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0
Adams Akor,NGA,FW,Sevilla,24,2000,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
David Alaba,AUT,DF,Real Madrid,32,1992,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0
Ibrahim Alani,NGA,MF,Valladolid,18,2006,1.8,12,7,8,4,0,4,6,66.7,2,3,1,2,1,13,1,0
Raúl Albiol,ESP,DF,Villarreal,38,1985,13.2,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1
Omar Alderete,PAR,DF,Getafe,27,1996,33.0,43,29,30,11,2,20,30,66.7,10,38,22,16,40,83,241,1
Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0
Carles Aleñá,ESP,"MF,FW",Alavés,26,1998,12.1,19,12,6,7,6,7,17,41.2,10,11,0,11,2,21,4,0
Alfon,ESP,"FW,MF",Celta Vigo,25,1999,15.2,8,3,3,2,3,4,12,33.3,8,8,0,8,5,13,5,1
Tadeo Allende,ARG,FW,Celta Vigo,25,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,24,2000,22.0,48,32,18,21,9,14,39,35.9,25,21,3,18,8,56,14,1
Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Marcos Alonso,ESP,DF,Celta Vigo,33,1990,29.4,35,21,19,13,3,25,44,56.8,19,22,7,15,34,69,126,4
Adrià Altimira,ESP,"DF,FW",Leganés,23,2001,18.1,41,24,26,12,3,24,40,60.0,16,15,6,9,15,56,54,2
Sergi Altimira,ESP,MF,Betis,22,2001,21.9,61,37,17,38,6,36,60,60.0,24,28,1,27,24,85,43,3
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,17.5,26,9,12,10,4,10,19,52.6,9,19,2,17,8,34,29,1
Julián Álvarez,ARG,FW,Atlético Madrid,24,2000,27.9,25,17,5,11,9,8,30,26.7,22,14,0,14,2,27,12,1
Yeray Álvarez,ESP,DF,Athletic Club,29,1995,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1
Selim Amallah,MAR,MF,Valladolid,27,1996,15.3,30,18,10,18,2,10,18,55.6,8,24,2,22,14,44,5,1
Amath,SEN,"FW,DF",Valladolid,28,1996,4.2,2,0,2,0,0,1,8,12.5,7,7,1,6,2,4,6,0
Marcos André,BRA,FW,Valladolid,27,1996,13.2,10,6,3,5,2,5,13,38.5,8,18,2,16,3,13,10,0
Leandro Antonetti,PUR,FW,Sevilla,21,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Antoniu,ESP,"FW,MF",Espanyol,21,2002,11.4,21,10,9,8,4,9,21,42.9,12,14,2,12,8,29,11,1
Antony,BRA,FW,Betis,24,2000,15.1,25,11,6,9,10,8,22,36.4,14,12,1,11,10,35,9,1
Anuar,MAR,"MF,FW",Valladolid,29,1995,19.1,38,27,21,12,5,15,28,53.6,13,24,8,16,18,56,26,1
Aritz Arambarri,ESP,DF,Leganés,26,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0
Mauro Arambarri,URU,MF,Getafe,28,1995,29.6,48,29,10,33,5,22,48,45.8,26,35,6,29,15,63,46,0
Jon Aramburu,VEN,DF,Real Sociedad,22,2002,27.3,102,70,61,30,11,66,100,66.0,34,40,8,32,30,132,98,0
Ronald Araújo,URU,DF,Barcelona,25,1999,8.4,12,9,6,5,1,4,5,80.0,1,6,4,2,9,21,25,0
Adu Ares,ESP,FW,Athletic Club,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,25,1999,34.2,53,38,31,14,8,39,56,69.6,17,26,4,22,8,61,92,0
David Argüelles,ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
José Arnaiz,ESP,"FW,MF",Osasuna,29,1995,1.5,7,5,3,3,1,4,7,57.1,3,2,0,2,5,12,1,0
Sergio Arribas,ESP,DF,Betis,21,2003,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0
Takuma Asano,JPN,"FW,MF",Mallorca,29,1994,11.7,13,9,5,7,1,6,11,54.5,5,7,0,7,6,19,9,0
Raúl Asencio,ESP,DF,Real Madrid,21,2003,18.6,22,16,18,4,0,10,13,76.9,3,11,6,5,16,38,88,2
Iago Aspas,ESP,"FW,MF",Celta Vigo,36,1987,19.4,13,8,4,5,4,8,20,40.0,12,18,1,17,8,21,5,0
Yaser Asprilla,COL,"FW,MF",Girona,20,2003,15.6,22,12,6,8,8,8,23,34.8,15,14,0,14,7,29,7,1
Ezequiel Ávila,ARG,FW,Betis,30,1994,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0
Adam Aznou,MAR,DF,Valladolid,18,2006,9.7,28,21,20,8,0,21,43,48.8,22,24,8,16,10,38,30,0
César Azpilicueta,ESP,DF,Atlético Madrid,34,1989,9.7,25,14,12,9,4,17,23,73.9,6,10,2,8,5,30,32,0
Papa Ba,ESP,MF,Girona,19,2004,0.5,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0
Loïc Bade,FRA,DF,Sevilla,24,2000,29.8,47,27,37,10,0,23,31,74.2,8,22,13,9,29,76,162,2
Alex Baena,ESP,"MF,FW",Villarreal,23,2001,28.8,28,15,6,14,8,10,39,25.6,29,29,2,27,22,50,22,2
