Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Max Aarons,ENG,"DF,MF",Valencia,24,2000,1.3,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7
Rodrigo Abajas,ESP,DF,Valencia,21,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
Nabil Aberdin,FRA,MF,Getafe,21,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9
Abdel Abqar,MAR,DF,Alavés,25,1999,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3
Adrián,ESP,GK,Betis,37,1987,19.0,3,0,0,0,4,0,0,0,0,0,0,0,20,2,1,66.7
Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0
Lucien Agoume,FRA,MF,Sevilla,22,2002,23.5,5,1,0,49,6,2,18,41,32,0,1,0,136,42,40,51.2
Álvaro Aguado,ESP,MF,Espanyol,28,1996,4.9,3,0,0,5,8,0,12,4,2,0,0,0,37,3,2,60.0
Lorenzo Aguado,ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,19.6,5,0,0,11,19,0,2,13,24,0,1,0,73,61,32,65.6
Joseph Aidoo,GHA,DF,Valladolid,28,1995,6.5,0,0,0,4,2,0,0,5,5,0,0,0,25,9,8,52.9
Joseph Aidoo,GHA,DF,Celta Vigo,28,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ilias Akhomach,MAR,"MF,FW",Villarreal,20,2004,6.5,1,0,0,9,21,1,18,3,7,0,0,0,30,6,6,50.0
Adams Akor,NGA,FW,Sevilla,24,2000,1.5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5
David Alaba,AUT,DF,Real Madrid,32,1992,3.5,1,0,0,2,0,0,3,6,0,0,0,0,8,4,1,80.0
Ibrahim Alani,NGA,MF,Valladolid,18,2006,1.8,0,0,0,2,5,0,0,1,7,0,0,0,13,3,1,75.0
Raúl Albiol,ESP,DF,Villarreal,38,1985,13.2,5,0,0,11,6,0,0,6,9,0,2,1,44,29,14,67.4
Omar Alderete,PAR,DF,Getafe,27,1996,33.0,8,0,0,33,12,8,6,40,29,1,4,0,115,101,51,66.4
Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,5.0,1,0,0,8,11,2,6,0,3,0,0,0,12,10,9,52.6
Carles Aleñá,ESP,"MF,FW",Alavés,26,1998,12.1,1,0,0,11,24,0,31,2,12,0,0,0,47,9,6,60.0
Alfon,ESP,"FW,MF",Celta Vigo,25,1999,15.2,1,1,0,15,31,6,40,5,3,1,0,0,37,3,14,17.6
Tadeo Allende,ARG,FW,Celta Vigo,25,1999,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,24,2000,22.0,2,0,0,28,38,2,67,8,32,0,0,0,89,5,15,25.0
Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,
Marcos Alonso,ESP,DF,Celta Vigo,33,1990,29.4,10,2,1,31,28,2,42,34,21,0,1,0,176,70,42,62.5
Adrià Altimira,ESP,"DF,FW",Leganés,23,2001,18.1,6,0,0,27,28,3,28,15,24,0,1,0,71,12,19,38.7
Sergi Altimira,ESP,MF,Betis,22,2001,21.9,4,0,0,35,33,0,5,24,37,1,0,0,117,11,22,33.3
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,17.5,6,0,0,25,16,3,31,8,9,0,1,0,78,6,12,33.3
Julián Álvarez,ARG,FW,Atlético Madrid,24,2000,27.9,5,0,0,26,9,9,69,2,17,0,0,0,75,13,31,29.5
Yeray Álvarez,ESP,DF,Athletic Club,29,1995,19.8,4,0,0,15,15,0,3,34,13,0,0,0,83,49,42,53.8
Selim Amallah,MAR,MF,Valladolid,27,1996,15.3,6,0,0,32,28,1,31,14,18,0,0,0,73,5,16,23.8
Amath,SEN,"FW,DF",Valladolid,28,1996,4.2,1,0,0,4,7,2,7,2,0,0,0,0,13,1,6,14.3
Marcos André,BRA,FW,Valladolid,27,1996,13.2,5,0,0,12,28,5,1,3,6,0,0,0,44,47,44,51.6
Leandro Antonetti,PUR,FW,Sevilla,21,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Antoniu,ESP,"FW,MF",Espanyol,21,2002,11.4,3,0,0,19,23,4,20,8,10,0,0,0,39,6,18,25.0
Antony,BRA,FW,Betis,24,2000,15.1,2,1,0,15,27,1,40,10,11,1,0,0,73,5,14,26.3
Anuar,MAR,"MF,FW",Valladolid,29,1995,19.1,7,0,0,30,48,10,22,18,27,1,0,0,71,23,35,39.7
Aritz Arambarri,ESP,DF,Leganés,26,1998,2.0,0,0,0,0,0,0,0,3,1,0,0,0,4,6,8,42.9
Mauro Arambarri,URU,MF,Getafe,28,1995,29.6,10,0,0,51,52,3,14,15,29,0,0,0,137,59,54,52.2
Jon Aramburu,VEN,DF,Real Sociedad,22,2002,27.3,8,0,0,50,42,3,45,30,70,0,1,0,127,40,33,54.8
Ronald Araújo,URU,DF,Barcelona,25,1999,8.4,3,0,0,9,4,0,0,9,9,0,0,0,27,33,20,62.3
Adu Ares,ESP,FW,Athletic Club,22,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Jesús Areso,ESP,DF,Osasuna,25,1999,34.2,9,0,0,31,20,8,169,8,38,0,0,0,118,27,19,58.7
David Argüelles,ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
José Arnaiz,ESP,"FW,MF",Osasuna,29,1995,1.5,0,0,0,0,5,4,18,5,5,0,0,0,16,1,3,25.0
Sergio Arribas,ESP,DF,Betis,21,2003,1.0,0,0,0,0,0,0,0,3,4,0,0,0,3,1,0,100.0
Takuma Asano,JPN,"FW,MF",Mallorca,29,1994,11.7,0,0,0,5,15,6,20,6,9,0,0,0,42,5,26,16.1
Raúl Asencio,ESP,DF,Real Madrid,21,2003,18.6,3,0,0,12,19,1,0,16,16,0,0,0,75,30,15,66.7
Iago Aspas,ESP,"FW,MF",Celta Vigo,36,1987,19.4,6,1,1,16,34,5,15,8,8,1,0,0,55,7,8,46.7
