Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Max Aarons,ENG,"DF,MF",Valencia,24,2000,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Rodrigo Abajas,ESP,DF,Valencia,21,2003,0.7,0,1,0,0.0,1.38,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Nabil Aberdin,FRA,MF,Getafe,21,2002,2.9,0,2,0,0.0,0.68,0.0,0.0,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Abdel Abqar,MAR,DF,Alavés,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9
Adrián,ESP,GK,Betis,37,1987,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,22,2002,23.5,1,10,2,20.0,0.43,0.09,0.1,0.5,15.0,0,0,0,0.9,0.9,0.09,0.1,0.1
Álvaro Aguado,ESP,MF,Espanyol,28,1996,4.9,0,10,1,10.0,2.03,0.2,0.0,0.0,23.0,1,0,0,0.6,0.6,0.06,-0.6,-0.6
Lorenzo Aguado,ESP,DF,Real Madrid,21,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,19.6,0,15,5,33.3,0.77,0.26,0.0,0.0,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4
Joseph Aidoo,GHA,DF,Valladolid,28,1995,6.5,0,1,0,0.0,0.15,0.0,0.0,,10.3,0,0,0,0.0,0.0,0.04,0.0,0.0
Joseph Aidoo,GHA,DF,Celta Vigo,28,1995,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,20,2004,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,0,0,0.6,0.6,0.03,0.4,0.4
Adams Akor,NGA,FW,Sevilla,24,2000,1.5,0,2,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4
David Alaba,AUT,DF,Real Madrid,32,1992,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ibrahim Alani,NGA,MF,Valladolid,18,2006,1.8,0,1,0,0.0,0.56,0.0,0.0,,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Raúl Albiol,ESP,DF,Villarreal,38,1985,13.2,0,2,0,0.0,0.15,0.0,0.0,,9.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Omar Alderete,PAR,DF,Getafe,27,1996,33.0,1,38,10,26.3,1.15,0.3,0.03,0.1,21.9,7,0,0,1.7,1.7,0.04,-0.7,-0.7
Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,5.0,0,5,1,20.0,1.0,0.2,0.0,0.0,13.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9
Carles Aleñá,ESP,"MF,FW",Alavés,26,1998,12.1,0,15,4,26.7,1.24,0.33,0.0,0.0,19.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Alfon,ESP,"FW,MF",Celta Vigo,25,1999,15.2,5,46,19,41.3,3.02,1.25,0.11,0.26,17.3,0,0,0,4.6,4.6,0.1,0.4,0.4
Tadeo Allende,ARG,FW,Celta Vigo,25,1999,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,24,2000,22.0,0,18,5,27.8,0.82,0.23,0.0,0.0,24.1,2,0,0,1.2,1.2,0.07,-1.2,-1.2
Iker Almena,ESP,"FW,DF",Girona,20,2004,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
Marcos Alonso,ESP,DF,Celta Vigo,33,1990,29.4,3,31,10,32.3,1.05,0.34,0.0,0.0,20.3,7,3,3,4.0,1.6,0.05,-1.0,-1.6
Adrià Altimira,ESP,"DF,FW",Leganés,23,2001,18.1,0,7,2,28.6,0.39,0.11,0.0,0.0,24.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Sergi Altimira,ESP,MF,Betis,22,2001,21.9,0,21,4,19.0,0.96,0.18,0.0,0.0,21.2,0,0,0,1.7,1.6,0.08,-1.7,-1.6
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,17.5,4,25,9,36.0,1.43,0.52,0.16,0.44,16.2,1,0,0,2.5,2.5,0.1,1.5,1.5
Julián Álvarez,ARG,FW,Atlético Madrid,24,2000,27.9,17,70,36,51.4,2.51,1.29,0.19,0.36,18.3,5,4,4,14.1,11.0,0.16,2.9,2.0
Yeray Álvarez,ESP,DF,Athletic Club,29,1995,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,15.5,0,0,0,0.5,0.5,0.05,0.5,0.5
Selim Amallah,MAR,MF,Valladolid,27,1996,15.3,3,21,7,33.3,1.37,0.46,0.1,0.29,22.9,1,1,1,3.5,2.7,0.13,-0.5,-0.7
Amath,SEN,"FW,DF",Valladolid,28,1996,4.2,0,5,1,20.0,1.2,0.24,0.0,0.0,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Marcos André,BRA,FW,Valladolid,27,1996,13.2,1,22,2,9.1,1.67,0.15,0.05,0.5,14.0,0,0,0,2.7,2.7,0.12,-1.7,-1.7
Leandro Antonetti,PUR,FW,Sevilla,21,2003,0.3,0,1,1,100.0,3.21,3.21,0.0,0.0,26.9,0,0,0,0.1,0.1,0.14,-0.1,-0.1
Antoniu,ESP,"FW,MF",Espanyol,21,2002,11.4,0,10,4,40.0,0.88,0.35,0.0,0.0,19.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Antony,BRA,FW,Betis,24,2000,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,19.9,1,0,0,2.9,2.9,0.07,2.1,2.1
Anuar,MAR,"MF,FW",Valladolid,29,1995,19.1,2,11,5,45.5,0.58,0.26,0.18,0.4,12.8,0,0,0,1.7,1.7,0.15,0.3,0.3
Aritz Arambarri,ESP,DF,Leganés,26,1998,2.0,0,1,0,0.0,0.51,0.0,0.0,,15.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Mauro Arambarri,URU,MF,Getafe,28,1995,29.6,10,53,16,30.2,1.79,0.54,0.13,0.44,18.2,1,3,3,8.2,5.8,0.11,1.8,1.2
Jon Aramburu,VEN,DF,Real Sociedad,22,2002,27.3,1,11,3,27.3,0.4,0.11,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,0.6,0.6
Ronald Araújo,URU,DF,Barcelona,25,1999,8.4,1,4,2,50.0,0.48,0.24,0.25,0.5,11.8,0,0,0,1.0,1.0,0.24,0.0,0.0
Adu Ares,ESP,FW,Athletic Club,22,2001,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jesús Areso,ESP,DF,Osasuna,25,1999,34.2,0,8,0,0.0,0.23,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
David Argüelles,ESP,MF,Getafe,22,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
José Arnaiz,ESP,"FW,MF",Osasuna,29,1995,1.5,0,6,3,50.0,4.06,2.03,0.0,0.0,23.1,2,0,0,0.3,0.3,0.05,-0.3,-0.3
Sergio Arribas,ESP,DF,Betis,21,2003,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Takuma Asano,JPN,"FW,MF",Mallorca,29,1994,11.7,2,28,8,28.6,2.39,0.68,0.07,0.25,13.6,0,0,0,2.7,2.7,0.1,-0.7,-0.7
Raúl Asencio,ESP,DF,Real Madrid,21,2003,18.6,0,3,1,33.3,0.16,0.05,0.0,0.0,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Iago Aspas,ESP,"FW,MF",Celta Vigo,36,1987,19.4,10,46,18,39.1,2.37,0.93,0.11,0.28,21.3,3,5,6,8.7,4.0,0.09,1.3,1.0
Yaser Asprilla,COL,"FW,MF",Girona,20,2003,15.6,3,38,11,28.9,2.43,0.7,0.08,0.27,22.9,2,0,0,2.1,2.1,0.05,0.9,0.9
Ezequiel Ávila,ARG,FW,Betis,30,1994,7.5,2,20,10,50.0,2.66,1.33,0.1,0.2,17.9,0,0,0,1.5,1.5,0.08,0.5,0.5
Adam Aznou,MAR,DF,Valladolid,18,2006,9.7,0,4,1,25.0,0.41,0.1,0.0,0.0,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
César Azpilicueta,ESP,DF,Atlético Madrid,34,1989,9.7,1,5,2,40.0,0.51,0.21,0.2,0.5,17.8,0,0,0,0.2,0.2,0.05,0.8,0.8
Papa Ba,ESP,MF,Girona,19,2004,0.5,0,1,0,0.0,1.87,0.0,0.0,,9.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Loïc Bade,FRA,DF,Sevilla,24,2000,29.8,1,13,4,30.8,0.44,0.13,0.08,0.25,15.0,0,0,0,0.6,0.6,0.05,0.4,0.4
Alex Baena,ESP,"MF,FW",Villarreal,23,2001,28.8,7,69,17,24.6,2.39,0.59,0.1,0.41,21.0,8,0,1,7.1,6.3,0.09,-0.1,0.7
Eric Bailly,CIV,DF,Villarreal,30,1994,6.9,0,4,0,0.0,0.58,0.0,0.0,,7.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Stefan Bajcetic,ESP,"MF,DF",Las Palmas,19,2004,10.8,1,5,2,40.0,0.46,0.19,0.2,0.5,23.1,0,0,0,0.3,0.3,0.05,0.7,0.7
Cédric Bakambu,COD,FW,Betis,33,1991,7.9,2,24,11,45.8,3.04,1.39,0.08,0.18,13.7,0,0,0,3.2,3.2,0.13,-1.2,-1.2
Alejandro Balde,ESP,DF,Barcelona,20,2003,25.4,0,12,3,25.0,0.47,0.12,0.0,0.0,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,13.3,0,1,0,0.0,0.07,0.0,0.0,,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0
Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,9.0,0,13,6,46.2,1.44,0.67,0.0,0.0,18.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Adrian Baquerin,ESP,FW,Valladolid,17,2007,0.5,0,3,0,0.0,5.51,0.0,0.0,,11.0,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Valentín Barco,ARG,"DF,FW",Sevilla,20,2004,3.2,0,7,0,0.0,2.19,0.0,0.0,,27.8,2,0,0,0.3,0.3,0.04,-0.3,-0.3
Borna Barišić,CRO,DF,Leganés,31,1992,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kike Barja,ESP,"FW,MF",Osasuna,27,1997,3.5,0,4,1,25.0,1.14,0.29,0.0,0.0,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Enzo Barrenechea,ARG,MF,Valencia,23,2001,24.3,1,16,3,18.8,0.66,0.12,0.06,0.33,18.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,14.0,1,25,8,32.0,1.78,0.57,0.04,0.13,16.2,0,0,0,1.6,1.6,0.07,-0.6,-0.6
Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,25.9,1,29,8,27.6,1.12,0.31,0.03,0.13,23.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3
Thierno Barry,FRA,FW,Villarreal,21,2002,25.8,11,71,24,33.8,2.75,0.93,0.14,0.42,12.0,0,1,1,12.5,11.7,0.17,-1.5,-1.7
Marc Bartra,ESP,DF,Betis,33,1991,23.3,2,18,5,27.8,0.77,0.21,0.11,0.4,20.8,1,0,0,1.2,1.2,0.07,0.8,0.8
Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Rafael Bauza,ESP,MF,Espanyol,19,2005,2.0,0,3,0,0.0,1.48,0.0,0.0,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,11.1,2,22,13,59.1,1.99,1.18,0.09,0.15,19.1,0,0,0,2.0,2.0,0.09,0.0,0.0
Donny van de Beek,NED,MF,Girona,27,1997,15.8,2,18,5,27.8,1.14,0.32,0.11,0.4,14.7,0,0,0,1.5,1.5,0.08,0.5,0.5
Luken Beitia,ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ismael Bekhoucha,MAR,"MF,DF",Getafe,19,2004,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Héctor Bellerín,ESP,DF,Betis,29,1995,6.4,0,1,1,100.0,0.16,0.16,0.0,0.0,14.6,0,0,0,0.2,0.2,0.2,-0.2,-0.2
