Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Max Aarons,ENG,"DF,MF",Valencia,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Rodrigo Abajas,ESP,DF,Valencia,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Nabil Aberdin,FRA,MF,Getafe,21,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Abdel Abqar,MAR,DF,Alavés,25,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04
Adrián,ESP,GK,Betis,37,1987,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,22,2002,35,24,2114,23.5,1,3,4,1,0,0,5,1,0.9,0.9,2.5,3.3,29,135,23,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14
Álvaro Aguado,ESP,MF,Espanyol,28,1996,16,4,443,4.9,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.2,15,37,4,0.0,0.2,0.2,0.0,0.2,0.12,0.12,0.24,0.12,0.24
Lorenzo Aguado,ESP,DF,Real Madrid,21,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,MAR,DF,Real Sociedad,28,1996,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,75,1,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.13,0.12,0.13
Joseph Aidoo,GHA,DF,Valladolid,28,1995,8,6,583,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,14,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Joseph Aidoo,GHA,DF,Celta Vigo,28,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,20,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23
Adams Akor,NGA,FW,Sevilla,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29
David Alaba,AUT,DF,Real Madrid,32,1992,7,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Ibrahim Alani,NGA,MF,Valladolid,18,2006,3,1,160,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Raúl Albiol,ESP,DF,Villarreal,38,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Omar Alderete,PAR,DF,Getafe,27,1996,34,34,2971,33.0,1,0,1,1,0,0,8,0,1.7,1.7,0.9,2.6,25,112,7,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08
Carles Aleñá,ESP,"MF,FW",Getafe,26,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2
Carles Aleñá,ESP,"MF,FW",Alavés,26,1998,14,13,1090,12.1,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,18,58,43,0.0,0.17,0.17,0.0,0.17,0.06,0.11,0.17,0.06,0.17
Alfon,ESP,"FW,MF",Celta Vigo,25,1999,26,14,1371,15.2,5,2,7,5,0,0,1,1,4.6,4.6,2.6,7.2,89,22,170,0.33,0.13,0.46,0.33,0.46,0.3,0.17,0.47,0.3,0.47
Tadeo Allende,ARG,FW,Celta Vigo,25,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,24,2000,34,24,1977,22.0,0,4,4,0,0,0,2,0,1.2,1.2,3.2,4.4,45,142,77,0.0,0.18,0.18,0.0,0.18,0.05,0.14,0.2,0.05,0.2
Iker Almena,ESP,"FW,DF",Girona,20,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.0,1.87,1.87,0.0,1.87,0.06,1.27,1.33,0.06,1.33
Marcos Alonso,ESP,DF,Celta Vigo,33,1990,31,29,2647,29.4,3,0,3,0,3,3,10,2,4.0,1.6,1.3,2.9,64,215,49,0.1,0.0,0.1,0.0,0.0,0.14,0.04,0.18,0.05,0.1
Adrià Altimira,ESP,"DF,FW",Leganés,23,2001,22,19,1630,18.1,0,0,0,0,0,0,6,0,0.3,0.3,0.5,0.8,23,42,69,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04
Sergi Altimira,ESP,MF,Betis,22,2001,32,22,1972,21.9,0,1,1,0,0,0,4,0,1.7,1.6,1.7,3.3,25,99,30,0.0,0.05,0.05,0.0,0.05,0.08,0.08,0.16,0.07,0.15
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,21,2003,26,16,1572,17.5,4,3,7,4,0,0,6,0,2.5,2.5,1.1,3.6,74,60,171,0.23,0.17,0.4,0.23,0.4,0.14,0.07,0.21,0.14,0.21
Julián Álvarez,ARG,FW,Atlético Madrid,24,2000,37,30,2509,27.9,17,4,21,13,4,4,5,0,14.1,11.0,5.3,16.3,79,92,162,0.61,0.14,0.75,0.47,0.61,0.51,0.19,0.7,0.39,0.59
Yeray Álvarez,ESP,DF,Athletic Club,29,1995,21,20,1781,19.8,1,0,1,1,0,0,4,0,0.5,0.5,0.2,0.7,19,105,0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.04,0.02,0.04
Selim Amallah,MAR,MF,Valladolid,27,1996,24,18,1376,15.3,3,1,4,2,1,1,6,0,3.5,2.7,1.1,3.8,24,57,27,0.2,0.07,0.26,0.13,0.2,0.23,0.07,0.3,0.18,0.25
Amath,SEN,"FW,DF",Valladolid,28,1996,13,5,375,4.2,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,10,12,29,0.0,0.24,0.24,0.0,0.24,0.09,0.13,0.21,0.09,0.21
Marcos André,BRA,FW,Valladolid,27,1996,22,14,1188,13.2,1,2,3,1,0,0,5,0,2.7,2.7,0.8,3.5,11,16,39,0.08,0.15,0.23,0.08,0.23,0.2,0.06,0.27,0.2,0.27
Leandro Antonetti,PUR,FW,Sevilla,21,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.45,0.09,0.54,0.45,0.54
Antoniu,ESP,"FW,MF",Espanyol,21,2002,26,13,1022,11.4,0,1,1,0,0,0,3,0,0.9,0.9,1.1,1.9,35,28,63,0.0,0.09,0.09,0.0,0.09,0.08,0.1,0.17,0.08,0.17
Antony,BRA,FW,Betis,24,2000,17,15,1362,15.1,5,2,7,5,0,0,2,1,2.9,2.9,3.5,6.3,94,67,157,0.33,0.13,0.46,0.33,0.46,0.19,0.23,0.42,0.19,0.42
Anuar,MAR,"MF,FW",Valladolid,29,1995,26,21,1720,19.1,2,0,2,2,0,0,7,0,1.7,1.7,1.2,2.9,24,30,68,0.1,0.0,0.1,0.1,0.1,0.09,0.06,0.15,0.09,0.15
Aritz Arambarri,ESP,DF,Leganés,26,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Mauro Arambarri,URU,MF,Getafe,28,1995,35,31,2661,29.6,10,0,10,7,3,3,10,0,8.2,5.8,0.6,6.5,17,75,55,0.34,0.0,0.34,0.24,0.24,0.28,0.02,0.3,0.2,0.22
Jon Aramburu,VEN,DF,Real Sociedad,22,2002,35,28,2460,27.3,1,1,2,1,0,0,8,0,0.4,0.4,1.1,1.6,26,97,53,0.04,0.04,0.07,0.04,0.07,0.02,0.04,0.06,0.02,0.06
Ronald Araújo,URU,DF,Barcelona,25,1999,12,11,754,8.4,1,1,2,1,0,0,3,0,1.0,1.0,0.4,1.4,6,49,3,0.12,0.12,0.24,0.12,0.24,0.11,0.05,0.17,0.11,0.17
Adu Ares,ESP,FW,Athletic Club,22,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Areso,ESP,DF,Osasuna,25,1999,36,35,3079,34.2,0,3,3,0,0,0,9,0,0.2,0.2,3.5,3.7,101,106,203,0.0,0.09,0.09,0.0,0.09,0.01,0.1,0.11,0.01,0.11
David Argüelles,ESP,MF,Getafe,22,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Arnaiz,ESP,"FW,MF",Osasuna,29,1995,15,1,133,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,6,4,20,0.0,0.0,0.0,0.0,0.0,0.22,0.1,0.32,0.22,0.32
Sergio Arribas,ESP,DF,Betis,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takuma Asano,JPN,"FW,MF",Mallorca,29,1994,21,13,1054,11.7,2,1,3,2,0,0,0,0,2.7,2.7,0.7,3.4,28,20,76,0.17,0.09,0.26,0.17,0.26,0.23,0.06,0.29,0.23,0.29
Raúl Asencio,ESP,DF,Real Madrid,21,2003,23,18,1670,18.6,0,1,1,0,0,0,3,0,0.1,0.1,0.6,0.7,5,27,4,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.04,0.01,0.04
Iago Aspas,ESP,"FW,MF",Celta Vigo,36,1987,30,19,1745,19.4,10,5,15,5,5,6,6,1,8.7,4.0,4.6,8.6,50,132,143,0.52,0.26,0.77,0.26,0.52,0.45,0.24,0.69,0.21,0.44
Yaser Asprilla,COL,"FW,MF",Girona,20,2003,27,15,1405,15.6,3,1,4,3,0,0,2,0,2.1,2.1,2.8,4.9,72,77,140,0.19,0.06,0.26,0.19,0.26,0.13,0.18,0.31,0.13,0.31
Ezequiel Ávila,ARG,FW,Betis,30,1994,19,6,677,7.5,2,0,2,2,0,0,5,1,1.5,1.5,1.0,2.5,12,18,48,0.27,0.0,0.27,0.27,0.27,0.2,0.14,0.34,0.2,0.34
Adam Aznou,MAR,DF,Valladolid,18,2006,13,10,876,9.7,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,16,25,26,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
César Azpilicueta,ESP,DF,Atlético Madrid,34,1989,14,10,875,9.7,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,13,66,20,0.1,0.0,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03
Papa Ba,ESP,MF,Girona,19,2004,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Loïc Bade,FRA,DF,Sevilla,24,2000,32,31,2686,29.8,1,1,2,1,0,0,7,1,0.6,0.6,0.7,1.3,11,62,6,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04
Alex Baena,ESP,"MF,FW",Villarreal,23,2001,32,30,2595,28.8,7,9,16,7,0,1,9,0,7.1,6.3,11.7,18.1,91,189,154,0.24,0.31,0.55,0.24,0.55,0.25,0.41,0.65,0.22,0.63
Eric Bailly,CIV,DF,Villarreal,30,1994,12,8,617,6.9,0,0,0,0,0,0,2,1,0.3,0.3,0.0,0.3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Stefan Bajcetic,ESP,"MF,DF",Las Palmas,19,2004,14,12,969,10.8,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,8,39,9,0.09,0.0,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
Cédric Bakambu,COD,FW,Betis,33,1991,25,6,710,7.9,2,2,4,2,0,0,4,0,3.2,3.2,0.6,3.7,9,14,43,0.25,0.25,0.51,0.25,0.51,0.4,0.07,0.47,0.4,0.47
Alejandro Balde,ESP,DF,Barcelona,20,2003,32,26,2284,25.4,0,4,4,0,0,0,2,0,0.5,0.5,3.4,3.9,107,93,246,0.0,0.16,0.16,0.0,0.16,0.02,0.13,0.15,0.02,0.15
Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,25,12,1200,13.3,0,0,0,0,0,0,3,0,0.0,0.0,0.5,0.5,8,46,21,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,12,10,811,9.0,0,1,1,0,0,0,1,0,0.8,0.8,1.8,2.6,31,30,71,0.0,0.11,0.11,0.0,0.11,0.09,0.2,0.29,0.09,0.29
Adrian Baquerin,ESP,FW,Valladolid,17,2007,5,0,49,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71
Valentín Barco,ARG,"DF,FW",Sevilla,20,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,4,13,13,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.28,0.09,0.28
Borna Barišić,CRO,DF,Leganés,31,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kike Barja,ESP,"FW,MF",Osasuna,27,1997,15,3,315,3.5,0,1,1,0,0,0,3,0,0.2,0.2,1.2,1.4,22,4,39,0.0,0.29,0.29,0.0,0.29,0.05,0.34,0.39,0.05,0.39
Enzo Barrenechea,ARG,MF,Valencia,23,2001,30,26,2191,24.3,1,2,3,1,0,0,6,0,1.3,1.3,0.9,2.3,21,126,16,0.04,0.08,0.12,0.04,0.12,0.05,0.04,0.09,0.05,0.09
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,30,14,1263,14.0,1,3,4,1,0,0,6,0,1.6,1.6,1.9,3.6,43,48,152,0.07,0.21,0.29,0.07,0.29,0.12,0.14,0.26,0.12,0.26
Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,31,28,2330,25.9,1,4,5,1,0,0,4,1,1.3,1.3,2.4,3.7,29,142,69,0.04,0.15,0.19,0.04,0.19,0.05,0.09,0.14,0.05,0.14
Thierno Barry,FRA,FW,Villarreal,21,2002,35,25,2323,25.8,11,4,15,10,1,1,4,0,12.5,11.7,2.9,14.6,44,27,124,0.43,0.15,0.58,0.39,0.54,0.48,0.11,0.6,0.45,0.57
Marc Bartra,ESP,DF,Betis,33,1991,25,23,2099,23.3,2,1,3,2,0,0,2,0,1.2,1.2,0.2,1.4,7,68,1,0.09,0.04,0.13,0.09,0.13,0.05,0.01,0.06,0.05,0.06
Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,32,32,2880,32.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Bauza,ESP,MF,Espanyol,19,2005,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,22,11,995,11.1,2,1,3,2,0,0,1,1,2.0,2.0,2.0,4.0,51,23,110,0.18,0.09,0.27,0.18,0.27,0.18,0.18,0.36,0.18,0.36
Donny van de Beek,NED,MF,Girona,27,1997,26,16,1421,15.8,2,2,4,2,0,0,5,0,1.5,1.5,3.2,4.7,17,45,85,0.13,0.13,0.25,0.13,0.25,0.1,0.21,0.3,0.09,0.3
Luken Beitia,ESP,DF,Real Sociedad,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismael Bekhoucha,MAR,"MF,DF",Getafe,19,2004,5,0,69,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Héctor Bellerín,ESP,DF,Betis,29,1995,9,6,580,6.4,0,2,2,0,0,0,1,0,0.2,0.2,2.0,2.2,3,24,22,0.0,0.31,0.31,0.0,0.31,0.03,0.32,0.35,0.03,0.35
Jude Bellingham,ENG,MF,Real Madrid,21,2003,31,29,2488,27.6,9,8,17,8,1,2,5,1,11.4,9.9,3.9,13.7,74,199,143,0.33,0.29,0.61,0.29,0.58,0.41,0.14,0.55,0.36,0.5
Fran Beltrán,ESP,MF,Celta Vigo,25,1999,34,29,2421,26.9,2,1,3,2,0,0,3,0,1.0,1.0,1.8,2.8,28,152,29,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.1,0.04,0.1
