Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,11.5,17,11,15,2,0,10,16,62.5,6,26,18,8,14,31,57,1,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24,1999,31.6,48,32,13,20,15,15,48,31.3,33,24,1,23,26,74,28,2,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25,1999,9.5,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30,1993,15.5,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21,2003,30.8,11,5,2,4,5,3,9,33.3,6,15,1,14,4,15,36,1,Matches
7,Abner,br BRA,DF,Lyon,24,2000,12.1,29,20,12,10,7,21,32,65.6,11,15,2,13,5,34,41,0,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,2000,21.1,22,13,7,8,7,4,23,17.4,19,16,1,15,6,28,9,0,Matches
9,Martin Adeline,fr FRA,MF,Reims,20,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches
10,Adryelson,br BRA,DF,Lyon,26,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
11,Emmanuel Agbadou,ci CIV,DF,Reims,27,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,Matches
12,Jeremy Agbonifo,se SWE,"FW,MF",Lens,18,2005,3.3,7,6,6,0,1,3,7,42.9,4,2,1,1,1,8,0,1,Matches
13,Ruben Aguilar,fr FRA,"DF,MF",Lens,31,1993,12.5,34,18,17,12,5,24,39,61.5,15,25,3,22,13,47,23,0,Matches
14,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,22,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
15,Jean-Eudes Aholou,ci CIV,MF,Angers,30,1994,21.8,56,36,26,20,10,22,48,45.8,26,34,14,20,33,89,32,0,Matches
16,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19,2005,1.4,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,Matches
17,Ludovic Ajorque,fr FRA,FW,Brest,30,1994,27.7,26,19,3,12,11,10,32,31.3,22,20,5,15,6,32,26,0,Matches
18,Ümit Akdag,ro ROU,DF,Toulouse,20,2003,5.6,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0,Matches
19,Sergio Akieme,es ESP,DF,Reims,26,1997,28.0,34,23,30,3,1,22,36,61.1,14,26,9,17,17,51,97,4,Matches
20,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,22,2002,26.7,51,31,12,24,15,19,41,46.3,22,21,0,21,15,66,13,0,Matches
21,Adams Akor,ng NGA,FW,Montpellier,24,2000,11.9,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,Matches
22,Paul Akouokou,ci CIV,MF,Lyon,26,1997,0.2,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,1,Matches
23,Clément Akpa,ci CIV,DF,Auxerre,22,2001,27.6,55,34,36,12,7,31,46,67.4,15,38,14,24,42,97,141,2,Matches
24,Chuba Akpom,eng ENG,FW,Lille,28,1995,7.1,8,5,0,4,4,2,6,33.3,4,9,0,9,0,8,3,0,Matches
25,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,20,2004,18.0,13,9,4,5,4,4,12,33.3,8,17,1,16,5,18,8,0,Matches
26,Jim Allevinah,ga GAB,FW,Angers,29,1995,19.4,19,11,6,9,4,5,28,17.9,23,10,0,10,12,31,17,0,Matches
27,Thiago Almada,ar ARG,"MF,FW",Lyon,23,2001,10.6,14,8,7,5,2,7,21,33.3,14,2,0,2,7,21,6,3,Matches
28,Jordan Amavi,fr FRA,DF,Brest,30,1994,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,Matches
29,Kelvin Amian,fr FRA,DF,Nantes,26,1998,24.1,55,31,40,14,1,29,35,82.9,6,18,11,7,13,68,85,0,Matches
30,Michael Amir Murillo,pa PAN,DF,Marseille,28,1996,27.1,49,31,30,13,6,32,46,69.6,14,21,8,13,18,67,70,4,Matches
31,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,18,2006,3.6,5,3,3,2,0,2,9,22.2,7,3,0,3,3,8,2,0,Matches
32,Mathis Amougou,fr FRA,MF,Saint-Étienne,18,2006,9.5,21,15,15,5,1,10,19,52.6,9,10,0,10,12,33,4,0,Matches
33,Benjamin André,fr FRA,MF,Lille,33,1990,29.9,103,57,31,60,12,54,96,56.3,42,42,6,36,48,151,56,0,Matches
34,Kyllian Antonio,fr FRA,"DF,MF",Lens,16,2008,1.5,3,2,2,0,1,1,3,33.3,2,3,0,3,3,6,3,1,Matches
35,Dennis Appiah,fr FRA,DF,Saint-Étienne,32,1992,23.6,71,43,42,22,7,41,71,57.7,30,36,8,28,29,100,89,2,Matches
36,Carlens Arcus,ht HAI,DF,Angers,28,1996,22.7,52,35,32,15,5,34,56,60.7,22,24,4,20,27,79,83,3,Matches
37,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,21,2003,19.5,36,16,9,17,10,16,33,48.5,17,10,2,8,8,44,6,0,Matches
38,Marco Asensio,es ESP,"FW,MF",Paris S-G,28,1996,6.9,4,3,1,3,0,0,6,0.0,6,1,0,1,0,4,1,0,Matches
39,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24,2000,26.2,49,27,25,22,2,19,43,44.2,24,20,3,17,25,74,74,0,Matches
40,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19,2005,1.1,6,3,0,4,2,4,5,80.0,1,1,0,1,1,7,4,0,Matches
41,Valentin Atangana Edoa,fr FRA,MF,Reims,18,2005,31.7,69,50,32,30,7,28,38,73.7,10,31,15,16,37,106,64,0,Matches
42,Florian Ayé,fr FRA,FW,Auxerre,27,1997,6.4,2,2,0,0,2,0,2,0.0,2,7,0,7,7,9,6,0,Matches
43,André Ayew,gh GHA,FW,Le Havre,34,1989,16.1,18,10,3,7,8,7,13,53.8,6,9,2,7,3,21,21,1,Matches
44,Neil El Aynaoui,ma MAR,MF,Lens,23,2001,17.6,39,21,18,15,6,12,34,35.3,22,34,8,26,30,69,29,0,Matches
45,Shavy Babicka,ga GAB,"MF,FW",Toulouse,24,2000,13.2,21,12,6,11,4,10,21,47.6,11,14,0,14,3,24,4,3,Matches
46,Theo Bair,ca CAN,FW,Auxerre,24,1999,10.4,4,3,1,2,1,0,2,0.0,2,6,2,4,3,7,10,0,Matches
47,Mitchel Bakker,nl NED,"FW,DF",Lille,24,2000,12.7,23,13,6,11,6,10,19,52.6,9,10,1,9,12,35,15,0,Matches
48,Darryl Bakola,fr FRA,"DF,MF",Marseille,16,2007,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
49,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,21,2002,27.7,26,14,11,8,7,12,24,50.0,12,21,1,20,15,41,27,0,Matches
50,Leonardo Balerdi,ar ARG,DF,Marseille,25,1999,25.3,54,39,32,17,5,27,47,57.4,20,25,14,11,38,92,72,4,Matches
51,Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,27,1997,6.5,8,7,3,4,1,5,9,55.6,4,8,3,5,4,12,27,0,Matches
