Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24,1999,31.6,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25,1999,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30,1993,15.5,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21,2003,30.8,3,0,0,34,53,5,30,4,5,0,0,0,83,64,76,45.7,Matches
7,Abner,br BRA,DF,Lyon,24,2000,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,2000,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7,Matches
9,Martin Adeline,fr FRA,MF,Reims,20,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
10,Adryelson,br BRA,DF,Lyon,26,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
11,Emmanuel Agbadou,ci CIV,DF,Reims,27,1997,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1,Matches
12,Jeremy Agbonifo,se SWE,"FW,MF",Lens,18,2005,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10.0,Matches
13,Ruben Aguilar,fr FRA,"DF,MF",Lens,31,1993,12.5,4,0,0,14,15,5,47,13,18,0,0,0,79,10,16,38.5,Matches
14,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,22,2002,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0,Matches
15,Jean-Eudes Aholou,ci CIV,MF,Angers,30,1994,21.8,7,0,0,50,25,1,2,33,36,0,0,0,100,38,23,62.3,Matches
16,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19,2005,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0,Matches
17,Ludovic Ajorque,fr FRA,FW,Brest,30,1994,27.7,5,0,0,61,26,11,7,6,19,2,0,0,62,133,121,52.4,Matches
18,Ümit Akdag,ro ROU,DF,Toulouse,20,2003,5.6,2,0,0,8,1,0,3,11,4,0,0,0,24,18,7,72.0,Matches
19,Sergio Akieme,es ESP,DF,Reims,26,1997,28.0,5,0,0,25,21,1,94,17,23,0,0,0,109,19,26,42.2,Matches
