Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Yunis Abdelhamid,MAR,DF,Saint-Étienne,36.0,1987.0,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5
Himad Abdelli,ALG,"MF,FW",Angers,24.0,1999.0,31.6,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4
Mohamed Abdelmoneim,EGY,DF,Nice,25.0,1999.0,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0
Ali Abdi,TUN,"DF,MF",Nice,30.0,1993.0,15.5,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1
Matthis Abline,FRA,FW,Nantes,21.0,2003.0,30.8,3,0,0,34,53,5,30,4,5,0,0,0,83,64,76,45.7
Abner,BRA,DF,Lyon,24.0,2000.0,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,2000.0,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7
Martin Adeline,FRA,MF,Reims,20.0,2003.0,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
Adryelson,BRA,DF,Lyon,26.0,1998.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Emmanuel Agbadou,CIV,DF,Reims,27.0,1997.0,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1
Jeremy Agbonifo,SWE,"FW,MF",Lens,18.0,2005.0,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10.0
Ruben Aguilar,FRA,"DF,MF",Lens,31.0,1993.0,12.5,4,0,0,14,15,5,47,13,18,0,0,0,79,10,16,38.5
Naouirou Ahamada,FRA,"MF,FW",Rennes,22.0,2002.0,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0
Jean-Eudes Aholou,CIV,MF,Angers,30.0,1994.0,21.8,7,0,0,50,25,1,2,33,36,0,0,0,100,38,23,62.3
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19.0,2005.0,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0
Ludovic Ajorque,FRA,FW,Brest,30.0,1994.0,27.7,5,0,0,61,26,11,7,6,19,2,0,0,62,133,121,52.4
Ümit Akdag,ROU,DF,Toulouse,20.0,2003.0,5.6,2,0,0,8,1,0,3,11,4,0,0,0,24,18,7,72.0
Sergio Akieme,ESP,DF,Reims,26.0,1997.0,28.0,5,0,0,25,21,1,94,17,23,0,0,0,109,19,26,42.2
Maghnes Akliouche,FRA,"FW,MF",Monaco,22.0,2002.0,26.7,2,0,0,31,38,8,53,15,31,0,0,0,131,5,23,17.9
Adams Akor,NGA,FW,Montpellier,24.0,2000.0,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9
Paul Akouokou,CIV,MF,Lyon,26.0,1997.0,0.2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,
Clément Akpa,CIV,DF,Auxerre,22.0,2001.0,27.6,7,0,0,15,35,0,25,42,34,0,1,0,116,38,31,55.1
Chuba Akpom,ENG,FW,Lille,28.0,1995.0,7.1,0,0,0,11,15,2,1,0,5,1,0,0,11,17,11,60.7
Mohamed Ali Cho,FRA,"FW,MF",Nice,20.0,2004.0,18.0,2,0,0,12,41,9,51,5,9,0,0,0,69,13,27,32.5
Jim Allevinah,GAB,FW,Angers,29.0,1995.0,19.4,3,0,0,18,25,10,34,12,11,1,0,0,88,10,24,29.4
Thiago Almada,ARG,"MF,FW",Lyon,23.0,2001.0,10.6,3,0,0,10,8,1,47,7,8,1,0,0,56,1,2,33.3
Jordan Amavi,FRA,DF,Brest,30.0,1994.0,8.8,2,0,0,15,6,0,15,7,17,0,2,0,35,15,6,71.4
Kelvin Amian,FRA,DF,Nantes,26.0,1998.0,24.1,5,0,0,23,11,1,37,13,31,0,0,0,54,21,21,50.0
Michael Amir Murillo,PAN,DF,Marseille,28.0,1996.0,27.1,3,0,0,29,26,1,37,18,31,0,1,0,138,42,17,71.2
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,18.0,2006.0,3.6,0,0,0,3,5,1,6,3,3,0,0,0,14,0,7,0.0
Mathis Amougou,FRA,MF,Saint-Étienne,18.0,2006.0,9.5,2,0,0,6,8,0,1,12,15,0,0,0,37,3,12,20.0
Benjamin André,FRA,MF,Lille,33.0,1990.0,29.9,12,0,0,50,49,3,16,48,57,1,0,0,189,94,82,53.4
Kyllian Antonio,FRA,"DF,MF",Lens,16.0,2008.0,1.5,0,0,0,2,3,0,2,3,2,0,0,0,5,2,2,50.0
Dennis Appiah,FRA,DF,Saint-Étienne,32.0,1992.0,23.6,2,0,0,37,9,2,52,29,43,0,2,0,90,27,31,46.6
Carlens Arcus,HAI,DF,Angers,28.0,1996.0,22.7,3,0,0,38,21,1,55,27,35,0,0,0,81,31,25,55.4
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,21.0,2003.0,19.5,3,0,0,19,27,3,59,8,16,1,0,0,71,2,14,12.5
Marco Asensio,ESP,"FW,MF",Paris S-G,28.0,1996.0,6.9,0,0,0,1,4,3,13,0,3,0,0,0,18,1,2,33.3
Lorenz Assignon,TOG,"DF,MF",Rennes,24.0,2000.0,26.2,9,0,0,52,28,5,70,25,27,0,1,0,110,38,22,63.3
Dehmaine Assoumani,FRA,"MF,FW",Nantes,19.0,2005.0,1.1,0,0,0,1,4,0,6,1,3,0,0,0,8,2,3,40.0
Valentin Atangana Edoa,FRA,MF,Reims,18.0,2005.0,31.7,7,0,0,57,50,8,17,37,50,0,0,0,117,47,34,58.0
Florian Ayé,FRA,FW,Auxerre,27.0,1997.0,6.4,0,0,0,10,6,3,2,7,2,0,0,0,14,13,37,26.0
André Ayew,GHA,FW,Le Havre,34.0,1989.0,16.1,2,0,0,19,30,6,7,3,10,0,0,0,26,37,63,37.0
Neil El Aynaoui,MAR,MF,Lens,23.0,2001.0,17.6,4,0,0,34,32,0,65,30,21,0,0,0,90,24,15,61.5
Shavy Babicka,GAB,"MF,FW",Toulouse,24.0,2000.0,13.2,2,0,0,16,21,7,39,3,12,0,0,0,54,7,17,29.2
Theo Bair,CAN,FW,Auxerre,24.0,1999.0,10.4,1,0,0,20,5,8,7,3,3,0,0,0,15,55,46,54.5
