Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18,2006,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,11.5,438,505,86.7,7952,2404,147,160,91.9,263,287,91.6,23,48,47.9,0,0.1,0.3,-0.1,2,28,0,0,22,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24,1999,31.6,1373,1672,82.1,21646,6031,710,807,88.0,531,612,86.8,82,151,54.3,1,3.2,3.7,-2.2,39,171,38,3,207,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25,1999,9.5,471,521,90.4,8299,2620,195,207,94.2,241,259,93.1,27,44,61.4,0,0.0,0.2,0.0,0,41,1,0,52,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30,1993,15.5,502,678,74.0,7914,2701,269,314,85.7,188,245,76.7,33,72,45.8,2,1.9,1.7,+0.1,20,19,21,7,42,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21,2003,30.8,351,538,65.2,5145,976,185,256,72.3,119,160,74.4,20,38,52.6,2,3.8,3.4,-1.8,27,23,15,4,48,Matches
7,Abner,br BRA,DF,Lyon,24,2000,12.1,568,675,84.1,8355,3494,335,366,91.5,181,210,86.2,33,55,60.0,1,1.1,2.3,-0.1,11,45,11,2,66,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,2000,21.1,221,349,63.3,2789,753,145,193,75.1,56,94,59.6,6,15,40.0,2,1.6,2.0,+0.4,12,16,10,4,22,Matches
9,Martin Adeline,fr FRA,MF,Reims,20,2003,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
10,Adryelson,br BRA,DF,Lyon,26,1998,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
