Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,36.0,1987.0,11.5,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3
Himad Abdelli,ALG,"MF,FW",Angers,24.0,1999.0,31.6,1993,38,293,1149,597,49,1989,121,57,47.1,61,50.4,1183,7595,4388,107,90,17,55,51,1446,111
Mohamed Abdelmoneim,EGY,DF,Nice,25.0,1999.0,9.5,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5
Ali Abdi,TUN,"DF,MF",Nice,30.0,1993.0,15.5,886,51,230,349,315,50,886,29,12,41.4,16,55.2,391,1880,1003,35,15,9,32,14,481,101
Matthis Abline,FRA,FW,Nantes,21.0,2003.0,30.8,878,34,75,382,438,142,877,86,35,40.7,48,55.8,587,3670,1743,75,42,42,92,65,689,169
Abner,BRA,DF,Lyon,24.0,2000.0,12.1,791,40,207,361,225,22,791,12,6,50.0,6,50.0,426,1926,1239,31,16,5,14,8,513,55
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,2000.0,21.1,613,6,59,196,363,113,611,53,16,30.2,35,66.0,375,1923,880,34,24,19,64,26,450,164
Martin Adeline,FRA,MF,Reims,20.0,2003.0,0.3,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1
Adryelson,BRA,DF,Lyon,26.0,1998.0,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0
Emmanuel Agbadou,CIV,DF,Reims,27.0,1997.0,14.0,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0
Jeremy Agbonifo,SWE,"FW,MF",Lens,18.0,2005.0,3.3,131,1,22,39,72,16,131,20,9,45.0,10,50.0,84,627,283,13,2,10,11,6,92,36
Ruben Aguilar,FRA,"DF,MF",Lens,31.0,1993.0,12.5,996,27,253,430,320,30,996,21,9,42.9,9,42.9,518,2371,1309,32,21,5,19,6,612,101
Naouirou Ahamada,FRA,"MF,FW",Rennes,22.0,2002.0,0.6,31,1,12,16,3,0,31,1,0,0.0,1,100.0,16,131,55,2,1,0,1,1,17,1
Jean-Eudes Aholou,CIV,MF,Angers,30.0,1994.0,21.8,1032,45,259,615,167,34,1032,28,12,42.9,12,42.9,495,2116,987,15,8,2,32,15,615,16
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19.0,2005.0,1.4,48,1,10,20,19,2,48,4,0,0.0,4,100.0,33,169,95,4,2,1,5,7,37,8
Ludovic Ajorque,FRA,FW,Brest,30.0,1994.0,27.7,914,32,84,446,389,125,913,17,8,47.1,9,52.9,410,1319,449,10,11,4,60,11,658,124
Ümit Akdag,ROU,DF,Toulouse,20.0,2003.0,5.6,400,29,145,232,27,1,400,1,1,100.0,0,0.0,217,947,452,4,3,0,1,0,240,9
Sergio Akieme,ESP,DF,Reims,26.0,1997.0,28.0,1436,100,524,548,377,34,1436,31,13,41.9,17,54.8,710,4339,2357,55,36,5,31,19,817,97
Maghnes Akliouche,FRA,"FW,MF",Monaco,22.0,2002.0,26.7,1566,22,150,644,794,156,1565,103,50,48.5,50,48.5,999,6581,3653,127,98,47,78,47,1149,226
Adams Akor,NGA,FW,Montpellier,24.0,2000.0,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45
Paul Akouokou,CIV,MF,Lyon,26.0,1997.0,0.2,18,2,5,13,0,0,18,0,0,,0,,14,38,10,0,0,0,1,0,14,0
Clément Akpa,CIV,DF,Auxerre,22.0,2001.0,27.6,1532,171,797,636,117,10,1532,23,8,34.8,11,47.8,895,4510,2340,27,20,1,9,4,929,24
Chuba Akpom,ENG,FW,Lille,28.0,1995.0,7.1,165,4,13,76,79,30,163,9,4,44.4,4,44.4,80,422,192,6,4,2,12,5,113,38
Mohamed Ali Cho,FRA,"FW,MF",Nice,20.0,2004.0,18.0,720,9,75,308,356,74,720,70,20,28.6,41,58.6,460,3302,1943,81,39,30,68,26,545,133
Jim Allevinah,GAB,FW,Angers,29.0,1995.0,19.4,682,11,134,311,253,65,682,48,15,31.3,33,68.8,435,3164,1395,57,34,8,38,32,483,99
Thiago Almada,ARG,"MF,FW",Lyon,23.0,2001.0,10.6,831,19,136,382,318,31,831,14,8,57.1,5,35.7,568,2957,1483,38,34,10,17,9,652,50
Jordan Amavi,FRA,DF,Brest,30.0,1994.0,8.8,615,20,186,304,131,4,615,13,7,53.8,6,46.2,309,1558,936,22,18,1,9,5,361,21
Kelvin Amian,FRA,DF,Nantes,26.0,1998.0,24.1,1153,81,374,523,267,21,1153,22,13,59.1,8,36.4,544,2412,1208,32,27,1,20,12,637,77
Michael Amir Murillo,PAN,DF,Marseille,28.0,1996.0,27.1,2135,83,601,1205,339,33,2135,27,14,51.9,13,48.1,1169,4743,2430,43,33,8,28,10,1458,100
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,18.0,2006.0,3.6,165,2,29,72,68,10,165,12,5,41.7,4,33.3,94,698,300,11,10,4,7,2,113,18
Mathis Amougou,FRA,MF,Saint-Étienne,18.0,2006.0,9.5,407,18,104,218,90,9,407,16,5,31.3,9,56.3,242,1169,585,8,11,2,22,8,273,17
Benjamin André,FRA,MF,Lille,33.0,1990.0,29.9,2267,72,392,1462,430,45,2267,22,9,40.9,11,50.0,1153,5343,2593,29,33,1,45,33,1556,72
Kyllian Antonio,FRA,"DF,MF",Lens,16.0,2008.0,1.5,114,2,47,54,13,1,114,2,1,50.0,0,0.0,82,322,132,1,0,1,2,2,85,0
Dennis Appiah,FRA,DF,Saint-Étienne,32.0,1992.0,23.6,1486,92,514,610,371,27,1486,43,20,46.5,22,51.2,630,3033,1650,51,32,6,34,18,824,110
Carlens Arcus,HAI,DF,Angers,28.0,1996.0,22.7,1249,85,433,556,271,11,1249,18,8,44.4,9,50.0,566,2635,1284,39,22,2,18,14,686,79
