Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,20,2004,1.0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25,1999,2.3,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,13.1,17,11,2,10,5,6,8,75.0,2,13,0,13,2,19,16,0,Matches
6,Federico Accornero,it ITA,MF,Genoa,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,19.0,23,19,16,7,0,11,17,64.7,6,22,16,6,26,49,81,0,Matches
8,Che Adams,sct SCO,FW,Torino,28,1996,29.5,12,6,2,4,6,1,7,14.3,6,13,6,7,2,14,18,0,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,13.7,32,19,11,16,5,17,39,43.6,22,13,1,12,6,38,19,0,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18,2006,0.5,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,27,1997,8.0,18,13,8,7,3,10,14,71.4,4,4,1,3,7,25,6,0,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,16,2008,3.0,7,5,2,3,2,7,10,70.0,3,4,0,4,1,8,9,0,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,10.7,30,18,15,14,1,9,21,42.9,12,19,6,13,13,43,16,1,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,22,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Matches
17,Dele Alli,eng ENG,MF,Como,28,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25,1999,12.4,17,13,7,7,3,8,17,47.1,9,13,0,13,19,36,8,0,Matches
19,Giorgio Altare,it ITA,DF,Venezia,25,1998,8.4,13,12,8,3,2,8,15,53.3,7,21,11,10,17,30,49,0,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,27,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0,Matches
21,Angeliño,es ESP,DF,Roma,27,1997,35.3,46,24,20,24,2,17,34,50.0,17,33,9,24,28,74,98,0,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,12.4,29,13,9,14,6,9,18,50.0,9,18,3,15,13,42,20,0,Matches
24,Marko Arnautović,at AUT,FW,Inter,35,1989,6.1,7,6,1,3,3,3,5,60.0,2,3,0,3,1,8,1,0,Matches
25,Kristjan Asllani,al ALB,MF,Inter,22,2002,11.0,14,3,8,4,2,8,22,36.4,14,8,1,7,9,23,13,1,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,21,2003,13.9,20,12,9,10,1,10,15,66.7,5,9,5,4,7,27,15,1,Matches
27,Emil Audero,id IDN,GK,Como,27,1997,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,1,Matches
28,Tommaso Augello,it ITA,DF,Cagliari,29,1994,30.1,49,28,28,17,4,30,43,69.8,13,23,8,15,16,65,109,2,Matches
29,Carlos Augusto,br BRA,DF,Inter,25,1999,18.8,29,14,12,11,6,12,19,63.2,7,21,9,12,9,38,50,0,Matches
30,Yann Aurel Bisseck,de GER,DF,Inter,23,2000,18.3,17,12,11,4,2,11,16,68.8,5,23,12,11,17,34,64,1,Matches
31,Paulo Azzi,br BRA,DF,Cagliari,30,1994,4.7,11,9,3,6,2,5,9,55.6,4,5,2,3,5,16,11,0,Matches
32,Oussama El Azzouzi,ma MAR,MF,Bologna,23,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches
33,Jacopo Bacci,it ITA,MF,Empoli,19,2005,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
34,Milan Badelj,hr CRO,MF,Genoa,35,1989,16.4,29,16,14,10,5,15,35,42.9,20,19,7,12,20,49,43,0,Matches
35,Mitchel Bakker,nl NED,MF,Atalanta,24,2000,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
36,Tommaso Baldanzi,it ITA,"MF,FW",Roma,21,2003,9.2,12,4,5,4,3,4,12,33.3,8,4,0,4,6,18,8,0,Matches
37,Keita Baldé,sn SEN,FW,Monza,29,1995,7.1,1,1,0,1,0,1,2,50.0,1,4,0,4,2,3,0,0,Matches
38,Botond Balogh,hu HUN,DF,Parma,22,2002,22.8,36,16,22,13,1,20,28,71.4,8,34,26,8,25,61,141,2,Matches
39,Mario Balotelli,it ITA,"FW,MF",Genoa,33,1990,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
40,Lameck Banda,zm ZAM,"FW,MF",Lecce,23,2001,6.8,8,5,4,2,2,3,12,25.0,9,7,0,7,2,10,8,1,Matches
41,Daniel Bandeira,pt POR,MF,Hellas Verona,24,2000,4.5,4,0,1,3,0,3,6,50.0,3,2,1,1,6,10,8,0,Matches
42,Mattia Bani,it ITA,DF,Genoa,30,1993,16.7,19,10,11,6,2,7,11,63.6,4,13,8,5,22,41,85,2,Matches
43,Antonín Barák,cz CZE,MF,Fiorentina,29,1994,0.6,2,0,0,2,0,0,2,0.0,2,1,1,0,0,2,0,0,Matches
44,Federico Barba,it ITA,DF,Como,30,1993,4.8,2,2,1,1,0,1,4,25.0,3,2,2,0,4,6,15,0,Matches
45,Nicolò Barella,it ITA,MF,Inter,27,1997,27.7,50,31,19,20,11,26,59,44.1,33,26,3,23,12,62,16,1,Matches
46,Davide Bartesaghi,it ITA,DF,Milan,18,2005,1.3,4,2,1,1,2,4,4,100.0,0,1,1,0,3,7,1,0,Matches
47,Federico Baschirotto,it ITA,DF,Lecce,27,1996,38.0,37,25,30,5,2,22,28,78.6,6,44,32,12,23,60,237,2,Matches
48,Daniele Baselli,it ITA,MF,Como,32,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
49,Alessandro Bastoni,it ITA,DF,Inter,25,1999,26.7,46,24,26,14,6,20,30,66.7,10,25,13,12,22,68,52,1,Matches
50,Reda Belahyane,ma MAR,MF,Hellas Verona,20,2004,18.4,36,26,16,13,7,13,17,76.5,4,20,9,11,10,46,22,1,Matches
51,Reda Belahyane,ma MAR,MF,Lazio,20,2004,2.2,8,6,8,0,0,6,6,100.0,0,3,2,1,1,9,5,0,Matches
52,Raoul Bellanova,it ITA,DF,Torino,24,2000,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
53,Raoul Bellanova,it ITA,DF,Atalanta,24,2000,26.7,24,14,8,13,3,13,21,61.9,8,12,3,9,18,42,45,0,Matches
54,Andrea Belotti,it ITA,FW,Como,30,1993,6.6,7,5,1,4,2,1,4,25.0,3,4,0,4,1,8,8,0,Matches
55,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,23,2001,21.7,23,10,10,7,6,7,21,33.3,14,15,2,13,5,28,14,0,Matches
56,Adrian Benedyczak,pl POL,"FW,MF",Parma,23,2000,2.4,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,8,0,Matches
57,Ismaël Bennacer,dz ALG,MF,Milan,26,1997,3.3,5,4,1,3,1,1,7,14.3,6,5,3,2,3,8,1,0,Matches
58,Medon Berisha,al ALB,MF,Lecce,20,2003,8.0,12,8,7,3,2,4,8,50.0,4,6,0,6,11,23,5,2,Matches
59,Adrian Bernabe,es ESP,MF,Parma,23,2001,16.1,29,18,16,9,4,14,32,43.8,18,22,9,13,7,36,26,1,Matches
60,Antoine Bernede,fr FRA,MF,Hellas Verona,25,1999,6.6,15,8,4,9,2,10,16,62.5,6,6,1,5,5,20,3,0,Matches
61,Sam Beukema,nl NED,DF,Bologna,25,1998,33.5,54,29,27,24,3,22,41,53.7,19,36,21,15,30,84,111,0,Matches
62,Alessandro Bianco,it ITA,MF,Monza,21,2002,28.9,51,28,26,17,8,27,41,65.9,14,40,14,26,22,73,53,4,Matches
63,Alessandro Bianco,it ITA,MF,Fiorentina,21,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
64,Jaka Bijol,si SVN,DF,Udinese,25,1999,32.9,43,25,32,10,1,21,40,52.5,19,38,18,20,38,81,182,1,Matches
65,Philip Billing,dk DEN,MF,Napoli,28,1996,2.2,9,6,4,4,1,1,4,25.0,3,4,1,3,4,13,6,0,Matches
66,Cristiano Biraghi,it ITA,DF,Torino,31,1992,12.9,16,10,9,3,4,11,18,61.1,7,15,4,11,8,24,44,0,Matches
67,Cristiano Biraghi,it ITA,DF,Fiorentina,31,1992,4.8,4,4,1,3,0,2,7,28.6,5,2,0,2,4,8,11,0,Matches
68,Samuele Birindelli,it ITA,"DF,MF",Monza,25,1999,16.3,22,15,13,4,5,6,14,42.9,8,15,2,13,10,32,34,2,Matches
69,Bjarki Bjarkason,is ISL,"DF,MF",Venezia,24,2000,1.8,3,2,2,1,0,1,2,50.0,1,1,0,1,2,5,4,0,Matches
70,Emil Bohinen,no NOR,MF,Genoa,25,1999,1.8,4,4,3,0,1,2,5,40.0,3,2,0,2,1,5,6,0,Matches
71,Warren Bondo,fr FRA,MF,Monza,20,2003,18.0,35,24,19,12,4,13,19,68.4,6,16,6,10,5,40,8,4,Matches
72,Warren Bondo,fr FRA,MF,Milan,20,2003,1.8,5,3,4,1,0,3,3,100.0,0,1,0,1,0,5,2,0,Matches
73,Kevin Bonifazi,it ITA,DF,Lecce,28,1996,0.7,1,1,1,0,0,1,1,100.0,0,1,1,0,2,3,3,0,Matches
