Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,20,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,13.1,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0,Matches
6,Federico Accornero,it ITA,MF,Genoa,20,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,19.0,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
8,Che Adams,sct SCO,FW,Torino,28,1996,29.5,63,2.14,49,1,0,8,5,0,5,0.17,4,0,0,1,0,0,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,13.7,50,3.64,35,10,2,2,1,0,10,0.73,6,2,1,1,0,0,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18,2006,0.5,2,4.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,27,1997,8.0,18,2.23,15,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,16,2008,3.0,5,1.67,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,10.7,12,1.12,8,0,1,1,1,1,1,0.09,0,0,0,0,0,1,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,22,2002,0.5,1,2.00,0,0,0,0,1,0,1,2.00,0,0,0,0,1,0,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Dele Alli,eng ENG,MF,Como,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25,1999,12.4,26,2.10,15,0,5,3,3,0,2,0.16,2,0,0,0,0,0,Matches
19,Giorgio Altare,it ITA,DF,Venezia,25,1998,8.4,5,0.60,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,27,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Angeliño,es ESP,DF,Roma,27,1997,35.3,89,2.52,68,14,2,1,4,0,7,0.20,6,0,0,0,1,0,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,19,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,12.4,32,2.59,24,1,3,1,2,1,5,0.40,4,0,0,0,0,1,Matches
24,Marko Arnautović,at AUT,FW,Inter,35,1989,6.1,15,2.46,15,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches
25,Kristjan Asllani,al ALB,MF,Inter,22,2002,11.0,31,2.82,23,6,0,1,1,0,3,0.27,2,1,0,0,0,0,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,21,2003,13.9,46,3.31,40,2,1,2,1,0,2,0.14,0,0,0,2,0,0,Matches
27,Emil Audero,id IDN,GK,Como,27,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Tommaso Augello,it ITA,DF,Cagliari,29,1994,30.1,73,2.42,48,21,3,1,0,0,11,0.36,10,1,0,0,0,0,Matches
29,Carlos Augusto,br BRA,DF,Inter,25,1999,18.8,24,1.28,18,1,0,1,2,2,3,0.16,2,0,0,1,0,0,Matches
30,Yann Aurel Bisseck,de GER,DF,Inter,23,2000,18.3,20,1.10,16,0,0,2,1,1,4,0.22,4,0,0,0,0,0,Matches
31,Paulo Azzi,br BRA,DF,Cagliari,30,1994,4.7,15,3.17,9,2,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
32,Oussama El Azzouzi,ma MAR,MF,Bologna,23,2001,0.2,2,9.47,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
