Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
James Abankwah,IRL,"DF,MF",Udinese,20,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Saud Abdulhamid,KSA,DF,Roma,25,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0
Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,26,1997,13.1,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0
Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,36,1988,19.0,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Che Adams,SCO,FW,Torino,28,1996,29.5,63,2.14,49,1,0,8,5,0,5,0.17,4,0,0,1,0,0
Yacine Adli,FRA,MF,Fiorentina,24,2000,13.7,50,3.64,35,10,2,2,1,0,10,0.73,6,2,1,1,0,0
Vasilije Adžić,MNE,"MF,FW",Juventus,18,2006,0.5,2,4.29,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Michel Aebischer,SUI,MF,Bologna,27,1997,8.0,18,2.23,15,2,0,0,0,1,0,0.0,0,0,0,0,0,0
Honest Ahanor,ITA,"DF,MF",Genoa,16,2008,3.0,5,1.67,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Junior Ajayi,CIV,FW,Hellas Verona,19,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,10.7,12,1.12,8,0,1,1,1,1,1,0.09,0,0,0,0,0,1
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,2002,0.5,1,2.0,0,0,0,0,1,0,1,2.0,0,0,0,0,1,0
Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Dele Alli,ENG,MF,Como,28,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pontus Almqvist,SWE,"FW,MF",Parma,25,1999,12.4,26,2.1,15,0,5,3,3,0,2,0.16,2,0,0,0,0,0
Giorgio Altare,ITA,DF,Venezia,25,1998,8.4,5,0.6,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Sofyan Amrabat,MAR,MF,Fiorentina,27,1996,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Angeliño,ESP,DF,Roma,27,1997,35.3,89,2.52,68,14,2,1,4,0,7,0.2,6,0,0,0,1,0
Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Faustino Anjorin,ENG,MF,Empoli,22,2001,12.4,32,2.59,24,1,3,1,2,1,5,0.4,4,0,0,0,0,1
Marko Arnautović,AUT,FW,Inter,35,1989,6.1,15,2.46,15,0,0,0,0,0,2,0.33,2,0,0,0,0,0
Kristjan Asllani,ALB,MF,Inter,22,2002,11.0,31,2.82,23,6,0,1,1,0,3,0.27,2,1,0,0,0,0
Arthur Atta,FRA,"MF,FW",Udinese,21,2003,13.9,46,3.31,40,2,1,2,1,0,2,0.14,0,0,0,2,0,0
Emil Audero,IDN,GK,Como,27,1997,8.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tommaso Augello,ITA,DF,Cagliari,29,1994,30.1,73,2.42,48,21,3,1,0,0,11,0.36,10,1,0,0,0,0
Carlos Augusto,BRA,DF,Inter,25,1999,18.8,24,1.28,18,1,0,1,2,2,3,0.16,2,0,0,1,0,0
Yann Aurel Bisseck,GER,DF,Inter,23,2000,18.3,20,1.1,16,0,0,2,1,1,4,0.22,4,0,0,0,0,0
Paulo Azzi,BRA,DF,Cagliari,30,1994,4.7,15,3.17,9,2,1,2,0,1,0,0.0,0,0,0,0,0,0
Oussama El Azzouzi,MAR,MF,Bologna,23,2001,0.2,2,9.47,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Jacopo Bacci,ITA,MF,Empoli,19,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Milan Badelj,CRO,MF,Genoa,35,1989,16.4,26,1.59,20,0,0,4,2,0,1,0.06,0,0,0,1,0,0
Mitchel Bakker,NED,MF,Atalanta,24,2000,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,9.2,36,3.89,23,0,6,4,2,1,4,0.43,3,0,0,0,0,1
Keita Baldé,SEN,FW,Monza,29,1995,7.1,21,2.97,14,0,2,3,2,0,0,0.0,0,0,0,0,0,0
