Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
James Abankwah,IRL,"DF,MF",Udinese,20,2004,1.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4
Saud Abdulhamid,KSA,DF,Roma,25,1999,2.3,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,0.8,2,4,4,2,9
Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Tammy Abraham,ENG,FW,Milan,26,1997,13.1,152,221,68.8,1956,534,94,124,75.8,46,74,62.2,3,6,50.0,4,2.2,1.3,1.8,14,13,10,0,26
Federico Accornero,ITA,MF,Genoa,20,2004,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,36,1988,19.0,1200,1297,92.5,22280,6158,406,434,93.5,697,727,95.9,83,106,78.3,1,0.6,1.4,0.4,9,59,8,5,62
Che Adams,SCO,FW,Torino,28,1996,29.5,414,557,74.3,6531,1184,221,283,78.1,134,168,79.8,37,53,69.8,3,2.0,2.9,1.0,26,32,7,0,40
Yacine Adli,FRA,MF,Fiorentina,24,2000,13.7,718,890,80.7,14050,4602,299,332,90.1,291,331,87.9,116,193,60.1,6,2.4,2.2,3.6,23,84,16,4,103
Vasilije Adžić,MNE,"MF,FW",Juventus,18,2006,0.5,15,20,75.0,255,52,8,10,80.0,5,6,83.3,2,2,100.0,0,0.0,0.0,0.0,0,1,1,0,1
Michel Aebischer,SUI,MF,Bologna,27,1997,8.0,366,419,87.4,6537,1452,165,179,92.2,153,169,90.5,41,53,77.4,0,0.4,0.6,-0.4,8,41,5,2,33
Honest Ahanor,ITA,"DF,MF",Genoa,16,2008,3.0,51,76,67.1,868,299,24,32,75.0,24,34,70.6,3,7,42.9,0,0.1,0.1,-0.1,2,0,0,0,3
Junior Ajayi,CIV,FW,Hellas Verona,19,2004,0.1,4,4,100.0,74,18,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,10.7,275,346,79.5,4054,1322,156,172,90.7,96,117,82.1,13,19,68.4,0,0.2,0.2,-0.2,3,19,2,1,19
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,2002,0.5,6,7,85.7,53,28,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.8,16,20,80.0,198,42,7,7,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1
Dele Alli,ENG,MF,Como,28,1996,0.1,3,3,100.0,21,4,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Pontus Almqvist,SWE,"FW,MF",Parma,25,1999,12.4,215,297,72.4,2758,504,150,184,81.5,46,65,70.8,7,12,58.3,1,1.3,0.9,-0.3,10,4,4,1,12
Giorgio Altare,ITA,DF,Venezia,25,1998,8.4,283,389,72.8,5113,1998,105,129,81.4,158,198,79.8,16,49,32.7,0,0.1,0.2,-0.1,1,15,2,1,20
