Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,20,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,13.1,221,203,17,0,5,0,3,0,0,0,0,0,152,1,6,Matches
6,Federico Accornero,it ITA,MF,Genoa,20,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1,Matches
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,19.0,1297,1256,39,24,0,2,10,8,0,0,0,0,1200,2,5,Matches
8,Che Adams,sct SCO,FW,Torino,28,1996,29.5,557,513,43,3,4,5,10,1,0,0,0,0,414,1,17,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,13.7,890,795,90,44,3,14,63,6,39,17,19,0,718,5,12,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18,2006,0.5,20,20,0,0,0,0,0,0,0,0,0,0,15,0,1,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,27,1997,8.0,419,393,24,13,1,5,14,0,8,2,4,0,366,2,4,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,16,2008,3.0,76,64,12,1,0,0,4,10,1,1,0,0,51,0,3,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,10.7,346,327,17,4,0,1,6,13,0,0,0,0,275,2,13,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,22,2002,0.5,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23,2001,0.8,20,18,2,1,0,0,3,0,1,1,0,0,16,0,0,Matches
17,Dele Alli,eng ENG,MF,Como,28,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25,1999,12.4,297,290,6,1,0,0,11,5,0,0,0,0,215,1,11,Matches
19,Giorgio Altare,it ITA,DF,Venezia,25,1998,8.4,389,319,68,13,0,2,7,55,0,0,0,0,283,2,2,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,27,1996,2.0,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0,Matches
21,Angeliño,es ESP,DF,Roma,27,1997,35.3,1969,1669,294,49,3,18,116,233,11,3,8,0,1544,6,25,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,19,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,12.4,441,418,22,8,2,4,17,1,8,4,2,0,355,1,8,Matches
24,Marko Arnautović,at AUT,FW,Inter,35,1989,6.1,158,148,8,0,2,0,5,0,0,0,0,0,113,2,3,Matches
25,Kristjan Asllani,al ALB,MF,Inter,22,2002,11.0,973,913,57,26,6,8,43,1,29,7,15,0,868,3,3,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,21,2003,13.9,633,609,22,6,1,5,24,11,3,1,2,0,509,2,22,Matches
27,Emil Audero,id IDN,GK,Como,27,1997,8.0,253,217,36,15,0,0,0,0,0,0,0,0,209,0,0,Matches
28,Tommaso Augello,it ITA,DF,Cagliari,29,1994,30.1,1640,1264,366,48,0,6,207,261,57,5,51,0,1179,10,50,Matches
29,Carlos Augusto,br BRA,DF,Inter,25,1999,18.8,1227,1116,109,22,2,2,20,83,0,0,0,0,1083,2,19,Matches
30,Yann Aurel Bisseck,de GER,DF,Inter,23,2000,18.3,1284,1241,43,20,2,1,8,20,0,0,0,0,1179,0,16,Matches
31,Paulo Azzi,br BRA,DF,Cagliari,30,1994,4.7,180,161,19,1,1,0,22,18,0,0,0,0,126,0,4,Matches
32,Oussama El Azzouzi,ma MAR,MF,Bologna,23,2001,0.2,18,17,1,1,0,0,0,0,0,0,0,0,17,0,0,Matches
33,Jacopo Bacci,it ITA,MF,Empoli,19,2005,0.3,11,10,0,0,0,0,0,0,0,0,0,0,6,1,1,Matches
34,Milan Badelj,hr CRO,MF,Genoa,35,1989,16.4,836,794,37,31,4,7,5,3,2,0,0,0,681,5,10,Matches
35,Mitchel Bakker,nl NED,MF,Atalanta,24,2000,0.2,9,8,1,0,0,0,1,0,1,0,1,0,7,0,0,Matches
36,Tommaso Baldanzi,it ITA,"MF,FW",Roma,21,2003,9.2,363,344,17,2,4,1,7,10,0,0,0,0,305,2,14,Matches
37,Keita Baldé,sn SEN,FW,Monza,29,1995,7.1,223,215,8,2,0,0,6,1,1,0,0,0,199,0,4,Matches
38,Botond Balogh,hu HUN,DF,Parma,22,2002,22.8,964,891,72,43,0,1,1,5,0,0,0,0,861,1,8,Matches
39,Mario Balotelli,it ITA,"FW,MF",Genoa,33,1990,0.7,15,14,0,0,0,1,3,0,0,0,0,0,4,1,1,Matches
40,Lameck Banda,zm ZAM,"FW,MF",Lecce,23,2001,6.8,162,155,7,2,2,1,26,3,2,1,1,0,125,0,3,Matches
41,Daniel Bandeira,pt POR,MF,Hellas Verona,24,2000,4.5,235,221,14,7,0,1,8,0,7,4,3,0,194,0,1,Matches
42,Mattia Bani,it ITA,DF,Genoa,30,1993,16.7,879,844,32,30,0,3,4,1,0,0,0,0,768,3,5,Matches
43,Antonín Barák,cz CZE,MF,Fiorentina,29,1994,0.6,20,20,0,0,0,0,1,0,0,0,0,0,17,0,0,Matches
44,Federico Barba,it ITA,DF,Como,30,1993,4.8,292,263,29,12,0,1,3,9,0,0,0,0,258,0,0,Matches
