Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
James Abankwah,IRL,"DF,MF",Udinese,20,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0
Saud Abdulhamid,KSA,DF,Roma,25,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3
Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Tammy Abraham,ENG,FW,Roma,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Tammy Abraham,ENG,FW,Milan,26,1997,13.1,221,203,17,0,5,0,3,0,0,0,0,0,152,1,6
Federico Accornero,ITA,MF,Genoa,20,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1
Francesco Acerbi,ITA,DF,Inter,36,1988,19.0,1297,1256,39,24,0,2,10,8,0,0,0,0,1200,2,5
Che Adams,SCO,FW,Torino,28,1996,29.5,557,513,43,3,4,5,10,1,0,0,0,0,414,1,17
Yacine Adli,FRA,MF,Fiorentina,24,2000,13.7,890,795,90,44,3,14,63,6,39,17,19,0,718,5,12
Vasilije Adžić,MNE,"MF,FW",Juventus,18,2006,0.5,20,20,0,0,0,0,0,0,0,0,0,0,15,0,1
Michel Aebischer,SUI,MF,Bologna,27,1997,8.0,419,393,24,13,1,5,14,0,8,2,4,0,366,2,4
Honest Ahanor,ITA,"DF,MF",Genoa,16,2008,3.0,76,64,12,1,0,0,4,10,1,1,0,0,51,0,3
Junior Ajayi,CIV,FW,Hellas Verona,19,2004,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,10.7,346,327,17,4,0,1,6,13,0,0,0,0,275,2,13
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,2002,0.5,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.8,20,18,2,1,0,0,3,0,1,1,0,0,16,0,0
Dele Alli,ENG,MF,Como,28,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Pontus Almqvist,SWE,"FW,MF",Parma,25,1999,12.4,297,290,6,1,0,0,11,5,0,0,0,0,215,1,11
Giorgio Altare,ITA,DF,Venezia,25,1998,8.4,389,319,68,13,0,2,7,55,0,0,0,0,283,2,2
Sofyan Amrabat,MAR,MF,Fiorentina,27,1996,2.0,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0
Angeliño,ESP,DF,Roma,27,1997,35.3,1969,1669,294,49,3,18,116,233,11,3,8,0,1544,6,25
