Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
James Abankwah,IRL,"DF,MF",Udinese,20,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1
Saud Abdulhamid,KSA,DF,Roma,25,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26
Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,26,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2
Tammy Abraham,ENG,FW,Milan,26,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69
Federico Accornero,ITA,MF,Genoa,20,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0
Francesco Acerbi,ITA,DF,Inter,36,1988,19.0,1484,139,648,733,108,20,1484,4,3,75.0,1,25.0,915,4177,2128,19,20,1,7,2,1101,22
Che Adams,SCO,FW,Torino,28,1996,29.5,802,19,53,387,371,104,801,37,11,29.7,22,59.5,509,2066,702,23,18,9,63,34,630,153
Yacine Adli,FRA,MF,Fiorentina,24,2000,13.7,1021,31,177,607,248,11,1021,32,12,37.5,16,50.0,618,3613,1680,24,28,3,19,8,690,30
Vasilije Adžić,MNE,"MF,FW",Juventus,18,2006,0.5,24,0,5,8,11,2,24,1,0,0.0,1,100.0,14,40,10,0,1,0,1,1,20,3
Michel Aebischer,SUI,MF,Bologna,27,1997,8.0,485,11,74,302,114,10,485,6,3,50.0,2,33.3,291,1201,508,8,12,2,5,7,346,17
Honest Ahanor,ITA,"DF,MF",Genoa,16,2008,3.0,106,8,27,43,38,7,106,1,0,0.0,0,0.0,52,282,119,3,1,0,7,2,50,7
Junior Ajayi,CIV,FW,Hellas Verona,19,2004,0.1,5,0,0,3,2,0,5,0,0,,0,,5,25,7,0,0,0,1,0,5,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,10.7,505,29,157,258,99,7,505,38,12,31.6,19,50.0,306,1832,818,21,15,2,24,2,290,22
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,2002,0.5,9,1,2,3,4,0,9,1,1,100.0,0,0.0,6,54,8,0,1,0,0,2,10,3
Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.8,31,2,5,11,17,0,31,4,2,50.0,2,50.0,17,98,44,1,3,0,1,1,19,2
Dele Alli,ENG,MF,Como,28,1996,0.1,4,0,0,2,2,0,4,0,0,,0,,3,7,4,0,0,0,1,0,4,1
Pontus Almqvist,SWE,"FW,MF",Parma,25,1999,12.4,462,11,67,154,253,53,462,50,20,40.0,28,56.0,298,2165,1059,42,18,22,31,13,320,85
Giorgio Altare,ITA,DF,Venezia,25,1998,8.4,505,60,235,216,57,6,505,6,5,83.3,1,16.7,235,990,404,4,10,0,5,5,252,5
Sofyan Amrabat,MAR,MF,Fiorentina,27,1996,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1
Angeliño,ESP,DF,Roma,27,1997,35.3,2266,102,640,1041,602,47,2266,27,11,40.7,11,40.7,1202,5724,3048,66,52,11,27,9,1476,172
Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0
Faustino Anjorin,ENG,MF,Empoli,22,2001,12.4,628,25,132,357,153,17,628,41,16,39.0,22,53.7,327,1839,1043,28,17,6,25,11,385,35
Marko Arnautović,AUT,FW,Inter,35,1989,6.1,198,1,6,64,128,39,198,3,2,66.7,1,33.3,99,364,119,4,3,2,13,3,155,61
Kristjan Asllani,ALB,MF,Inter,22,2002,11.0,1061,25,258,638,167,9,1059,6,1,16.7,4,66.7,700,3112,1231,7,14,1,5,2,859,20
Arthur Atta,FRA,"MF,FW",Udinese,21,2003,13.9,813,21,125,417,289,39,813,61,27,44.3,30,49.2,515,3228,1219,31,31,10,34,22,593,77
Emil Audero,IDN,GK,Como,27,1997,8.0,269,219,268,1,0,0,269,0,0,,0,,177,821,476,0,0,0,0,0,162,0
Tommaso Augello,ITA,DF,Cagliari,29,1994,30.1,1902,103,657,697,569,12,1902,43,24,55.8,18,41.9,882,4179,2239,58,37,3,27,18,1020,113
Carlos Augusto,BRA,DF,Inter,25,1999,18.8,1413,88,466,678,280,43,1413,12,7,58.3,5,41.7,837,4189,1960,31,26,4,18,13,997,83
Yann Aurel Bisseck,GER,DF,Inter,23,2000,18.3,1465,122,509,778,181,43,1465,15,3,20.0,10,66.7,998,5759,2687,32,27,3,16,7,1136,44
Paulo Azzi,BRA,DF,Cagliari,30,1994,4.7,242,19,66,97,84,8,242,13,8,61.5,4,30.8,119,804,450,15,10,3,3,4,135,26
