Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
James Abankwah,IRL,"DF,MF",Udinese,20,2004,1.0,0,1,0,0.0,1.02,0.0,0.0,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Saud Abdulhamid,KSA,DF,Roma,25,1999,2.3,0,1,0,0.0,0.44,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tammy Abraham,ENG,FW,Milan,26,1997,13.1,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4
Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,36,1988,19.0,0,5,1,20.0,0.26,0.05,0.0,0.0,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Che Adams,SCO,FW,Torino,28,1996,29.5,9,63,25,39.7,2.14,0.85,0.14,0.36,15.7,0,0,1,9.0,8.2,0.13,0.0,0.8
Yacine Adli,FRA,MF,Fiorentina,24,2000,13.7,4,14,5,35.7,1.02,0.36,0.29,0.8,21.3,2,0,0,1.0,1.0,0.07,3.0,3.0
Vasilije Adžić,MNE,"MF,FW",Juventus,18,2006,0.5,0,1,1,100.0,2.14,2.14,0.0,0.0,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Michel Aebischer,SUI,MF,Bologna,27,1997,8.0,0,10,5,50.0,1.24,0.62,0.0,0.0,22.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4
Honest Ahanor,ITA,"DF,MF",Genoa,16,2008,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,10.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Junior Ajayi,CIV,FW,Hellas Verona,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,10.7,0,4,2,50.0,0.37,0.19,0.0,0.0,18.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,2002,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.8,0,1,0,0.0,1.27,0.0,0.0,,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0
Dele Alli,ENG,MF,Como,28,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pontus Almqvist,SWE,"FW,MF",Parma,25,1999,12.4,1,26,9,34.6,2.1,0.73,0.04,0.11,17.4,0,0,0,2.1,2.1,0.08,-1.1,-1.1
Giorgio Altare,ITA,DF,Venezia,25,1998,8.4,0,3,1,33.3,0.36,0.12,0.0,0.0,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Sofyan Amrabat,MAR,MF,Fiorentina,27,1996,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Angeliño,ESP,DF,Roma,27,1997,35.3,2,24,6,25.0,0.68,0.17,0.08,0.33,20.0,0,0,0,1.4,1.4,0.06,0.6,0.6
Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Faustino Anjorin,ENG,MF,Empoli,22,2001,12.4,2,23,7,30.4,1.86,0.57,0.09,0.29,25.6,1,0,0,0.9,0.9,0.04,1.1,1.1
Marko Arnautović,AUT,FW,Inter,35,1989,6.1,4,14,6,42.9,2.3,0.98,0.29,0.67,8.7,0,0,0,3.3,3.3,0.23,0.7,0.7
